CVE,Severity,Year,Month,Patches,Affected Versions,cwe,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity,cwe_info,Date_huawei
CVE-2018-9380,Medium,2018,6,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9381,Medium,2018,6,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9383,Medium,2018,6,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9389,Medium,2018,6,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9423,High,2018,7,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-07-01
CVE-2017-1000,Medium,2018,7,Android Security Bulletins,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was in a CNA pool that was not assigned to any issues during 2017. Notes: none.,,2023-02-22T23:15:13.593,2023-11-07T02:41:59.490,,,,,,,,,,,,2018-07-01
CVE-2018-9413,Medium,2018,7,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9414,Medium,2018,7,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9416,Medium,2018,7,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9418,Medium,2018,7,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9426,Medium,2018,7,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9429,Medium,2018,7,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9430,Medium,2018,7,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9431,Medium,2018,7,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-07-01
CVE-2017-18307,Medium,2018,8,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-08-01
CVE-2018-9350,Medium,2019,8,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2019-08-01
CVE-2019-2224,High,2019,12,Android Security Bulletins,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: CVE-2019-15140. Reason: This candidate is a duplicate of CVE-2019-15140. Notes: All CVE users should reference CVE-2019-15140 instead of this candidate. All references and descriptions in this candidate have been removed to prevent accidental usage,,2019-12-06T23:15:12.333,2023-11-07T03:09:24.123,,,,,,,,,,,,2019-12-01
CVE-2019-2234,High,2019,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2019-12-01
CVE-2019-9457,Medium,2021,3,Android Security Bulletins,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: CVE-2018-14634. Reason: This candidate is a reservation duplicate of CVE-2018-14634. Notes: All CVE users should reference CVE-2018-14634 instead of this candidate. All references and descriptions in this candidate have been removed to prevent accidental usage,,2019-09-06T22:15:13.833,2023-11-07T03:13:39.797,,,,,,,,,,,,2021-03-01
CVE-2018-13890,Medium,2021,5,Android Security Bulletins,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was in a CNA pool that was not assigned to any issues during 2018. Notes: none,,2021-11-23T21:15:17.027,2023-11-07T02:52:38.737,,,,,,,,,,,,2021-05-01
CVE-2019-10519,Medium,2021,5,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-05-01
CVE-2019-10521,Medium,2021,5,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-05-01
CVE-2021-0937,Medium,2021,11,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-11-01
CVE-2021-0802,Critical,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0845,High,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0748,High,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0862,High,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0839,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0848,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0758,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0773,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0787,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0793,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0814,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0767,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0853,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0831,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0790,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0786,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0783,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0771,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0719,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0729,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0733,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0741,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0751,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0754,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0760,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0740,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0812,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0818,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0842,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0829,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0809,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0810,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0811,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0776,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0817,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0819,Medium,2021,12,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2021-12-01
CVE-2021-0726,Medium,2022,1,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2022-01-01
CVE-2021-0849,Medium,2022,1,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2022-01-01
CVE-2021-0731,Medium,2022,1,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2022-01-01
CVE-2021-0738,Medium,2022,1,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2022-01-01
CVE-2021-0761,Medium,2022,1,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2022-01-01
CVE-2021-0765,Medium,2022,1,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2022-01-01
CVE-2021-0768,Medium,2022,1,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2022-01-01
CVE-2021-0770,Medium,2022,1,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2022-01-01
CVE-2021-0772,Medium,2022,1,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2022-01-01
CVE-2021-0789,Medium,2022,1,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2022-01-01
CVE-2021-0803,Medium,2022,1,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2022-01-01
CVE-2021-0866,Medium,2022,1,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2022-01-01
CVE-2021-0716,Medium,2022,1,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2022-01-01
CVE-2021-0855,Medium,2022,1,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2022-01-01
CVE-2021-0560,Medium,2022,1,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2022-01-01
CVE-2021-0805,Medium,2022,1,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2022-01-01
CVE-2021-0779,Medium,2022,1,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2022-01-01
CVE-2021-0791,Medium,2022,1,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2022-01-01
CVE-2021-0795,Medium,2022,1,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2022-01-01
CVE-2021-0838,Medium,2022,1,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2022-01-01
CVE-2021-0840,Medium,2022,1,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2022-01-01
CVE-2021-0844,Medium,2022,1,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2022-01-01
CVE-2021-0797,Medium,2022,1,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2022-01-01
CVE-2021-0798,Medium,2022,1,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2022-01-01
CVE-2021-0804,Medium,2022,1,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2022-01-01
CVE-2021-0822,Medium,2022,1,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2022-01-01
CVE-2021-0824,Medium,2022,1,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2022-01-01
CVE-2021-0886,Medium,2022,1,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2022-01-01
CVE-2021-30299,Medium,2022,4,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2022-04-01
CVE-2023-20907,High,2024,4,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2024-04-01
CVE-2017-0770,High,2018,1,Android Security Bulletins,,NVD-CWE-noinfo,"A elevation of privilege vulnerability in the Android media framework (libmediaplayerservice). Product: Android. Versions: 4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0. Android ID: A-38234812.","4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",2017-09-08T20:29:00.790,2019-10-03T00:03:26.223,cvssMetricV30,LOCAL,LOW,NONE,REQUIRED,HIGH,HIGH,HIGH,7.8,HIGH,,2018-01-01
CVE-2017-13185,High,2018,1,Android Security Bulletins,,CWE-200,"An information disclosure vulnerability in the Android media framework (libhevc). Product: Android. Versions: 7.0, 7.1.1, 7.1.2, 8.0. Android ID: A-65123471.","7.0, 7.1.1, 7.1.2, 8.0",2018-01-12T23:29:00.657,2018-01-25T16:49:10.107,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,HIGH,9.1,CRITICAL,Exposure of Sensitive Information to an Unauthorized Actor,2018-01-01
CVE-2017-13186,High,2018,1,Android Security Bulletins,,CWE-20,"A vulnerability in the Android media framework (libavc) related to incorrect use of mmco parameters. Product: Android. Versions: 7.0, 7.1.1, 7.1.2, 8.0, 8.1. Android ID: A-65735716.","7.0, 7.1.1, 7.1.2, 8.0, 8.1",2018-01-12T23:29:00.703,2018-01-25T15:04:57.443,cvssMetricV30,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation,2018-01-01
CVE-2017-13187,High,2018,1,Android Security Bulletins,,CWE-200,"An information disclosure vulnerability in the Android media framework (libhevc). Product: Android. Versions: 7.0, 7.1.1, 7.1.2, 8.0, 8.1. Android ID: A-65034175.","7.0, 7.1.1, 7.1.2, 8.0, 8.1",2018-01-12T23:29:00.733,2018-01-26T15:03:42.570,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,HIGH,9.1,CRITICAL,Exposure of Sensitive Information to an Unauthorized Actor,2018-01-01
CVE-2017-13188,High,2018,1,Android Security Bulletins,,CWE-200,"An information disclosure vulnerability in the Android media framework (aac). Product: Android. Versions: 7.0, 7.1.1, 7.1.2, 8.0, 8.1. Android ID: A-65280786.","7.0, 7.1.1, 7.1.2, 8.0, 8.1",2018-01-12T23:29:00.780,2018-01-25T15:12:33.950,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,HIGH,9.1,CRITICAL,Exposure of Sensitive Information to an Unauthorized Actor,2018-01-01
CVE-2017-13189,High,2018,1,Android Security Bulletins,,CWE-770,"A vulnerability in the Android media framework (libavc) related to handling dec_hdl memory allocation failures. Product: Android. Versions: 7.0, 7.1.1, 7.1.2, 8.0, 8.1. Android ID: A-68300072.","7.0, 7.1.1, 7.1.2, 8.0, 8.1",2018-01-12T23:29:00.813,2019-10-03T00:03:26.223,cvssMetricV30,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Allocation of Resources Without Limits or Throttling,2018-01-01
CVE-2017-13190,High,2018,1,Android Security Bulletins,,CWE-770,"A vulnerability in the Android media framework (libhevc) related to handling ps_codec_obj memory allocation failures. Product: Android. Versions: 7.0, 7.1.1, 7.1.2, 8.0, 8.1. Android ID: A-68299873.","7.0, 7.1.1, 7.1.2, 8.0, 8.1",2018-01-12T23:29:00.857,2019-10-03T00:03:26.223,cvssMetricV30,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Allocation of Resources Without Limits or Throttling,2018-01-01
CVE-2017-13194,High,2018,1,Android Security Bulletins,,CWE-20,"A vulnerability in the Android media framework (libvpx) related to odd frame width. Product: Android. Versions: 7.0, 7.1.1, 7.1.2, 8.0, 8.1. Android ID: A-64710201.","7.0, 7.1.1, 7.1.2, 8.0, 8.1",2018-01-12T23:29:01.017,2020-07-24T00:15:11.713,cvssMetricV30,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation,2018-01-01
CVE-2017-13198,High,2018,1,Android Security Bulletins,,CWE-20,"A vulnerability in the Android media framework (ex) related to composition of frames lacking a color map. Product: Android. Versions: 7.0, 7.1.1, 7.1.2, 8.0, 8.1. Android ID: A-68399117.","7.0, 7.1.1, 7.1.2, 8.0, 8.1",2018-01-12T23:29:01.170,2018-02-01T21:18:56.607,cvssMetricV30,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation,2018-01-01
CVE-2017-13203,High,2018,1,Android Security Bulletins,,CWE-200,"An information disclosure vulnerability in the Android media framework (libavc). Product: Android. Versions: 7.0, 7.1.1, 7.1.2, 8.0, 8.1. Android ID: A-63122634.","7.0, 7.1.1, 7.1.2, 8.0, 8.1",2018-01-12T23:29:01.373,2018-01-25T15:17:06.753,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,HIGH,9.1,CRITICAL,Exposure of Sensitive Information to an Unauthorized Actor,2018-01-01
CVE-2017-13204,High,2018,1,Android Security Bulletins,,CWE-200,"An information disclosure vulnerability in the Android media framework (libavc). Product: Android. Versions: 7.0, 7.1.1, 7.1.2, 8.0, 8.1. Android ID: A-64380237.","7.0, 7.1.1, 7.1.2, 8.0, 8.1",2018-01-12T23:29:01.407,2018-01-25T16:36:34.837,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,HIGH,9.1,CRITICAL,Exposure of Sensitive Information to an Unauthorized Actor,2018-01-01
CVE-2017-13205,High,2018,1,Android Security Bulletins,,CWE-200,"An information disclosure vulnerability in the Android media framework (libmpeg2). Product: Android. Versions: 7.0, 7.1.1, 7.1.2, 8.0, 8.1. Android ID: A-64550583.","7.0, 7.1.1, 7.1.2, 8.0, 8.1",2018-01-12T23:29:01.453,2018-01-26T16:16:16.770,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,HIGH,9.1,CRITICAL,Exposure of Sensitive Information to an Unauthorized Actor,2018-01-01
CVE-2017-0846,Medium,2018,1,Android Security Bulletins,,CWE-200,"An information disclosure vulnerability in the Android framework (clipboardservice). Product: Android. Versions: 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0. Android ID: A-64934810.","5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",2018-01-12T23:29:00.233,2018-02-01T20:44:21.937,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,Exposure of Sensitive Information to an Unauthorized Actor,2018-01-01
CVE-2017-11003,Medium,2018,1,Android Security Bulletins,,CWE-120,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, while updating a firmware image, data is read from flash into RAM without checking that the data fits into allotted RAM size.",,2018-01-10T22:29:00.227,2019-10-03T00:03:26.223,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),2018-01-01
CVE-2017-11047,Medium,2018,1,Android Security Bulletins,,CWE-119,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, in a graphics driver ioctl handler, the lack of copy_from_user() function calls may result in writes to kernel memory.",,2017-12-05T17:29:00.533,2019-10-03T00:03:26.223,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Improper Restriction of Operations within the Bounds of a Memory Buffer,2018-01-01
CVE-2017-11066,Medium,2018,1,Android Security Bulletins,,CWE-200,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, while flashing ubi image an uninitialized memory could be accessed.",,2018-01-10T22:29:00.273,2018-01-29T19:25:02.590,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,Exposure of Sensitive Information to an Unauthorized Actor,2018-01-01
CVE-2017-11079,Medium,2018,1,Android Security Bulletins,,CWE-200,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, while processing sparse image, uninitialized heap memory can potentially be flashed due to the lack of validation of sparse image block header size.",,2018-01-10T22:29:00.337,2018-01-26T12:43:39.030,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Exposure of Sensitive Information to an Unauthorized Actor,2018-01-01
CVE-2017-11080,Medium,2018,1,Android Security Bulletins,,CWE-119,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, while processing a user supplied sparse image, a buffer overflow vulnerability could occur if the sparse header block size is equal to 4294967296.",,2018-01-10T22:29:00.383,2018-01-26T12:35:19.050,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Improper Restriction of Operations within the Bounds of a Memory Buffer,2018-01-01
CVE-2017-13163,Medium,2018,1,Android Security Bulletins,,NVD-CWE-noinfo,An elevation of privilege vulnerability in the kernel mtp usb driver. Product: Android. Versions: Android kernel. Android ID A-37429972.,,2017-12-06T14:29:01.253,2019-10-03T00:03:26.223,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,,2018-01-01
CVE-2017-13200,Medium,2018,1,Android Security Bulletins,,CWE-200,"An information disclosure vulnerability in the Android media framework (av) related to id3 unsynchronization. Product: Android. Versions: 7.0, 7.1.1, 7.1.2, 8.0, 8.1. Android ID: A-63100526.","7.0, 7.1.1, 7.1.2, 8.0, 8.1",2018-01-12T23:29:01.250,2018-01-26T15:05:19.510,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,Exposure of Sensitive Information to an Unauthorized Actor,2018-01-01
CVE-2017-13201,Medium,2018,1,Android Security Bulletins,,CWE-200,"An information disclosure vulnerability in the Android media framework (mediadrm). Product: Android. Versions: 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1. Android ID: A-63982768.","5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",2018-01-12T23:29:01.297,2018-01-25T14:50:33.380,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,Exposure of Sensitive Information to an Unauthorized Actor,2018-01-01
CVE-2017-13202,Medium,2018,1,Android Security Bulletins,,CWE-200,"An information disclosure vulnerability in the Android media framework (libeffects). Product: Android. Versions: 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1. Android ID: A-67647856.","5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",2018-01-12T23:29:01.327,2018-01-25T14:54:59.807,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,Exposure of Sensitive Information to an Unauthorized Actor,2018-01-01
CVE-2017-13206,Medium,2018,1,Android Security Bulletins,,CWE-200,"An information disclosure vulnerability in the Android media framework (aacdec). Product: Android. Versions: 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1. Android ID: A-65025048.","5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",2018-01-12T23:29:01.500,2018-02-02T17:01:40.620,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,Exposure of Sensitive Information to an Unauthorized Actor,2018-01-01
CVE-2017-13207,Medium,2018,1,Android Security Bulletins,,CWE-200,"An information disclosure vulnerability in the Android media framework (stagefright mpeg4writer). Product: Android. Versions: 7.0, 7.1.1, 7.1.2, 8.0. Android ID: A-37564426.","7.0, 7.1.1, 7.1.2, 8.0",2018-01-12T23:29:01.547,2018-01-26T16:19:14.417,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,Exposure of Sensitive Information to an Unauthorized Actor,2018-01-01
CVE-2017-13212,Medium,2018,1,Android Security Bulletins,,NVD-CWE-noinfo,"An elevation of privilege vulnerability in the Android system (systemui). Product: Android. Versions: 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0. Android ID: A-62187985.","5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",2018-01-12T23:29:01.733,2019-10-03T00:03:26.223,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,,2018-01-01
CVE-2017-13213,Medium,2018,1,Android Security Bulletins,,NVD-CWE-noinfo,An elevation of privilege vulnerability in the Broadcom bcmdhd driver. Product: Android. Versions: Android kernel. Android ID: A-63374465. References: B-V2017081501.,,2018-01-12T23:29:01.767,2019-10-03T00:03:26.223,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,,2018-01-01
