CVE,Year,Month,Patches,Affected Versions,Date_huawei,ID_asb,year_asb,month_asb,spl_type_asb,date_asb,bug_asb,link_asb,Type_asb,Severity,vul_true_asb,component_asb,devices_asb,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,cwe,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity,cwe_info,Date_asb
CVE-2018-9348,2018,6,Android Security Bulletins,,2018-06-01,585,2018,06,6/1/18,,A-68953854,https://android.googlesource.com/platform/external/sonivox/+/b237378c682f84e020f2c612c215967a7e5cd30a,DoS,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9365,2018,7,Android Security Bulletins,,2018-07-01,822,2018,07,7/1/18,,A-74121126,https://android.googlesource.com/platform/system/bt/+/ae94a4c333417a1829030c4d87a58ab7f1401308,RCE,Critical,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9433,2018,7,Android Security Bulletins,,2018-07-01,815,2018,07,7/1/18,,A-38196219,,RCE,Critical,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9411,2018,7,Android Security Bulletins,,2018-07-01,817,2018,07,7/1/18,,A-79376389,https://android.googlesource.com/platform/system/libhidl/+/e1302cfda34be9dd0a4aeae6bfa9561b44536758,RCE,Critical,"8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9411,2018,9,Android Security Bulletins,,2018-09-01,817,2018,07,7/1/18,,A-79376389,https://android.googlesource.com/platform/system/libhidl/+/e1302cfda34be9dd0a4aeae6bfa9561b44536758,RCE,Critical,"8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9410,2018,7,Android Security Bulletins,,2018-07-01,816,2018,07,7/1/18,,A-77822336,https://android.googlesource.com/platform/frameworks/minikin/+/62e88b9f3ac35e1e69d79c7a43c6f9ddcd5980a3,ID,High,"8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9412,2018,7,Android Security Bulletins,,2018-07-01,820,2018,07,7/1/18,,A-78029004,https://android.googlesource.com/platform/frameworks/av/+/fa12c0fcdc6607b746177ccad4f7099098b4849a,DoS,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9417,2018,7,Android Security Bulletins,,2018-07-01,828,2018,07,7/5/18,,"A-74447444*,Upstream kernel",,EoP,High,,USB driver,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9419,2018,7,Android Security Bulletins,,2018-07-01,825,2018,07,7/1/18,,A-74121659,https://android.googlesource.com/platform/system/bt/+/f1c2c86080bcd7b3142ff821441696fc99c2bc9a,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9420,2018,7,Android Security Bulletins,,2018-07-01,824,2018,07,7/1/18,,A-77238656,https://android.googlesource.com/platform/system/media/+/12df4b05fd918d836636e21f783df7ad9d5e17a3,ID,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9421,2018,7,Android Security Bulletins,,2018-07-01,821,2018,07,7/1/18,,A-77237570,https://android.googlesource.com/platform/frameworks/native/+/ff2171f2460e3a6d3443ab957732b8b7d4831d40,ID,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9424,2018,7,Android Security Bulletins,,2018-07-01,818,2018,07,7/1/18,,A-76221123,https://android.googlesource.com/platform/frameworks/av/+/d3860e51b83296ae1d2921d8109210283573862a,EoP,High,"8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9428,2018,7,Android Security Bulletins,,2018-07-01,819,2018,07,7/1/18,,A-74122779,https://android.googlesource.com/platform/frameworks/av/+/46bd7c682db5bbc048b177c52448a7999e5740ce,EoP,High,8.1,,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9432,2018,7,Android Security Bulletins,,2018-07-01,823,2018,07,7/1/18,,A-73173182,https://android.googlesource.com/platform/frameworks/base/+/a6fe2cd18c77c68219fe7159c051bc4e0003fc40,EoP,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9456,2018,8,Android Security Bulletins,,2018-08-01,901,2018,09,9/1/18,,A-78136869,https://android.googlesource.com/platform/system/bt/+/04be7ae5771ee1edc6cbe2af26998755d7be5a68,DoS,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9456,2018,9,Android Security Bulletins,,2018-09-01,901,2018,09,9/1/18,,A-78136869,https://android.googlesource.com/platform/system/bt/+/04be7ae5771ee1edc6cbe2af26998755d7be5a68,DoS,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9475,2018,9,Android Security Bulletins,,2018-09-01,898,2018,09,9/1/18,,A-79266386,https://android.googlesource.com/platform/system/bt/+/43cd528a444d0cc5bbf3beb22cd583289bcf7334,EoP,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9478,2018,9,Android Security Bulletins,,2018-09-01,899,2018,09,9/1/18,,A-79217522,https://android.googlesource.com/platform/system/bt/+/68688194eade113ad31687a730e8d4102ada58d5,EoP,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9479,2018,9,Android Security Bulletins,,2018-09-01,900,2018,09,9/1/18,,A-79217770,https://android.googlesource.com/platform/system/bt/+/68688194eade113ad31687a730e8d4102ada58d5,EoP,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2016-10408,2018,9,Android Security Bulletins,,2018-09-01,927,2018,09,9/5/18,,A-68326811,,,High,,Closed-source component,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9466,2018,9,Android Security Bulletins,,2018-09-01,890,2018,09,9/1/18,,A-62151041,https://android.googlesource.com/platform/external/libxml2/+/b730f8d3c15da4ac439f1184bf17a13021963ea9,RCE,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9467,2018,9,Android Security Bulletins,,2018-09-01,891,2018,09,9/1/18,,A-110955991,https://android.googlesource.com/platform/libcore/+/518e8d27de9f32eb86bc3090ee2759ea93b9fb93,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9469,2018,9,Android Security Bulletins,,2018-09-01,892,2018,09,9/1/18,,A-109824443,https://android.googlesource.com/platform/frameworks/base/+/623b2b604c4ffcd48f137379d6934537510665bf,EoP,High,"7.1.1, 7.1.2, 8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9470,2018,9,Android Security Bulletins,,2018-09-01,893,2018,09,9/1/18,,A-78290481,https://android.googlesource.com/platform/external/neven/+/86a561f79f97baa38e240f6296fe1192fa4a5c9c,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9471,2018,9,Android Security Bulletins,,2018-09-01,894,2018,09,9/1/18,,A-77599679,https://android.googlesource.com/platform/frameworks/base/+/eabaff1c7f02906e568997bdd7dc43006655387e,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9472,2018,9,Android Security Bulletins,,2018-09-01,895,2018,09,9/1/18,,A-79662501,https://android.googlesource.com/platform/external/libxml2/+/b730f8d3c15da4ac439f1184bf17a13021963ea9,RCE,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9474,2018,9,Android Security Bulletins,,2018-09-01,896,2018,09,9/1/18,,A-77600398,https://android.googlesource.com/platform/frameworks/base/+/586b9102f322731d604e6280143e16cb6f1c9f76,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9477,2018,9,Android Security Bulletins,,2018-09-01,902,2018,09,9/1/18,,A-92497653,https://android.googlesource.com/platform/packages/apps/Settings/+/3eec10e4a8daf8f07127341fbc45bef539c8d790,EoP,High,"8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9480,2018,9,Android Security Bulletins,,2018-09-01,903,2018,09,9/1/18,,A-109757168,https://android.googlesource.com/platform/system/bt/+/75c22982624fb530bc1d57aba6c1e46e7881d6ba,ID,High,"8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9481,2018,9,Android Security Bulletins,,2018-09-01,904,2018,09,9/1/18,,A-109757435,https://android.googlesource.com/platform/system/bt/+/75c22982624fb530bc1d57aba6c1e46e7881d6ba,ID,High,"8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9482,2018,9,Android Security Bulletins,,2018-09-01,905,2018,09,9/1/18,,A-109757986,https://android.googlesource.com/platform/system/bt/+/75c22982624fb530bc1d57aba6c1e46e7881d6ba,ID,High,"8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9483,2018,9,Android Security Bulletins,,2018-09-01,906,2018,09,9/1/18,,A-110216173,https://android.googlesource.com/platform/system/bt/+/d3689fb0ddcdede16c13250a7a30ca76b113c9c1,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9484,2018,9,Android Security Bulletins,,2018-09-01,907,2018,09,9/1/18,,A-79488381,https://android.googlesource.com/platform/system/bt/+/d5b44f6522c3294d6f5fd71bc6670f625f716460,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9485,2018,9,Android Security Bulletins,,2018-09-01,908,2018,09,9/1/18,,A-80261585,https://android.googlesource.com/platform/system/bt/+/bdbabb2ca4ebb4dc5971d3d42cb12f8048e23a23,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9486,2018,9,Android Security Bulletins,,2018-09-01,909,2018,09,9/1/18,,A-80493272,https://android.googlesource.com/platform/system/bt/+/bc6aef4f29387d07e0c638c9db810c6c1193f75b,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9487,2018,9,Android Security Bulletins,,2018-09-01,910,2018,09,9/1/18,,A-69873852,https://android.googlesource.com/platform/frameworks/base/+/cf6784bfbf713aaa54d8da77e9481b3f02784246,DoS,High,"8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9440,2018,9,Android Security Bulletins,,2018-09-01,897,2018,09,9/1/18,,A-77823362,"https://android.googlesource.com/platform/frameworks/av/+/8033f4a227e03f97a0f1d9975dc24bcb4ca61f74,https://android.googlesource.com/platform/frameworks/av/+/2870acaa4c58cf59758a74b6390615a421f14268",DoS,Moderate,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-11817,2019,2,Android Security Bulletins,,2019-02-01,1353,2019,03,3/5/19,,"A-114041192,,QC-CR#2241830",https://source.codeaurora.org/quic/la/kernel/msm-4.9/commit/?id=d996b26efee64c7e499daf4f8b4ac217823327a5,,Critical,,DSP_Services,,CVE ID Not Found,,,,,,,,,,,,,,,,2019-03-01
CVE-2018-11817,2019,2,Android Security Bulletins,,2019-02-01,1354,2019,03,3/5/19,,"A-114041747,,QC-CR#2166542",https://source.codeaurora.org/quic/la/device/qcom/common/commit/?id=a183f890dc4c9276933f4db490c32efcdae87561,,Critical,,DSP_Services,,CVE ID Not Found,,,,,,,,,,,,,,,,2019-03-01
CVE-2018-11817,2019,3,Android Security Bulletins,,2019-03-01,1353,2019,03,3/5/19,,"A-114041192,,QC-CR#2241830",https://source.codeaurora.org/quic/la/kernel/msm-4.9/commit/?id=d996b26efee64c7e499daf4f8b4ac217823327a5,,Critical,,DSP_Services,,CVE ID Not Found,,,,,,,,,,,,,,,,2019-03-01
CVE-2018-11817,2019,3,Android Security Bulletins,,2019-03-01,1354,2019,03,3/5/19,,"A-114041747,,QC-CR#2166542",https://source.codeaurora.org/quic/la/device/qcom/common/commit/?id=a183f890dc4c9276933f4db490c32efcdae87561,,Critical,,DSP_Services,,CVE ID Not Found,,,,,,,,,,,,,,,,2019-03-01
CVE-2018-13917,2019,3,Android Security Bulletins,,2019-03-01,1356,2019,03,3/5/19,,"A-120487091,,QC-CR#2251019",https://source.codeaurora.org/quic/la/kernel/msm-4.9/commit/?id=29e224b5eb8981010bf18d5b18185ab37a0aeb0e,,High,,WIN NSS Host,,CVE ID Not Found,,,,,,,,,,,,,,,,2019-03-01
CVE-2017-17768,2019,9,Android Security Bulletins,,2019-09-01,1289,2019,09,9/5/19,,"A-67748905,,QC-CR#2127172",https://source.codeaurora.org/quic/la/kernel/lk/commit/?id=0d06ad00c8d6630cd90016226c7d68eedb5a1132,,High,,LK bootloader,,CVE ID Not Found,,,,,,,,,,,,,,,,2019-09-01
CVE-2019-9460,2020,6,Android Security Bulletins,,2020-06-01,4714,2020,06,6/5/20,,A-62535446,https://android.googlesource.com/platform/hardware/interfaces/+/c88c624e2e7f5f683d6381a8d5c96e58b0a85cb7,EoP,High,10,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. It was intended to be published earlier but will be made public later instead. Notes: none,,2019-09-27T19:15:29.500,2023-11-07T03:13:40.037,,,,,,,,,,,,,2020-06-01
CVE-2019-9460,2020,6,Android Security Bulletins,,2020-06-01,4721,2020,06,6/5/20,,"A-66876469,QC-CR#2207338",,,Moderate,,Display,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. It was intended to be published earlier but will be made public later instead. Notes: none,,2019-09-27T19:15:29.500,2023-11-07T03:13:40.037,,,,,,,,,,,,,2020-06-01
CVE-2021-1978,2021,9,Android Security Bulletins,,2021-09-01,4400,2021,08,8/5/21,,"A-187074565,,QC-CR#2859124","https://source.codeaurora.org/quic/la/platform/external/wpa_supplicant_8/commit?id=ddffe981e88146adf777ce64c1c2dac2e1dad05e"" rel=""noreferrer",,High,,WLAN,,CVE ID Not Found,,,,,,,,,,,,,,,,2021-08-01
CVE-2021-27666,2021,11,Android Security Bulletins,,2021-11-01,4419,2021,10,10/5/21,,A-180401789,,ID,High,,Modem,,CVE ID Not Found,,,,,,,,,,,,,,,,2021-10-01
CVE-2021-39795,2022,5,Android Security Bulletins,,2022-05-01,3769,2022,04,4/1/22,,,,,,,MediaProvider,,"Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Notes: Pulled from Android ASB#2022-04 publication (https://source.android.com/security/bulletin/2022-04-01) due to a functional regression. We will re-release this CVE at a future date, in a future publication that is currently TB",,2022-04-12T17:15:08.123,2023-11-07T03:37:43.327,,,,,,,,,,,,,2022-04-01
CVE-2021-39795,2022,5,Android Security Bulletins,,2022-05-01,3956,2022,12,12/1/22,,A-201667614,"https://android.googlesource.com/platform/packages/providers/MediaProvider/+/bb4ec053ea16931e827f30c7b697cb35185a32be"" rel=""noreferrer",EoP,High,"11, 12, 12L, 13",,,"Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Notes: Pulled from Android ASB#2022-04 publication (https://source.android.com/security/bulletin/2022-04-01) due to a functional regression. We will re-release this CVE at a future date, in a future publication that is currently TB",,2022-04-12T17:15:08.123,2023-11-07T03:37:43.327,,,,,,,,,,,,,2022-12-01
CVE-2021-39795,2022,5,Android Security Bulletins,,2022-05-01,3990,2022,12,12/1/22,,,,,,,MediaProvider,,"Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Notes: Pulled from Android ASB#2022-04 publication (https://source.android.com/security/bulletin/2022-04-01) due to a functional regression. We will re-release this CVE at a future date, in a future publication that is currently TB",,2022-04-12T17:15:08.123,2023-11-07T03:37:43.327,,,,,,,,,,,,,2022-12-01
CVE-2022-25704,2022,10,Android Security Bulletins,,2022-10-01,3863,2022,09,9/5/22,,"A-235102694,,QC-CR#3155069","https://git.codelinaro.org/clo/la/platform/vendor/qcom-opensource/system/bt/-/commit/7cb8bca395eb89c36975dbc89d0a4f17c975bb99"" rel=""noreferrer,https://git.codelinaro.org/clo/la/platform/vendor/qcom-opensource/system/bt/-/commit/edcf32db20f525b7e6ef3ab0751c7e57d9a8b046"" rel=""noreferrer",,High,,Bluetooth,,CVE ID Not Found,,,,,,,,,,,,,,,,2022-09-01
CVE-2022-20463,2022,12,Android Security Bulletins,,2022-12-01,2547,2023,04,4/1/23,,A-231985227,"https://android.googlesource.com/platform/packages/modules/Wifi/+/a95c282826b76e9ffb69fc2b391fd40c66fffe66"" rel=""noreferrer",EoP,High,"11, 12, 12L, 13",,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Further investigation showed that it was not a security issue. Notes: none.,,2022-11-08T22:15:11.830,2023-11-07T03:42:26.920,,,,,,,,,,,,,2023-04-01
CVE-2022-20463,2022,12,Android Security Bulletins,,2022-12-01,2562,2023,04,4/1/23,,,,,,,WiFi,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Further investigation showed that it was not a security issue. Notes: none.,,2022-11-08T22:15:11.830,2023-11-07T03:42:26.920,,,,,,,,,,,,,2023-04-01
CVE-2022-20463,2022,12,Android Security Bulletins,,2022-12-01,3731,2022,11,11/1/22,,,,,,,WiFi,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Further investigation showed that it was not a security issue. Notes: none.,,2022-11-08T22:15:11.830,2023-11-07T03:42:26.920,,,,,,,,,,,,,2022-11-01
CVE-2022-2209,2022,12,Android Security Bulletins,,2022-12-01,3714,2022,11,11/1/22,,A-235601882,"https://android.googlesource.com/platform/frameworks/av/+/0a9d181281753f911524291ffa6d1b677e36b589"" rel=""noreferrer",EoP,High,"10, 11, 12, 12L, 13",,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. Reason: This CVE has been rejected as it was incorrectly assigned. All references and descriptions in this candidate have been removed to prevent accidental usage,,2022-07-22T11:15:07.923,2023-11-07T03:46:17.390,,,,,,,,,,,,,2022-11-01
CVE-2022-2209,2022,12,Android Security Bulletins,,2022-12-01,3730,2022,11,11/1/22,,,,,,,Media Framework components,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. Reason: This CVE has been rejected as it was incorrectly assigned. All references and descriptions in this candidate have been removed to prevent accidental usage,,2022-07-22T11:15:07.923,2023-11-07T03:46:17.390,,,,,,,,,,,,,2022-11-01
CVE-2023-40104,2023,12,Android Security Bulletins,,2023-12-01,2508,2023,11,11/1/23,,A-284262845,"https://android.googlesource.com/platform/system/ca-certificates/+/91204b9fdbd77b3f27f94b73868607b2dccbfdad"" rel=""noreferrer",ID,High,"11, 12, 12L, 13",,,"In ca-certificates, there is a possible way to read encrypted TLS data due to untrusted cryptographic certificates. This could lead to remote information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-15T23:15:08.017,2024-02-16T13:37:55.033,,,,,,,,,,,,,2023-11-01
CVE-2023-40111,2023,12,Android Security Bulletins,,2023-12-01,2501,2023,11,11/1/23,,A-272024837,"https://android.googlesource.com/platform/frameworks/base/+/55d3d57cbffc838c52d610af14a056dea87b422e"" rel=""noreferrer",EoP,High,14,,,"In setMediaButtonReceiver of MediaSessionRecord.java, there is a possible way to send a pending intent on behalf of system_server due to a confused deputy. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation.",,2024-02-15T23:15:08.487,2024-02-16T13:37:55.033,,,,,,,,,,,,,2023-11-01
CVE-2023-40112,2023,12,Android Security Bulletins,,2023-12-01,2509,2023,11,11/1/23,,A-168903843,"https://android.googlesource.com/platform/packages/services/BuiltInPrintService/+/d7cb53cb5b47f4afdb84cb0e161d84fdc2c32ce7"" rel=""noreferrer",ID,High,11,,,"In ippSetValueTag of ipp.c, there is a possible out of bounds read due to a missing bounds check. This could lead to local information disclosure of past print jobs or other print-related information, with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-15T23:15:08.543,2024-02-16T13:37:55.033,,,,,,,,,,,,,2023-11-01
CVE-2023-40110,2023,12,Android Security Bulletins,,2023-12-01,2500,2023,11,11/1/23,,A-243463593,"https://android.googlesource.com/platform/frameworks/av/+/53243faf690a49e00952b3d3956d2fff0b8d4a3c"" rel=""noreferrer",EoP,High,"11, 12, 12L, 13, 14",,,"In multiple functions of MtpPacket.cpp, there is a possible out of bounds write due to a heap buffer overflow. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation.",,2024-02-15T23:15:08.420,2024-02-16T13:37:55.033,,,,,,,,,,,,,2023-11-01
