CVE,Severity,Year,Month,Patches,Affected Versions,cwe,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity
CVE-2017-13323,Medium,2018,5,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-5852,Medium,2018,5,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9341,Critical,2018,6,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9338,High,2018,6,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9339,High,2018,6,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9340,High,2018,6,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9344,High,2018,6,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9345,High,2018,6,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9346,High,2018,6,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9348,High,2018,6,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9349,High,2018,6,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9350,High,2018,6,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9351,High,2018,6,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9352,High,2018,6,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9353,High,2018,6,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9354,High,2018,6,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9375,Medium,2018,6,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9378,Medium,2018,6,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9379,Medium,2018,6,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9380,Medium,2018,6,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9381,Medium,2018,6,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9383,Medium,2018,6,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9389,Medium,2018,6,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9365,Critical,2018,7,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9433,Critical,2018,7,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9411,Critical,2018,7,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9410,High,2018,7,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9412,High,2018,7,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9417,High,2018,7,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9419,High,2018,7,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9420,High,2018,7,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9421,High,2018,7,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9423,High,2018,7,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9424,High,2018,7,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9428,High,2018,7,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9432,High,2018,7,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2017-1000,Medium,2018,7,Android Security Bulletins,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was in a CNA pool that was not assigned to any issues during 2017. Notes: none.,None,2023-02-22T23:15:13.593,2023-11-07T02:41:59.490,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2018-9413,Medium,2018,7,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9414,Medium,2018,7,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9416,Medium,2018,7,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9418,Medium,2018,7,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9426,Medium,2018,7,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9429,Medium,2018,7,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9430,Medium,2018,7,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9431,Medium,2018,7,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9456,High,2018,8,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2017-18307,Medium,2018,8,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9411,Critical,2018,9,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9475,Critical,2018,9,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9478,Critical,2018,9,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9479,Critical,2018,9,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2016-10408,High,2018,9,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9456,High,2018,9,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9466,High,2018,9,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9467,High,2018,9,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9469,High,2018,9,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9470,High,2018,9,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9471,High,2018,9,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9472,High,2018,9,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9474,High,2018,9,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9477,High,2018,9,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9480,High,2018,9,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9481,High,2018,9,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9482,High,2018,9,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9483,High,2018,9,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9484,High,2018,9,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9485,High,2018,9,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9486,High,2018,9,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9487,High,2018,9,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9440,Medium,2018,9,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-11817,Critical,2019,2,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-11817,Critical,2019,3,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-13917,High,2019,3,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9350,Medium,2019,8,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2017-17768,High,2019,9,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2019-2224,High,2019,12,Android Security Bulletins,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: CVE-2019-15140. Reason: This candidate is a duplicate of CVE-2019-15140. Notes: All CVE users should reference CVE-2019-15140 instead of this candidate. All references and descriptions in this candidate have been removed to prevent accidental usage,None,2019-12-06T23:15:12.333,2023-11-07T03:09:24.123,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2019-2234,High,2019,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2019-9460,High,2020,6,Android Security Bulletins,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. It was intended to be published earlier but will be made public later instead. Notes: none,None,2019-09-27T19:15:29.500,2023-11-07T03:13:40.037,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2019-9457,Medium,2021,3,Android Security Bulletins,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: CVE-2018-14634. Reason: This candidate is a reservation duplicate of CVE-2018-14634. Notes: All CVE users should reference CVE-2018-14634 instead of this candidate. All references and descriptions in this candidate have been removed to prevent accidental usage,None,2019-09-06T22:15:13.833,2023-11-07T03:13:39.797,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2018-13890,Medium,2021,5,Android Security Bulletins,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was in a CNA pool that was not assigned to any issues during 2018. Notes: none,None,2021-11-23T21:15:17.027,2023-11-07T02:52:38.737,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2019-10519,Medium,2021,5,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2019-10521,Medium,2021,5,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-1978,High,2021,9,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-27666,High,2021,11,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0937,Medium,2021,11,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0802,Critical,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0845,High,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0748,High,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0862,High,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0839,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0848,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0758,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0773,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0787,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0793,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0814,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0767,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0853,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0831,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0790,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0786,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0783,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0771,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0719,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0729,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0733,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0741,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0751,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0754,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0760,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0740,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0812,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0818,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0842,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0829,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0809,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0810,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0811,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0776,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0817,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0819,Medium,2021,12,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0726,Medium,2022,1,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0849,Medium,2022,1,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0731,Medium,2022,1,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0738,Medium,2022,1,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0761,Medium,2022,1,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0765,Medium,2022,1,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0768,Medium,2022,1,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0770,Medium,2022,1,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0772,Medium,2022,1,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0789,Medium,2022,1,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0803,Medium,2022,1,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0866,Medium,2022,1,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0716,Medium,2022,1,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0855,Medium,2022,1,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0560,Medium,2022,1,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0805,Medium,2022,1,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0779,Medium,2022,1,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0791,Medium,2022,1,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0795,Medium,2022,1,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0838,Medium,2022,1,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0840,Medium,2022,1,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0844,Medium,2022,1,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0797,Medium,2022,1,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0798,Medium,2022,1,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0804,Medium,2022,1,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0822,Medium,2022,1,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0824,Medium,2022,1,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-0886,Medium,2022,1,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-30299,Medium,2022,4,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-39795,High,2022,5,Android Security Bulletins,,,"Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Notes: Pulled from Android ASB#2022-04 publication (https://source.android.com/security/bulletin/2022-04-01) due to a functional regression. We will re-release this CVE at a future date, in a future publication that is currently TB",None,2022-04-12T17:15:08.123,2023-11-07T03:37:43.327,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2022-25704,High,2022,10,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2022-20463,High,2022,12,Android Security Bulletins,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Further investigation showed that it was not a security issue. Notes: none.,None,2022-11-08T22:15:11.830,2023-11-07T03:42:26.920,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2022-2209,High,2022,12,Android Security Bulletins,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. Reason: This CVE has been rejected as it was incorrectly assigned. All references and descriptions in this candidate have been removed to prevent accidental usage,None,2022-07-22T11:15:07.923,2023-11-07T03:46:17.390,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2023-40104,High,2023,12,Android Security Bulletins,,,"In ca-certificates, there is a possible way to read encrypted TLS data due to untrusted cryptographic certificates. This could lead to remote information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-15T23:15:08.017,2024-02-16T13:37:55.033,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2023-40111,High,2023,12,Android Security Bulletins,,,"In setMediaButtonReceiver of MediaSessionRecord.java, there is a possible way to send a pending intent on behalf of system_server due to a confused deputy. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation.",None,2024-02-15T23:15:08.487,2024-02-16T13:37:55.033,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2023-40112,High,2023,12,Android Security Bulletins,,,"In ippSetValueTag of ipp.c, there is a possible out of bounds read due to a missing bounds check. This could lead to local information disclosure of past print jobs or other print-related information, with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-15T23:15:08.543,2024-02-16T13:37:55.033,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2023-40110,High,2023,12,Android Security Bulletins,,,"In multiple functions of MtpPacket.cpp, there is a possible out of bounds write due to a heap buffer overflow. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation.",None,2024-02-15T23:15:08.420,2024-02-16T13:37:55.033,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2023-40114,High,2023,12,Android Security Bulletins,,,"In multiple functions of MtpFfsHandle.cpp , there is a possible out of bounds write due to a use after free. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation.",None,2024-02-15T23:15:08.647,2024-02-16T13:37:55.033,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2023-40105,High,2023,12,Android Security Bulletins,,,"In backupAgentCreated of ActivityManagerService.java, there is a possible way to leak sensitive data due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-15T23:15:08.083,2024-02-16T13:37:55.033,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2023-40106,High,2023,12,Android Security Bulletins,,,"In sanitizeSbn of NotificationManagerService.java, there is a possible way to launch an activity from the background due to BAL Bypass. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-15T23:15:08.137,2024-02-16T13:37:55.033,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2023-40109,High,2023,12,Android Security Bulletins,,,"In createFromParcel of UsbConfiguration.java, there is a possible background activity launch (BAL) due to a permissions bypass. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation.",None,2024-02-15T23:15:08.260,2024-02-16T13:37:55.033,nan,nan,nan,nan,nan,nan,nan,nan,,nan
