ID,CVE,year,month,spl_type,date,bug,link,Type,Severity,vul_true,component,devices,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,cwe,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity,cwe_info,Date,earliest_version,latest_version
2174,CVE-2023-0266,2023,5,5/5/23,,"A-265303544,","https://android.googlesource.com/kernel/common/+/cc6c5c7fa237f65b08b9618188efe4b24b9cd886"" rel=""noreferrer",EoP,Moderate,,Kernel,,"A use after free vulnerability exists in the ALSA PCM package in the Linux Kernel. SNDRV_CTL_IOCTL_ELEM_{READ|WRITE}32 is missing locks that can be used in a use-after-free that can result in a priviledge escalation to gain ring0 access from the system user. We recommend upgrading past commit 56b88b50565cd8b946a2d00b0c83927b7ebb055e
",,2023-01-30T14:15:10.500,2023-08-29T17:59:37.930,CWE-416,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Use After Free,2023-05-01,,
2364,CVE-2022-27405,2023,7,7/1/23,,A-271680254,"https://android.googlesource.com/platform/external/freetype/+/d45f0e49ab54065eb72d92aa3cc5f2152b0910b7"" rel=""noreferrer",ID,High,"11, 12, 12L, 13",,,FreeType commit 53dfdcd8198d2b3201a23c4bad9190519ba918db was discovered to contain a segmentation violation via the function FNT_Size_Request.,,2022-04-22T14:15:09.483,2024-02-29T01:34:23.723,CWE-125,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Out-of-bounds Read,2023-07-01,11,13
2365,CVE-2022-27406,2023,7,7/1/23,,A-271680254,"https://android.googlesource.com/platform/external/freetype/+/d45f0e49ab54065eb72d92aa3cc5f2152b0910b7"" rel=""noreferrer",ID,High,"11, 12, 12L, 13",,,FreeType commit 22a0cccb4d9d002f33c1ba7a4b36812c7d4f46b5 was discovered to contain a segmentation violation via the function FT_Request_Size.,,2022-04-22T14:15:09.537,2024-02-29T01:34:23.797,CWE-125,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Out-of-bounds Read,2023-07-01,11,13
2603,CVE-2022-20456,2023,1,1/1/23,,A-242703780,"https://android.googlesource.com/platform/frameworks/base/+/de172ba0d434c940be9e2aad8685719731ab7da2"" rel=""noreferrer",EoP,High,"10, 11, 12, 12L, 13",,,"In AutomaticZenRule of AutomaticZenRule.java, there is a possible failure to persist permissions settings due to resource exhaustion. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-10 Android-11 Android-12 Android-12L Android-13Android ID: A-242703780","Android-10, Android-11, Android-12, Android-12, Android-13",2023-01-26T21:15:26.693,2023-02-01T15:19:56.997,CWE-770,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Allocation of Resources Without Limits or Throttling,2023-01-01,10,13
2701,CVE-2022-40529,2023,6,6/5/23,,A-261470065,,,Critical,,Closed-source component,,Memory corruption due to improper access control in kernel while processing a mapping request from root process.,,2023-06-06T08:15:11.520,2024-04-12T17:16:36.167,CWE-863,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Incorrect Authorization,2023-06-01,,
2701,CVE-2022-40529,2023,6,6/5/23,,A-261470065,,,Critical,,Closed-source component,,Memory corruption due to improper access control in kernel while processing a mapping request from root process.,,2023-06-06T08:15:11.520,2024-04-12T17:16:36.167,CWE-284,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Improper Access Control,2023-06-01,,
3666,CVE-2022-20419,2022,10,10/1/22,,A-237290578,"https://android.googlesource.com/platform/frameworks/base/+/e5dd8be748c76c11615050c610dfc1fae73ad4a4"" rel=""noreferrer",ID,Critical,"12L, 13",,,"In setOptions of ActivityRecord.java, there is a possible load any arbitrary Java code into launcher process due to a logic error in the code. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-12L Android-13Android ID: A-237290578","Android-12, Android-13",2022-10-11T20:15:12.260,2022-10-13T02:49:41.800,NVD-CWE-noinfo,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,,2022-10-01,12,13
3790,CVE-2021-35104,2022,4,4/5/22,,A-213240044,,,Critical,,Closed-source component,,"Possible buffer overflow due to improper parsing of headers while playing the FLAC audio clip in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Voice & Music, Snapdragon Wearables, Snapdragon Wired Infrastructure and Networking",,2022-06-14T10:15:17.017,2023-04-19T17:10:55.030,CWE-120,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),2022-04-01,,
4156,CVE-2022-20026,2022,2,2/5/22,,"A-209705229,M-ALPS06126827",,,High,,Bluetooth,,"In Bluetooth, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS06126827; Issue ID: ALPS06126827.",,2022-02-09T23:15:16.947,2022-02-11T20:26:42.890,CWE-787,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Out-of-bounds Write,2022-02-01,,
4276,CVE-2021-0889,2021,11,11/5/21,,A-180745296,,RCE,Critical,,Android TV Remote Service,,"In Android TV , there is a possible silent pairing due to lack of rate limiting in the pairing flow. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-10 Android-11 Android-12 Android-8.1 Android-9Android ID: A-180745296","Android-10, Android-11, Android-12, Android-8, Android-9",2021-12-15T19:15:10.843,2021-12-17T15:20:32.343,NVD-CWE-noinfo,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,,2021-11-01,,
4277,CVE-2021-0927,2021,11,11/5/21,,A-189824175,https://android.googlesource.com/platform/frameworks/base/+/20552b60ee15e6cbc64add4b29aade7166c8374e,EoP,High,,TvInputManager,,"In requestChannelBrowsable of TvInputManagerService.java, there is a possible permission bypass due to a logic error in the code. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-10 Android-11 Android-12 Android-8.1 Android-9Android ID: A-189824175","Android-10, Android-11, Android-12, Android-8, Android-9",2021-12-15T19:15:11.303,2021-12-17T17:58:30.250,CWE-281,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Improper Preservation of Permissions,2021-11-01,,
4289,CVE-2021-1048,2021,11,11/5/21,,"A-204573007,","https://android.googlesource.com/kernel/common/+/77f4689de17c0887775bb77896f4cc11a39bf848"" rel=""noreferrer",EoP,High,,Kernel,,"In ep_loop_check_proc of eventpoll.c, there is a possible way to corrupt memory due to a use after free. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android kernelAndroid ID: A-204573007References: Upstream kernel",,2021-12-15T19:15:14.917,2021-12-20T16:56:29.830,CWE-416,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Use After Free,2021-11-01,,
4314,CVE-2021-0468,2021,4,4/5/21,,"A-180427272,M-ALPS05518125",,,High,,LK,,"In LK, there is a possible escalation of privilege due to an insecure default value. This could lead to local escalation of privilege for an attacker who has physical access to the device with no additional execution privileges needed. User interaction is needed for exploitation.Product: AndroidVersions: Android SoCAndroid ID: A-180427272",,2021-04-13T19:15:13.633,2022-07-12T17:42:04.277,CWE-1188,cvssMetricV31,PHYSICAL,LOW,NONE,REQUIRED,HIGH,HIGH,HIGH,6.6,MEDIUM,Initialization of a Resource with an Insecure Default,2021-04-01,,
4353,CVE-2020-10766,2021,1,1/5/21,,"A-169505740,",https://android.googlesource.com/kernel/common/+/dbbe2ad02e9df26e372f38cc3e70dab9222c832e,ID,High,,Speculative execution,,A logic bug flaw was found in Linux kernel before 5.8-rc1 in the implementation of SSBD. A bug in the logic handling allows an attacker with a local account to disable SSBD protection during a context switch when additional speculative execution mitigations are in place. This issue was introduced when the per task/process conditional STIPB switching was added on top of the existing SSBD switching. The highest threat from this vulnerability is to confidentiality.,5.8,2020-09-15T23:15:12.143,2023-11-07T03:14:21.980,NVD-CWE-noinfo,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,NONE,NONE,5.5,MEDIUM,,2021-01-01,,
4353,CVE-2020-10766,2021,1,1/5/21,,"A-169505740,",https://android.googlesource.com/kernel/common/+/dbbe2ad02e9df26e372f38cc3e70dab9222c832e,ID,High,,Speculative execution,,A logic bug flaw was found in Linux kernel before 5.8-rc1 in the implementation of SSBD. A bug in the logic handling allows an attacker with a local account to disable SSBD protection during a context switch when additional speculative execution mitigations are in place. This issue was introduced when the per task/process conditional STIPB switching was added on top of the existing SSBD switching. The highest threat from this vulnerability is to confidentiality.,5.8,2020-09-15T23:15:12.143,2023-11-07T03:14:21.980,CWE-440,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,NONE,NONE,5.5,MEDIUM,"A feature, API, or function does not perform according to its specification. ",2021-01-01,,
4354,CVE-2020-10767,2021,1,1/5/21,,"A-156766097,",https://android.googlesource.com/kernel/common/+/21998a351512eba4ed5969006f0c55882d995ada,ID,High,,Linux kernel,,A flaw was found in the Linux kernel before 5.8-rc1 in the implementation of the Enhanced IBPB (Indirect Branch Prediction Barrier). The IBPB mitigation will be disabled when STIBP is not available or when the Enhanced Indirect Branch Restricted Speculation (IBRS) is available. This flaw allows a local attacker to perform a Spectre V2 style attack when this configuration is active. The highest threat from this vulnerability is to confidentiality.,5.8,2020-09-15T23:15:12.223,2023-11-07T03:14:22.157,NVD-CWE-noinfo,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,NONE,NONE,5.5,MEDIUM,,2021-01-01,,
4354,CVE-2020-10767,2021,1,1/5/21,,"A-156766097,",https://android.googlesource.com/kernel/common/+/21998a351512eba4ed5969006f0c55882d995ada,ID,High,,Linux kernel,,A flaw was found in the Linux kernel before 5.8-rc1 in the implementation of the Enhanced IBPB (Indirect Branch Prediction Barrier). The IBPB mitigation will be disabled when STIBP is not available or when the Enhanced Indirect Branch Restricted Speculation (IBRS) is available. This flaw allows a local attacker to perform a Spectre V2 style attack when this configuration is active. The highest threat from this vulnerability is to confidentiality.,5.8,2020-09-15T23:15:12.223,2023-11-07T03:14:22.157,CWE-440,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,NONE,NONE,5.5,MEDIUM,"A feature, API, or function does not perform according to its specification. ",2021-01-01,,
4417,CVE-2020-10768,2021,10,10/5/21,,"A-169505929,","https://android.googlesource.com/kernel/common/+/4d8df8cbb9156b0a0ab3f802b80cb5db57acc0bf"" rel=""noreferrer",ID,High,,i86 Spectre v2 protections,,"A flaw was found in the Linux Kernel before 5.8-rc1 in the prctl() function, where it can be used to enable indirect branch speculation after it has been disabled. This call incorrectly reports it as being 'force disabled' when it is not and opens the system to Spectre v2 attacks. The highest threat from this vulnerability is to confidentiality.",5.8,2020-09-16T00:15:11.943,2023-11-07T03:14:22.500,NVD-CWE-noinfo,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,NONE,NONE,5.5,MEDIUM,,2021-10-01,,
4417,CVE-2020-10768,2021,10,10/5/21,,"A-169505929,","https://android.googlesource.com/kernel/common/+/4d8df8cbb9156b0a0ab3f802b80cb5db57acc0bf"" rel=""noreferrer",ID,High,,i86 Spectre v2 protections,,"A flaw was found in the Linux Kernel before 5.8-rc1 in the prctl() function, where it can be used to enable indirect branch speculation after it has been disabled. This call incorrectly reports it as being 'force disabled' when it is not and opens the system to Spectre v2 attacks. The highest threat from this vulnerability is to confidentiality.",5.8,2020-09-16T00:15:11.943,2023-11-07T03:14:22.500,CWE-440,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,NONE,NONE,5.5,MEDIUM,"A feature, API, or function does not perform according to its specification. ",2021-10-01,,
4421,CVE-2020-11301,2021,10,10/5/21,,"A-179929247,QC-CR#2860198,QC-CR#2867022","https://source.codeaurora.org/quic/la/kernel/msm-5.4/commit/?id=c993cbae6e07d3e589221347d856b0cd52cb14ad"" rel=""noreferrer,https://source.codeaurora.org/quic/qsdk/oss/system/feeds/wlan-open/commit/?id=2ea9f988b9182a930fdaef1e40d61d49af21d0c8"" rel=""noreferrer,https://source.codeaurora.org/quic/qsdk/oss/wigig-utils/commit/?id=9d93c8630a8f175e1f210b7831b7476dc1be3e78"" rel=""noreferrer",,Critical,,WLAN,,"Improper authentication of un-encrypted plaintext Wi-Fi frames in an encrypted network can lead to information disclosure in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer Electronics Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon IoT, Snapdragon Mobile, Snapdragon Voice & Music, Snapdragon Wearables, Snapdragon Wired Infrastructure and Networking",,2021-09-08T12:15:07.673,2021-09-14T23:55:48.303,CWE-287,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,Improper Authentication,2021-10-01,,
4423,CVE-2020-24588,2021,10,10/5/21,,"A-175626624,QC-CR#2866467,QC-CR#2867994,QC-CR#2861800","https://source.codeaurora.org/quic/le/platform/vendor/qcom-opensource/wlan/prima/commit/?id=92d43ef6f275d90c352cc73e6cc1eb1db9eda9c3"" rel=""noreferrer,https://source.codeaurora.org/quic/la/kernel/msm-5.4/commit/?id=b2c81339a9c4041c03a9b3f023fbd50627d7b69a"" rel=""noreferrer,https://source.codeaurora.org/quic/qsdk/oss/wigig-utils/commit/?id=28ee8b8cd94976d19b27b1f7f62283ac190de47d"" rel=""noreferrer,https://source.codeaurora.org/quic/qsdk/oss/wigig-utils/commit/?id=47740835afcea2c564589dd708d69271f482cfb5"" rel=""noreferrer,https://source.codeaurora.org/quic/le/kernel/msm-4.19/commit/?id=669896525ec2f1c0e0f7f644c65f4997cbc2398b"" rel=""noreferrer,https://source.codeaurora.org/quic/la/kernel/msm-4.14/commit/?id=aed8f80bd041daa066d66e91ad34dc053227bf57"" rel=""noreferrer",,High,,WLAN,,"The 802.11 standard that underpins Wi-Fi Protected Access (WPA, WPA2, and WPA3) and Wired Equivalent Privacy (WEP) doesn't require that the A-MSDU flag in the plaintext QoS header field is authenticated. Against devices that support receiving non-SSP A-MSDU frames (which is mandatory as part of 802.11n), an adversary can abuse this to inject arbitrary network packets.","802.11, 802.11",2021-05-11T20:15:08.613,2023-04-01T22:15:08.467,CWE-327,cvssMetricV31,ADJACENT_NETWORK,LOW,NONE,REQUIRED,NONE,LOW,NONE,3.5,LOW,Use of a Broken or Risky Cryptographic Algorithm,2021-10-01,,
4432,CVE-2021-30312,2021,10,10/5/21,,"A-193070595,,QC-CR#2948107","https://source.codeaurora.org/quic/qsdk/oss/wigig-utils/commit/?id=c1f7ee3b7044b85fa5162d7ed9a8c427b40b001e"" rel=""noreferrer,https://source.codeaurora.org/quic/la/kernel/msm-4.14/commit/?id=4e1fab2d80526a57f4123d53be1fe75f45f22ec5"" rel=""noreferrer",,High,,WLAN,,"Improper authentication of sub-frames of a multicast AMSDU frame can lead to information disclosure in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Voice & Music, Snapdragon Wearables, Snapdragon Wired Infrastructure and Networking",,2021-10-20T07:15:08.963,2021-10-26T18:51:10.777,CWE-287,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,Improper Authentication,2021-10-01,,
4442,CVE-2021-1983,2021,10,10/5/21,,A-190402581,,,High,,Closed-source component,,"Possible buffer overflow due to improper handling of negative data length while processing write request in VR service in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Wearables",,2021-10-20T07:15:08.087,2021-10-26T18:34:22.493,CWE-120,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),2021-10-01,,
