ID,CVE,Year,Month,date,bug,link,Type,Severity,vul_true,component,devices,cwe,descriptions,published,last_modified,version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity,NVD_descriptions,NVD_published,NVD_last_modified,NVD_version,cwe_info
1074,CVE-2017-0824,2017,OCT,,"A-37622847,B-V2017063001",,EoP,Moderate,,WiFi driver,,NVD-CWE-noinfo,An elevation of privilege vulnerability in the Broadcom wifi driver. Product: Android. Versions: Android kernel. Android ID: A-37622847. References: B-V2017063001.,2017-10-04T01:29:01.730,2019-10-03T00:03:26.223,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,An elevation of privilege vulnerability in the Broadcom wifi driver. Product: Android. Versions: Android kernel. Android ID: A-37622847. References: B-V2017063001.,2017-10-04T01:29:01.730,2019-10-03T00:03:26.223,cvssMetricV30,
1075,CVE-2017-0825,2017,OCT,,"A-37305633,B-V2017063002",,ID,Moderate,,WiFi driver,,CWE-200,An information disclosure vulnerability in the Broadcom wifi driver. Product: Android. Versions: Android kernel. Android ID: A-37305633. References: B-V2017063002.,2017-10-04T01:29:01.760,2017-10-12T15:43:13.370,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,An information disclosure vulnerability in the Broadcom wifi driver. Product: Android. Versions: Android kernel. Android ID: A-37305633. References: B-V2017063002.,2017-10-04T01:29:01.760,2017-10-12T15:43:13.370,cvssMetricV30,Exposure of Sensitive Information to an Unauthorized Actor
1076,CVE-2017-0826,2017,OCT,,A-34949781,,EoP,Moderate,,Bootloader,,NVD-CWE-noinfo,An elevation of privilege vulnerability in the HTC bootloader. Product: Android. Versions: Android kernel. Android ID: A-34949781.,2017-10-04T01:29:01.823,2019-10-03T00:03:26.223,cvssMetricV30,LOCAL,LOW,NONE,REQUIRED,HIGH,HIGH,HIGH,7.8,HIGH,An elevation of privilege vulnerability in the HTC bootloader. Product: Android. Versions: Android kernel. Android ID: A-34949781.,2017-10-04T01:29:01.823,2019-10-03T00:03:26.223,cvssMetricV30,
1077,CVE-2017-0828,2017,OCT,,A-34622855,,EoP,Moderate,,Bootloader,,NVD-CWE-noinfo,An elevation of privilege vulnerability in the Huawei bootloader. Product: Android. Versions: Android kernel. Android ID: A-34622855.,2017-10-04T01:29:01.887,2019-10-03T00:03:26.223,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,An elevation of privilege vulnerability in the Huawei bootloader. Product: Android. Versions: Android kernel. Android ID: A-34622855.,2017-10-04T01:29:01.887,2019-10-03T00:03:26.223,cvssMetricV30,
1078,CVE-2017-7187,2017,OCT,,"A-63666227,",https://git.kernel.org/pub/scm/linux/kernel/git/mkp/scsi.git/commit/?h=4.11/scsi-fixes&amp;id=bf33f87dd04c371ea33feb821b60d63d754e3124,EoP,Moderate,,SCSI driver,,CWE-119,"The sg_ioctl function in drivers/scsi/sg.c in the Linux kernel through 4.10.4 allows local users to cause a denial of service (stack-based buffer overflow) or possibly have unspecified other impact via a large command size in an SG_NEXT_CMD_LEN ioctl call, leading to out-of-bounds write access in the sg_write function.",2017-03-20T14:59:00.153,2023-02-10T00:53:09.373,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,"The sg_ioctl function in drivers/scsi/sg.c in the Linux kernel through 4.10.4 allows local users to cause a denial of service (stack-based buffer overflow) or possibly have unspecified other impact via a large command size in an SG_NEXT_CMD_LEN ioctl call, leading to out-of-bounds write access in the sg_write function.",2017-03-20T14:59:00.153,2023-02-10T00:53:09.373,cvssMetricV31,Improper Restriction of Operations within the Bounds of a Memory Buffer
1079,CVE-2017-0829,2017,OCT,,A-62345044,,EoP,Moderate,,Bootloader,,NVD-CWE-noinfo,An elevation of privilege vulnerability in the Motorola bootloader. Product: Android. Versions: Android kernel. Android ID: A-62345044.,2017-10-04T01:29:01.933,2019-10-03T00:03:26.223,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,An elevation of privilege vulnerability in the Motorola bootloader. Product: Android. Versions: Android kernel. Android ID: A-62345044.,2017-10-04T01:29:01.933,2019-10-03T00:03:26.223,cvssMetricV30,
1080,CVE-2017-9686,2017,OCT,,"A-62827928,,QC-CR#1115359",https://www.codeaurora.org/gitweb/quic/la/?p=kernel/msm-3.18.git;a=commit;h=de875dd095d3ec0906c77518d28f793e6c69a9da,EoP,Moderate,,SPS driver,,CWE-415,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, there is a possible double free/use after free in the SPS driver when debugfs logging is used.",2017-10-10T20:29:01.023,2017-10-19T17:19:43.607,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, there is a possible double free/use after free in the SPS driver when debugfs logging is used.",2017-10-10T20:29:01.023,2017-10-19T17:19:43.607,cvssMetricV30,Double Free
1081,CVE-2017-11050,2017,OCT,,"A-62085265,,QC-CR#2064785",https://source.codeaurora.org/quic/la//platform/vendor/qcom-opensource/wlan/qcacld-2.0/commit/?id=725674586f5bc009ef5175d29eb0fd677e0ef1f2,EoP,Moderate,,WLAN,,CWE-119,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, when the pktlogconf tool gives a pktlog buffer of size less than the minimal possible source data size in the host driver, a buffer overflow can potentially occur.",2017-10-10T20:29:00.400,2017-10-19T18:03:21.890,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, when the pktlogconf tool gives a pktlog buffer of size less than the minimal possible source data size in the host driver, a buffer overflow can potentially occur.",2017-10-10T20:29:00.400,2017-10-19T18:03:21.890,cvssMetricV30,Improper Restriction of Operations within the Bounds of a Memory Buffer
1082,CVE-2017-11067,2017,OCT,,"A-62058746,QC-CR#2062012",,EoP,Moderate,,WLAN,,CWE-119,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, the Athdiag procfs entry does not have a proper address sanity check which may potentially lead to the use of an out-of-range pointer offset.",2017-10-10T20:29:00.883,2017-10-19T17:23:36.567,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, the Athdiag procfs entry does not have a proper address sanity check which may potentially lead to the use of an out-of-range pointer offset.",2017-10-10T20:29:00.883,2017-10-19T17:23:36.567,cvssMetricV30,Improper Restriction of Operations within the Bounds of a Memory Buffer
1083,CVE-2017-11057,2017,OCT,,"A-37949660,QC-CR#2059812",,EoP,Moderate,,Camera,,CWE-119,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, in compatibility mode, flash_data from 64-bit userspace may cause disclosure of kernel memory or a fault due to using a userspace-provided address.",2017-10-10T20:29:00.617,2017-10-19T17:59:42.823,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, in compatibility mode, flash_data from 64-bit userspace may cause disclosure of kernel memory or a fault due to using a userspace-provided address.",2017-10-10T20:29:00.617,2017-10-19T17:59:42.823,cvssMetricV30,Improper Restriction of Operations within the Bounds of a Memory Buffer
1084,CVE-2017-11056,2017,OCT,,"A-37893116,QC-CR#2060504",,EoP,Moderate,,Crypto driver,,CWE-119,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, while doing sha and cipher operations, a userspace buffer is directly accessed in kernel space potentially leading to a page fault.",2017-10-10T20:29:00.587,2017-10-19T18:00:02.950,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, while doing sha and cipher operations, a userspace buffer is directly accessed in kernel space potentially leading to a page fault.",2017-10-10T20:29:00.587,2017-10-19T18:00:02.950,cvssMetricV30,Improper Restriction of Operations within the Bounds of a Memory Buffer
1085,CVE-2017-11046,2017,OCT,,"A-37623773,QC-CR#2059656",,EoP,Moderate,,Audio driver,,CWE-787,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, when an audio driver ioctl handler is called, a kernel out-of-bounds write can potentially occur.",2017-10-10T20:29:00.320,2017-10-19T18:03:44.797,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, when an audio driver ioctl handler is called, a kernel out-of-bounds write can potentially occur.",2017-10-10T20:29:00.320,2017-10-19T18:03:44.797,cvssMetricV30,Out-of-bounds Write
1086,CVE-2017-11059,2017,OCT,,"A-37284397,QC-CR#2057375",,EoP,Moderate,,Crypto Driver,,CWE-119,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, setting the HMAC key by different threads during SHA operations may potentially lead to a buffer overflow.",2017-10-10T20:29:00.650,2017-10-19T17:59:25.027,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, setting the HMAC key by different threads during SHA operations may potentially lead to a buffer overflow.",2017-10-10T20:29:00.650,2017-10-19T17:59:25.027,cvssMetricV30,Improper Restriction of Operations within the Bounds of a Memory Buffer
1087,CVE-2017-9706,2017,OCT,,"A-34170483,QC-CR#2030399",,EoP,Moderate,,Video driver,,CWE-119,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, an array out-of-bounds access can potentially occur in a display driver.",2017-10-10T20:29:01.133,2017-10-19T17:17:22.573,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, an array out-of-bounds access can potentially occur in a display driver.",2017-10-10T20:29:01.133,2017-10-19T17:17:22.573,cvssMetricV30,Improper Restriction of Operations within the Bounds of a Memory Buffer
1088,CVE-2017-11048,2017,OCT,,"A-37093119,QC-CR#2052691",,EoP,Moderate,,Video driver,,CWE-416,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, in a display driver function, a Use After Free condition can occur.",2017-10-10T20:29:00.353,2017-10-19T18:03:30.390,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, in a display driver function, a Use After Free condition can occur.",2017-10-10T20:29:00.353,2017-10-19T18:03:30.390,cvssMetricV30,Use After Free
1089,CVE-2017-9697,2017,OCT,,"A-63868628,,QC-CR#2032672",https://www.codeaurora.org/gitweb/quic/la/?p=kernel/msm-4.4.git;a=commit;h=7e45e3a6c1f6dd46d71fb6824a7cf702d2e79225,EoP,Moderate,,SoC driver,,CWE-362,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, a race condition can allow access to already freed memory while reading command registration table entries in diag_dbgfs_read_table.",2017-10-10T20:29:01.103,2017-10-19T17:18:13.917,cvssMetricV30,LOCAL,HIGH,LOW,NONE,HIGH,HIGH,HIGH,7,HIGH,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, a race condition can allow access to already freed memory while reading command registration table entries in diag_dbgfs_read_table.",2017-10-10T20:29:01.103,2017-10-19T17:18:13.917,cvssMetricV30,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition')
1090,CVE-2017-11051,2017,OCT,,"A-62456806,,QC-CR#2061755",https://source.codeaurora.org/quic/la//platform/vendor/qcom-opensource/wlan/qcacld-2.0/commit/?id=c8f263f0e3b0b6cba38fae9b2330d77f802c51d8,ID,Moderate,,WLAN,,CWE-200,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, information disclosure is possible in function __wlan_hdd_cfg80211_testmode since buffer hb_params is not initialized to zero.",2017-10-10T20:29:00.430,2017-10-19T18:03:03.610,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, information disclosure is possible in function __wlan_hdd_cfg80211_testmode since buffer hb_params is not initialized to zero.",2017-10-10T20:29:00.430,2017-10-19T18:03:03.610,cvssMetricV30,Exposure of Sensitive Information to an Unauthorized Actor
1091,CVE-2017-9715,2017,OCT,,"A-36730104,QC-CR#2054958,QC-CR#2057034",,ID,Moderate,,WLAN,,CWE-125,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, while processing a vendor command, a buffer over-read can occur.",2017-10-10T20:29:01.197,2019-10-03T00:03:26.223,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, while processing a vendor command, a buffer over-read can occur.",2017-10-10T20:29:01.197,2019-10-03T00:03:26.223,cvssMetricV30,Out-of-bounds Read
1092,CVE-2017-11061,2017,OCT,,"A-36816726,QC-CR#2054693,QC-CR#2059701",,ID,Moderate,,WLAN,,CWE-125,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, while processing cfg80211 vendor sub command QCA_NL80211_VENDOR_SUBCMD_ROAM, a buffer over-read can occur.",2017-10-10T20:29:00.727,2019-10-03T00:03:26.223,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, while processing cfg80211 vendor sub command QCA_NL80211_VENDOR_SUBCMD_ROAM, a buffer over-read can occur.",2017-10-10T20:29:00.727,2019-10-03T00:03:26.223,cvssMetricV30,Out-of-bounds Read
1093,CVE-2017-11060,2017,OCT,,"A-36817548,QC-CR#2058447,QC-CR#2054770",,ID,Moderate,,WLAN,,CWE-125,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, a buffer overread is observed during processing of ACA_NL80211_VENDOR_SUBCMD_EXTSCAN_PNO_SET_PASSPOINT_LIST and QCA_NL80211_VENDOR_SUBCMD_EXTSCAN_PNO_SET_LIST cfg80211 vendor commands in __wlan_hdd_cfg80211_set_passpoint_list and hdd_extscan_passpoint_fill_network_list function respectively. Android ID: A-36817548. References: QC-CR#2058447, QC-CR#2054770.",2017-10-10T20:29:00.680,2019-10-03T00:03:26.223,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, a buffer overread is observed during processing of ACA_NL80211_VENDOR_SUBCMD_EXTSCAN_PNO_SET_PASSPOINT_LIST and QCA_NL80211_VENDOR_SUBCMD_EXTSCAN_PNO_SET_LIST cfg80211 vendor commands in __wlan_hdd_cfg80211_set_passpoint_list and hdd_extscan_passpoint_fill_network_list function respectively. Android ID: A-36817548. References: QC-CR#2058447, QC-CR#2054770.",2017-10-10T20:29:00.680,2019-10-03T00:03:26.223,cvssMetricV30,Out-of-bounds Read
1094,CVE-2017-9717,2017,OCT,,"A-36817053,QC-CR#2051450",,ID,Moderate,,WLAN,,CWE-125,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, while parsing Netlink attributes, a buffer overread can occur.",2017-10-10T20:29:01.227,2019-10-03T00:03:26.223,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, while parsing Netlink attributes, a buffer overread can occur.",2017-10-10T20:29:01.227,2019-10-03T00:03:26.223,cvssMetricV30,Out-of-bounds Read
1095,CVE-2017-11052,2017,OCT,,"A-37687303,QC-CR#2061688",,ID,Moderate,,WLAN,,CWE-125,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, while processing a specially crafted QCA_NL80211_VENDOR_SUBCMD_NDP cfg80211 vendor command a buffer over-read can occur.",2017-10-10T20:29:00.460,2019-10-03T00:03:26.223,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, while processing a specially crafted QCA_NL80211_VENDOR_SUBCMD_NDP cfg80211 vendor command a buffer over-read can occur.",2017-10-10T20:29:00.460,2019-10-03T00:03:26.223,cvssMetricV30,Out-of-bounds Read
1096,CVE-2017-11054,2017,OCT,,"A-37713609,QC-CR#2061251",,ID,Moderate,,WLAN,,CWE-125,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, while processing a specially crafted cfg80211 vendor command, a buffer over-read can occur.",2017-10-10T20:29:00.523,2019-10-03T00:03:26.223,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, while processing a specially crafted cfg80211 vendor command, a buffer over-read can occur.",2017-10-10T20:29:00.523,2019-10-03T00:03:26.223,cvssMetricV30,Out-of-bounds Read
1097,CVE-2017-11062,2017,OCT,,"A-37720349,QC-CR#2058448",,ID,Moderate,,WLAN,,CWE-125,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, currently attributes are not validated in __wlan_hdd_cfg80211_do_acs which can potentially lead to a buffer overread.",2017-10-10T20:29:00.773,2019-10-03T00:03:26.223,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, currently attributes are not validated in __wlan_hdd_cfg80211_do_acs which can potentially lead to a buffer overread.",2017-10-10T20:29:00.773,2019-10-03T00:03:26.223,cvssMetricV30,Out-of-bounds Read
