CVE,Year,Month,Severity,cwe,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity
CVE-2023-40110,2023,November,High,,"In multiple functions of MtpPacket.cpp, there is a possible out of bounds write due to a heap buffer overflow. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation.",None,2024-02-15T23:15:08.420,2024-02-16T13:37:55.033,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2023-40111,2023,November,High,,"In setMediaButtonReceiver of MediaSessionRecord.java, there is a possible way to send a pending intent on behalf of system_server due to a confused deputy. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation.",None,2024-02-15T23:15:08.487,2024-02-16T13:37:55.033,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2023-40114,2023,November,High,,"In multiple functions of MtpFfsHandle.cpp , there is a possible out of bounds write due to a use after free. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation.",None,2024-02-15T23:15:08.647,2024-02-16T13:37:55.033,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2023-40105,2023,November,High,,"In backupAgentCreated of ActivityManagerService.java, there is a possible way to leak sensitive data due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-15T23:15:08.083,2024-02-16T13:37:55.033,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2023-40124,2023,November,High,,"In multiple locations, there is a possible cross-user read due to a confused deputy. This could lead to local information disclosure of photos or other images with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-15T23:15:08.743,2024-02-16T13:37:55.033,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2023-40100,2023,November,High,,"In discovery_thread of Dns64Configuration.cpp, there is a possible memory corruption due to a use after free. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-15T23:15:07.743,2024-02-16T13:38:00.047,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2023-40115,2023,November,High,,"In readLogs of StatsService.cpp, there is a possible memory corruption due to a use after free. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-15T23:15:08.693,2024-02-16T13:37:55.033,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2023-40104,2023,November,High,,"In ca-certificates, there is a possible way to read encrypted TLS data due to untrusted cryptographic certificates. This could lead to remote information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-15T23:15:08.017,2024-02-16T13:37:55.033,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2023-40112,2023,November,High,,"In ippSetValueTag of ipp.c, there is a possible out of bounds read due to a missing bounds check. This could lead to local information disclosure of past print jobs or other print-related information, with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-15T23:15:08.543,2024-02-16T13:37:55.033,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0022,2024,April,High,,"In multiple functions of CompanionDeviceManagerService.java, there is a possible launch NotificationAccessConfirmationActivity of another user profile due to improper input validation. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-05-07T21:15:08.330,2024-05-08T13:15:00.690,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-23710,2024,April,High,,"In assertPackageWithSharedUserIdIsPrivileged of InstallPackageHelper.java, there is a possible execution of arbitrary app code as a privileged app due to a logic error in the code. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-05-07T21:15:08.930,2024-05-08T13:15:00.690,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-23712,2024,April,High,,"In multiple functions of AppOpsService.java, there is a possible way to saturate the content of /data/system/appops_accesses.xml due to resource exhaustion. This could lead to local denial of service with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-05-07T21:15:08.977,2024-05-08T13:15:00.690,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-23713,2024,April,High,,"In migrateNotificationFilter of NotificationManagerService.java, there is a possible failure to persist notifications settings due to improper input validation. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-05-07T21:15:09.017,2024-05-08T13:15:00.690,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-20039,2024,April,High,,"In modem protocol, there is a possible out of bounds write due to a missing bounds check. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: MOLY01240012; Issue ID: MSV-1215.",None,2024-04-01T03:15:07.780,2024-04-01T12:49:09.583,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-20040,2024,April,High,,"In wlan firmware, there is a possible out of bounds write due to improper input validation. This could lead to remote escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08360153 (for MT6XXX chipsets) / WCNCR00363530 (for MT79XX chipsets); Issue ID: MSV-979.",None,2024-04-01T03:15:07.847,2024-04-01T12:49:09.583,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0026,2024,April,High,,"In multiple functions of SnoozeHelper.java, there is a possible persistent denial of service due to resource exhaustion. This could lead to local denial of service with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-05-07T21:15:08.460,2024-05-08T13:15:00.690,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0027,2024,April,High,,"In multiple functions of SnoozeHelper.java, there is a possible way to cause a boot loop due to resource exhaustion. This could lead to local denial of service with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-05-07T21:15:08.500,2024-05-08T13:15:00.690,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-23704,2024,April,High,,"In onCreate of WifiDialogActivity.java, there is a possible way to bypass the DISALLOW_ADD_WIFI_CONFIG restriction due to a missing permission check. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-05-07T21:15:08.630,2024-05-08T13:15:00.690,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0042,2024,April,High,,"In TBD of TBD, there is a possible confusion of OEM and DRM certificates due to improperly used crypto. This could lead to local bypass of DRM content protection with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-05-07T21:15:08.540,2024-05-08T13:15:00.690,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0031,2024,February,Critical,,"In attp_build_read_by_type_value_cmd of att_protocol.cc , there is a possible out of bounds write due to improper input validation. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-16T02:15:50.763,2024-02-16T13:37:55.033,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0029,2024,February,High,,"In multiple files, there is a possible way to capture the device screen when disallowed by device policy due to a logic error in the code. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-16T02:15:50.633,2024-02-16T13:37:55.033,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0032,2024,February,High,,"In queryChildDocuments of FileSystemProvider.java, there is a possible way to request access to directories that should be hidden due to improper input validation. This could lead to local escalation of privilege with User execution privileges needed. User interaction is needed for exploitation.",None,2024-02-16T02:15:50.823,2024-02-16T13:37:55.033,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0034,2024,February,High,,"In BackgroundLaunchProcessController, there is a possible way to launch arbitrary activity from the background due to BAL Bypass. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-16T02:15:50.933,2024-02-16T13:37:51.433,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0036,2024,February,High,,"In startNextMatchingActivity of ActivityTaskManagerService.java, there is a possible way to bypass the restrictions on starting activities from the background due to a logic error in the code. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-16T02:15:51.047,2024-02-16T13:37:51.433,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0038,2024,February,High,,"In injectInputEventToInputFilter of AccessibilityManagerService.java, there is a possible arbitrary input event injection due to a missing permission check. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-16T02:15:51.157,2024-02-16T13:37:51.433,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0041,2024,February,High,,"In removePersistentDot of SystemStatusAnimationSchedulerImpl.kt, there is a possible race condition due to a logic error in the code. This could lead to local escalation of privilege that fails to remove the persistent dot with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-16T02:15:51.253,2024-02-16T13:37:51.433,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2023-40122,2024,February,High,,"In applyCustomDescription of SaveUi.java, there is a possible way to view other user's images due to a confused deputy. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-16T02:15:50.513,2024-02-16T13:37:55.033,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0037,2024,February,High,,"In applyCustomDescription of SaveUi.java, there is a possible way to view images belonging to a different user due to a missing permission check. This could lead to local information disclosure with User execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-16T02:15:51.097,2024-02-16T13:37:51.433,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0040,2024,February,High,,"In setParameter of MtpPacket.cpp, there is a possible out of bounds read due to a heap buffer overflow. This could lead to remote information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-16T02:15:51.203,2024-02-16T13:37:51.433,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0014,2024,February,High,,"In startInstall of UpdateFetcher.java, there is a possible way to trigger a malicious config update due to a logic error. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-16T02:15:50.580,2024-02-16T13:37:55.033,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0033,2024,February,High,,"In multiple functions of ashmem-dev.cpp, there is a possible missing seal due to a heap buffer overflow. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-16T02:15:50.877,2024-02-16T13:37:51.433,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0035,2024,February,High,,"In onNullBinding of TileLifecycleManager.java, there is a possible way to launch an activity from the background due to a missing null check. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-16T02:15:50.980,2024-02-16T13:37:51.433,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2023-40093,2024,February,High,,"In multiple files, there is a possible way that trimmed content could be included in PDF output due to a logic error in the code. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-16T02:15:49.963,2024-02-16T13:37:55.033,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0030,2024,February,High,,"In btif_to_bta_response of btif_gatt_util.cc, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-16T02:15:50.710,2024-02-16T13:37:55.033,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0015,2024,January,High,,"In convertToComponentName of DreamService.java, there is a possible way to launch arbitrary protected activities due to intent redirection. This could lead to local escalation of privilege with User execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-16T19:15:08.153,2024-02-16T19:26:55.393,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0018,2024,January,High,,"In convertYUV420Planar16ToY410 of ColorConverter.cpp, there is a possible out of bounds write due to a heap buffer overflow. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-16T20:15:47.560,2024-02-16T21:39:50.223,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0023,2024,January,High,,"In ConvertRGBToPlanarYUV of Codec2BufferUtils.cpp, there is a possible out of bounds write due to an incorrect bounds check. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-16T20:15:47.767,2024-02-16T21:39:50.223,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0019,2024,January,High,,"In setListening of AppOpsControllerImpl.java, there is a possible way to hide the microphone privacy indicator when restarting systemUI due to a missing check for active recordings. This could lead to local denial of service with no additional execution privileges needed. User interaction is needed for exploitation.",None,2024-02-16T20:15:47.610,2024-02-16T21:39:50.223,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0021,2024,January,High,,"In onCreate of NotificationAccessConfirmationActivity.java, there is a possible way for an app in the work profile to enable notification listener services due to a logic error in the code. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation.",None,2024-02-16T20:15:47.717,2024-02-16T21:39:50.223,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2023-40085,2024,January,High,,"In convertSubgraphFromHAL of ShimConverter.cpp, there is a possible out of bounds read due to a missing bounds check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-16T19:15:08.093,2024-02-16T19:26:55.393,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0016,2024,January,High,,"In multiple locations, there is a possible out of bounds read due to a missing bounds check. This could lead to paired device information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-16T20:15:47.460,2024-02-16T21:39:50.223,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0017,2024,January,High,,"In shouldUseNoOpLocation of CameraActivity.java, there is a possible confused deputy due to a permissions bypass. This could lead to local information disclosure with no additional execution privileges needed. User interaction is needed for exploitation.",None,2024-02-16T20:15:47.513,2024-02-16T21:39:50.223,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0020,2024,January,High,,"In onActivityResult of NotificationSoundPreference.java, there is a possible way to hear audio files belonging to a different user due to a confused deputy. This could lead to local information disclosure across users of a device with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-16T20:15:47.667,2024-02-16T21:39:50.223,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0039,2024,March,Critical,,"In attp_build_value_cmd of att_protocol.cc, there is a possible out of bounds write due to a missing bounds check. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-03-11T17:15:45.350,2024-03-12T12:40:13.500,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-23717,2024,March,Critical,,"In access_secure_service_from_temp_bond of btm_sec.cc, there is a possible way to achieve keystroke injection due to improper input validation. This could lead to remote (proximal/adjacent) escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-03-11T17:15:46.253,2024-03-12T12:40:13.500,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0044,2024,March,High,,"In createSessionInternal of PackageInstallerService.java, there is a possible run-as any app due to improper input validation. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.

",None,2024-03-11T17:15:45.450,2024-03-12T20:15:07.633,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0046,2024,March,High,,"In installExistingPackageAsUser of InstallPackageHelper.java, there is a possible carrier restriction bypass due to a logic error in the code. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-03-11T17:15:45.563,2024-03-12T12:40:13.500,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0048,2024,March,High,,"In Session of AccountManagerService.java, there is a possible method to retain foreground service privileges due to incorrect handling of null responses. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-03-11T17:15:45.673,2024-03-12T12:40:13.500,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0049,2024,March,High,,"In multiple locations, there is a possible out of bounds write due to a heap buffer overflow. This could lead to local escalation of privilege with no additional execution privileges needed. User  interaction is not needed for exploitation.",None,2024-03-11T17:15:45.727,2024-03-12T12:40:13.500,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0050,2024,March,High,,"In getConfig of SoftVideoDecoderOMXComponent.cpp, there is a possible out of bounds write due to a missing validation check. This could lead to a local non-security issue with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-03-11T17:15:45.783,2024-03-12T12:40:13.500,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0051,2024,March,High,,"In onQueueFilled of SoftMPEG4.cpp, there is a possible out of bounds write due to a heap buffer overflow. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-03-11T17:15:45.840,2024-03-12T12:40:13.500,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0053,2024,March,High,,"In getCustomPrinterIcon of PrintManagerService.java, there is a possible way to view other user's images due to a confused deputy. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-03-11T17:15:45.950,2024-03-12T12:40:13.500,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0047,2024,March,High,,"In writeUserLP of UserManagerService.java, device policies are serialized with an incorrect tag due to a logic error in the code. This could lead to local denial of service when policies are deserialized on reboot with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-03-11T17:15:45.620,2024-03-12T12:40:13.500,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0045,2024,March,High,,"In smp_proc_sec_req of smp_act.cc, there is a possible out of bounds read due to improper input validation. This could lead to remote (proximal/adjacent) information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-03-11T17:15:45.507,2024-03-12T12:40:13.500,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-0052,2024,March,High,,"In multiple functions of healthconnect, there is a possible leakage of exercise route data due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-03-11T17:15:45.897,2024-03-12T12:40:13.500,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-20005,2024,March,High,,"In da, there is a possible permission bypass due to a missing permission check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08355599; Issue ID: ALPS08355599.",None,2024-03-04T03:15:06.917,2024-03-04T13:58:23.447,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-20022,2024,March,High,,"In lk, there is a possible escalation of privilege due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08528255; Issue ID: ALPS08528255.",None,2024-03-04T03:15:07.150,2024-03-04T13:58:23.447,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-20023,2024,March,High,,"In flashc, there is a possible out of bounds write due to lack of valudation. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541638; Issue ID: ALPS08541638.",None,2024-03-04T03:15:07.193,2024-03-04T13:58:23.447,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-20024,2024,March,High,,"In flashc, there is a possible out of bounds write due to lack of valudation. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541635; Issue ID: ALPS08541635.",None,2024-03-04T03:15:07.237,2024-03-04T13:58:23.447,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-20025,2024,March,High,,"In da, there is a possible out of bounds write due to an integer overflow. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541686; Issue ID: ALPS08541686.",None,2024-03-04T03:15:07.280,2024-03-04T13:58:23.447,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-20027,2024,March,High,,"In da, there is a possible out of bounds write due to improper input validation. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541632; Issue ID: ALPS08541633.",None,2024-03-04T03:15:07.363,2024-03-04T13:58:23.447,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-20028,2024,March,High,,"In da, there is a possible out of bounds write due to lack of valudation. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541632; Issue ID: ALPS08541687.",None,2024-03-04T03:15:07.403,2024-03-04T13:58:23.447,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-20020,2024,March,High,,"In OPTEE, there is a possible out of bounds write due to an incorrect bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08522504; Issue ID: ALPS08522504.",None,2024-03-04T03:15:07.107,2024-03-04T13:58:23.447,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2024-20026,2024,March,High,,"In da, there is a possible information disclosure due to improper input validation. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541632; Issue ID: ALPS08541632.",None,2024-03-04T03:15:07.320,2024-03-04T13:58:23.447,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2019-2027,2019,April,Critical,CWE-787,"In floor0_inverse1 of floor0.c, there is a possible out of bounds write due to an incorrect bounds check. This could lead to remote code execution with no additional execution privileges needed. User interaction is needed for exploitation. Product: Android. Versions: Android-7.0 Android-7.1.1 Android-7.1.2 Android-8.0 Android-8.1 Android-9. Android ID: A-119120561.","Android-7, Android-7, Android-7, Android-8, Android-8, Android-9",2019-04-19T20:29:00.283,2019-04-22T16:34:28.373,cvssMetricV30,NETWORK,LOW,NONE,REQUIRED,HIGH,HIGH,HIGH,8.8,HIGH
