CVE,Year,Month,Date_vivo,ID_asb,year_asb,month_asb,spl_type_asb,date_asb,bug_asb,link_asb,Type_asb,Severity,vul_true_asb,component_asb,devices_asb,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,cwe,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity,cwe_info,Date_asb
CVE-2021-39795,2022,12,2022-12-01,3769,2022,04,4/1/22,,,,,,,MediaProvider,,"Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Notes: Pulled from Android ASB#2022-04 publication (https://source.android.com/security/bulletin/2022-04-01) due to a functional regression. We will re-release this CVE at a future date, in a future publication that is currently TB",,2022-04-12T17:15:08.123,2023-11-07T03:37:43.327,,,,,,,,,,,,,2022-04-01
CVE-2021-39795,2022,12,2022-12-01,3956,2022,12,12/1/22,,A-201667614,"https://android.googlesource.com/platform/packages/providers/MediaProvider/+/bb4ec053ea16931e827f30c7b697cb35185a32be"" rel=""noreferrer",EoP,High,"11, 12, 12L, 13",,,"Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Notes: Pulled from Android ASB#2022-04 publication (https://source.android.com/security/bulletin/2022-04-01) due to a functional regression. We will re-release this CVE at a future date, in a future publication that is currently TB",,2022-04-12T17:15:08.123,2023-11-07T03:37:43.327,,,,,,,,,,,,,2022-12-01
CVE-2021-39795,2022,12,2022-12-01,3990,2022,12,12/1/22,,,,,,,MediaProvider,,"Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Notes: Pulled from Android ASB#2022-04 publication (https://source.android.com/security/bulletin/2022-04-01) due to a functional regression. We will re-release this CVE at a future date, in a future publication that is currently TB",,2022-04-12T17:15:08.123,2023-11-07T03:37:43.327,,,,,,,,,,,,,2022-12-01
CVE-2021-39617,2022,12,2022-12-01,2156,2023,05,5/1/23,,A-175190844,"https://android.googlesource.com/platform/frameworks/native/+/edb375df82f6b48688d85c11dbca91adef088bc8"" rel=""noreferrer",EoP,High,"11, 12, 12L",,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Further investigation showed that it was not a security issue. Notes: none.,,2022-12-13T16:15:14.507,2023-11-07T03:37:41.957,,,,,,,,,,,,,2023-05-01
CVE-2021-39617,2022,12,2022-12-01,2170,2023,05,5/1/23,,,,,,,Permission Controller,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Further investigation showed that it was not a security issue. Notes: none.,,2022-12-13T16:15:14.507,2023-11-07T03:37:41.957,,,,,,,,,,,,,2023-05-01
CVE-2021-39617,2023,05,2023-05-01,2156,2023,05,5/1/23,,A-175190844,"https://android.googlesource.com/platform/frameworks/native/+/edb375df82f6b48688d85c11dbca91adef088bc8"" rel=""noreferrer",EoP,High,"11, 12, 12L",,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Further investigation showed that it was not a security issue. Notes: none.,,2022-12-13T16:15:14.507,2023-11-07T03:37:41.957,,,,,,,,,,,,,2023-05-01
CVE-2021-39617,2023,05,2023-05-01,2170,2023,05,5/1/23,,,,,,,Permission Controller,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Further investigation showed that it was not a security issue. Notes: none.,,2022-12-13T16:15:14.507,2023-11-07T03:37:41.957,,,,,,,,,,,,,2023-05-01
CVE-2022-20444,2022,12,2022-12-01,2166,2023,05,5/1/23,,A-197296414,"https://android.googlesource.com/platform/frameworks/native/+/062a867e94dbf811ccca02e7a6a0f0e36465694a"" rel=""noreferrer,https://android.googlesource.com/platform/frameworks/native/+/9cf4a4d4e57d059a4e4119f0a8f2a8be237f28c2"" rel=""noreferrer,https://android.googlesource.com/platform/frameworks/base/+/3b8aa02ba51f26161519f6465515f619e663bbbf"" rel=""noreferrer,https://android.googlesource.com/platform/frameworks/base/+/d100067fd62adb4648e966b3306b9a2f3b1fd38e"" rel=""noreferrer,https://android.googlesource.com/platform/frameworks/native/+/a066d908f6fe28e63ae49327b57fcd31d63fba2d"" rel=""noreferrer",EoP,High,"11, 12",,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Further investigation showed that it was not a security issue. Notes: none.,,2022-12-13T16:15:15.357,2023-11-07T03:42:26.580,,,,,,,,,,,,,2023-05-01
CVE-2022-20444,2023,05,2023-05-01,2166,2023,05,5/1/23,,A-197296414,"https://android.googlesource.com/platform/frameworks/native/+/062a867e94dbf811ccca02e7a6a0f0e36465694a"" rel=""noreferrer,https://android.googlesource.com/platform/frameworks/native/+/9cf4a4d4e57d059a4e4119f0a8f2a8be237f28c2"" rel=""noreferrer,https://android.googlesource.com/platform/frameworks/base/+/3b8aa02ba51f26161519f6465515f619e663bbbf"" rel=""noreferrer,https://android.googlesource.com/platform/frameworks/base/+/d100067fd62adb4648e966b3306b9a2f3b1fd38e"" rel=""noreferrer,https://android.googlesource.com/platform/frameworks/native/+/a066d908f6fe28e63ae49327b57fcd31d63fba2d"" rel=""noreferrer",EoP,High,"11, 12",,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Further investigation showed that it was not a security issue. Notes: none.,,2022-12-13T16:15:15.357,2023-11-07T03:42:26.580,,,,,,,,,,,,,2023-05-01
CVE-2022-2209,2022,11,2022-11-01,3714,2022,11,11/1/22,,A-235601882,"https://android.googlesource.com/platform/frameworks/av/+/0a9d181281753f911524291ffa6d1b677e36b589"" rel=""noreferrer",EoP,High,"10, 11, 12, 12L, 13",,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. Reason: This CVE has been rejected as it was incorrectly assigned. All references and descriptions in this candidate have been removed to prevent accidental usage,,2022-07-22T11:15:07.923,2023-11-07T03:46:17.390,,,,,,,,,,,,,2022-11-01
CVE-2022-2209,2022,11,2022-11-01,3730,2022,11,11/1/22,,,,,,,Media Framework components,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. Reason: This CVE has been rejected as it was incorrectly assigned. All references and descriptions in this candidate have been removed to prevent accidental usage,,2022-07-22T11:15:07.923,2023-11-07T03:46:17.390,,,,,,,,,,,,,2022-11-01
CVE-2021-39673,2022,10,2022-10-01,3677,2022,10,10/1/22,,A-195410559,"https://android.googlesource.com/platform/packages/modules/Bluetooth/+/8f848255dea47710275f1eac7c4e635b1f5faa0b"" rel=""noreferrer,https://android.googlesource.com/platform/packages/modules/Bluetooth/+/90d2a6a82b35e32f70938112125a202a7f37964b"" rel=""noreferrer",ID,High,13,,,CVE ID Not Found,,,,,,,,,,,,,,,,2022-10-01
CVE-2022-25704,2022,09,2022-09-01,3863,2022,09,9/5/22,,"A-235102694,,QC-CR#3155069","https://git.codelinaro.org/clo/la/platform/vendor/qcom-opensource/system/bt/-/commit/7cb8bca395eb89c36975dbc89d0a4f17c975bb99"" rel=""noreferrer,https://git.codelinaro.org/clo/la/platform/vendor/qcom-opensource/system/bt/-/commit/edcf32db20f525b7e6ef3ab0751c7e57d9a8b046"" rel=""noreferrer",,High,,Bluetooth,,CVE ID Not Found,,,,,,,,,,,,,,,,2022-09-01
CVE-2022-20463,2023,04,2023-04-01,2547,2023,04,4/1/23,,A-231985227,"https://android.googlesource.com/platform/packages/modules/Wifi/+/a95c282826b76e9ffb69fc2b391fd40c66fffe66"" rel=""noreferrer",EoP,High,"11, 12, 12L, 13",,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Further investigation showed that it was not a security issue. Notes: none.,,2022-11-08T22:15:11.830,2023-11-07T03:42:26.920,,,,,,,,,,,,,2023-04-01
CVE-2022-20463,2023,04,2023-04-01,2562,2023,04,4/1/23,,,,,,,WiFi,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Further investigation showed that it was not a security issue. Notes: none.,,2022-11-08T22:15:11.830,2023-11-07T03:42:26.920,,,,,,,,,,,,,2023-04-01
CVE-2022-20463,2023,04,2023-04-01,3731,2022,11,11/1/22,,,,,,,WiFi,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Further investigation showed that it was not a security issue. Notes: none.,,2022-11-08T22:15:11.830,2023-11-07T03:42:26.920,,,,,,,,,,,,,2022-11-01
CVE-2023-21270,2023,08,2023-08-01,2453,2023,08,8/1/23,,A-283006437,"https://android.googlesource.com/platform/frameworks/base/+/e7ccba6da2c3febeb449c172c1d8091f7a35193d"" rel=""noreferrer,https://android.googlesource.com/platform/frameworks/base/+/e7ccba6da2c3febeb449c172c1d8091f7a35193d"" rel=""noreferrer",EoP,High,"12, 12L, 13",,,CVE ID Not Found,,,,,,,,,,,,,,,,2023-08-01
CVE-2023-40113,2023,11,2023-11-01,2505,2023,11,11/1/23,,A-289242655,"https://android.googlesource.com/platform/packages/providers/TelephonyProvider/+/64ca6ba981745875dbf2064e0b2a47f8194c4f0a"" rel=""noreferrer",ID,Critical,"11, 12, 12L, 13",,,"In multiple locations, there is a possible way for apps to access cross-user message data due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-15T23:15:08.597,2024-02-16T13:37:55.033,,,,,,,,,,,,,2023-11-01
CVE-2023-40106,2023,11,2023-11-01,2497,2023,11,11/1/23,,A-278558814,"https://android.googlesource.com/platform/frameworks/base/+/442b4390c1f04b0e74ae4a7e349418dad4e7522e"" rel=""noreferrer",EoP,High,"11, 12, 12L, 13, 14",,,"In sanitizeSbn of NotificationManagerService.java, there is a possible way to launch an activity from the background due to BAL Bypass. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-15T23:15:08.137,2024-02-16T13:37:55.033,,,,,,,,,,,,,2023-11-01
CVE-2023-40107,2023,11,2023-11-01,2498,2023,11,11/1/23,,A-287298721,"https://android.googlesource.com/platform/frameworks/av/+/acb81624b4f50fed52cb1b3829809ee2f7377093"" rel=""noreferrer",EoP,High,"12, 12L, 13, 14",,,"In ARTPWriter of ARTPWriter.cpp, there is a possible use after free due to uninitialized data. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-15T23:15:08.197,2024-02-16T13:37:55.033,,,,,,,,,,,,,2023-11-01
CVE-2023-40109,2023,11,2023-11-01,2499,2023,11,11/1/23,,A-291299076,"https://android.googlesource.com/platform/frameworks/base/+/387d258cf10a30537fc48dc0e48d28071efa92e7"" rel=""noreferrer",EoP,High,"11, 12, 12L, 13, 14",,,"In createFromParcel of UsbConfiguration.java, there is a possible background activity launch (BAL) due to a permissions bypass. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation.",,2024-02-15T23:15:08.260,2024-02-16T13:37:55.033,,,,,,,,,,,,,2023-11-01
CVE-2023-40110,2023,11,2023-11-01,2500,2023,11,11/1/23,,A-243463593,"https://android.googlesource.com/platform/frameworks/av/+/53243faf690a49e00952b3d3956d2fff0b8d4a3c"" rel=""noreferrer",EoP,High,"11, 12, 12L, 13, 14",,,"In multiple functions of MtpPacket.cpp, there is a possible out of bounds write due to a heap buffer overflow. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation.",,2024-02-15T23:15:08.420,2024-02-16T13:37:55.033,,,,,,,,,,,,,2023-11-01
CVE-2023-40111,2023,11,2023-11-01,2501,2023,11,11/1/23,,A-272024837,"https://android.googlesource.com/platform/frameworks/base/+/55d3d57cbffc838c52d610af14a056dea87b422e"" rel=""noreferrer",EoP,High,14,,,"In setMediaButtonReceiver of MediaSessionRecord.java, there is a possible way to send a pending intent on behalf of system_server due to a confused deputy. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation.",,2024-02-15T23:15:08.487,2024-02-16T13:37:55.033,,,,,,,,,,,,,2023-11-01
CVE-2023-40114,2023,11,2023-11-01,2502,2023,11,11/1/23,,A-243381410,"https://android.googlesource.com/platform/frameworks/av/+/2fdf54b050f728fd965c9afdd03116e9b9dafbae"" rel=""noreferrer",EoP,High,"11, 12, 12L, 13, 14",,,"In multiple functions of MtpFfsHandle.cpp , there is a possible out of bounds write due to a use after free. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation.",,2024-02-15T23:15:08.647,2024-02-16T13:37:55.033,,,,,,,,,,,,,2023-11-01
CVE-2023-40105,2023,11,2023-11-01,2503,2023,11,11/1/23,,A-289549315,"https://android.googlesource.com/platform/frameworks/base/+/935eb5ed6be35860a99ea242fb753f687d54a308"" rel=""noreferrer",ID,High,"11, 12, 12L, 13, 14",,,"In backupAgentCreated of ActivityManagerService.java, there is a possible way to leak sensitive data due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-15T23:15:08.083,2024-02-16T13:37:55.033,,,,,,,,,,,,,2023-11-01
CVE-2023-40124,2023,11,2023-11-01,2504,2023,11,11/1/23,,A-272025416,"https://android.googlesource.com/platform/frameworks/base/+/86c8421c1181816b6cb333eb62a78e32290c4b17"" rel=""noreferrer",ID,High,"11, 12, 12L, 13",,,"In multiple locations, there is a possible cross-user read due to a confused deputy. This could lead to local information disclosure of photos or other images with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-15T23:15:08.743,2024-02-16T13:37:55.033,,,,,,,,,,,,,2023-11-01
CVE-2023-40100,2023,11,2023-11-01,2506,2023,11,11/1/23,,A-278303745,"https://android.googlesource.com/platform/packages/modules/DnsResolver/+/8e1561fb603fdaec15798372f865fb1750537f4f"" rel=""noreferrer",EoP,High,"11, 12, 12L, 13, 14",,,"In discovery_thread of Dns64Configuration.cpp, there is a possible memory corruption due to a use after free. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-15T23:15:07.743,2024-02-16T13:38:00.047,,,,,,,,,,,,,2023-11-01
CVE-2023-40100,2023,11,2023-11-01,2512,2023,11,11/1/23,,,,,,,DNS Resolver,,"In discovery_thread of Dns64Configuration.cpp, there is a possible memory corruption due to a use after free. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-15T23:15:07.743,2024-02-16T13:38:00.047,,,,,,,,,,,,,2023-11-01
CVE-2023-40115,2023,11,2023-11-01,2507,2023,11,11/1/23,,A-285645039,"https://android.googlesource.com/platform/packages/modules/StatsD/+/e4cd2d8f75d1b7b83a759d752f38099a9aa9997e"" rel=""noreferrer",EoP,High,"11, 12, 12L, 13, 14",,,"In readLogs of StatsService.cpp, there is a possible memory corruption due to a use after free. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-15T23:15:08.693,2024-02-16T13:37:55.033,,,,,,,,,,,,,2023-11-01
CVE-2023-40115,2023,11,2023-11-01,2513,2023,11,11/1/23,,,,,,,Statsd,,"In readLogs of StatsService.cpp, there is a possible memory corruption due to a use after free. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-15T23:15:08.693,2024-02-16T13:37:55.033,,,,,,,,,,,,,2023-11-01
CVE-2023-40104,2023,11,2023-11-01,2508,2023,11,11/1/23,,A-284262845,"https://android.googlesource.com/platform/system/ca-certificates/+/91204b9fdbd77b3f27f94b73868607b2dccbfdad"" rel=""noreferrer",ID,High,"11, 12, 12L, 13",,,"In ca-certificates, there is a possible way to read encrypted TLS data due to untrusted cryptographic certificates. This could lead to remote information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-15T23:15:08.017,2024-02-16T13:37:55.033,,,,,,,,,,,,,2023-11-01
CVE-2023-40112,2023,11,2023-11-01,2509,2023,11,11/1/23,,A-168903843,"https://android.googlesource.com/platform/packages/services/BuiltInPrintService/+/d7cb53cb5b47f4afdb84cb0e161d84fdc2c32ce7"" rel=""noreferrer",ID,High,11,,,"In ippSetValueTag of ipp.c, there is a possible out of bounds read due to a missing bounds check. This could lead to local information disclosure of past print jobs or other print-related information, with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-15T23:15:08.543,2024-02-16T13:37:55.033,,,,,,,,,,,,,2023-11-01
CVE-2024-0022,2024,04,2024-04-01,175,2024,04,4/1/24,,A-298635078,"https://android.googlesource.com/platform/frameworks/base/+/bdf1cce569c9700965ff6baee8efd3fb1e8269e8"" rel=""noreferrer",ID,High,"13, 14",,,"In multiple functions of CompanionDeviceManagerService.java, there is a possible launch NotificationAccessConfirmationActivity of another user profile due to improper input validation. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-05-07T21:15:08.330,2024-05-08T13:15:00.690,,,,,,,,,,,,,2024-04-01
CVE-2024-23710,2024,04,2024-04-01,173,2024,04,4/1/24,,A-311374917,"https://android.googlesource.com/platform/frameworks/base/+/c7c1193ca7554fc3182ca9ab0f711bd118bdeef2"" rel=""noreferrer",EoP,High,"13, 14",,,"In assertPackageWithSharedUserIdIsPrivileged of InstallPackageHelper.java, there is a possible execution of arbitrary app code as a privileged app due to a logic error in the code. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-05-07T21:15:08.930,2024-05-08T13:15:00.690,,,,,,,,,,,,,2024-04-01
CVE-2024-23712,2024,04,2024-04-01,176,2024,04,4/1/24,,A-304983146,"https://android.googlesource.com/platform/frameworks/base/+/6beb68ca17d1220f3f09a53cf0a0c541db4ead62"" rel=""noreferrer",DoS,High,"12, 12L, 13, 14",,,"In multiple functions of AppOpsService.java, there is a possible way to saturate the content of /data/system/appops_accesses.xml due to resource exhaustion. This could lead to local denial of service with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-05-07T21:15:08.977,2024-05-08T13:15:00.690,,,,,,,,,,,,,2024-04-01
CVE-2024-23713,2024,04,2024-04-01,174,2024,04,4/1/24,,A-305926929,"https://android.googlesource.com/platform/frameworks/base/+/ffd616dc3b919fe7705dbc7a25868483ae45466b"" rel=""noreferrer",EoP,High,"12, 12L, 13, 14",,,"In migrateNotificationFilter of NotificationManagerService.java, there is a possible failure to persist notifications settings due to improper input validation. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-05-07T21:15:09.017,2024-05-08T13:15:00.690,,,,,,,,,,,,,2024-04-01
CVE-2024-20039,2024,04,2024-04-01,181,2024,04,4/5/24,,"A-323462011,M-MOLY01240012",,,High,,Modem Protocol,,"In modem protocol, there is a possible out of bounds write due to a missing bounds check. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: MOLY01240012; Issue ID: MSV-1215.",,2024-04-01T03:15:07.780,2024-04-01T12:49:09.583,,,,,,,,,,,,,2024-04-01
CVE-2024-20040,2024,04,2024-04-01,182,2024,04,4/5/24,,"A-323465955,M-ALPS08360153",,,High,,wlan firmware,,"In wlan firmware, there is a possible out of bounds write due to improper input validation. This could lead to remote escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08360153 (for MT6XXX chipsets) / WCNCR00363530 (for MT79XX chipsets); Issue ID: MSV-979.",,2024-04-01T03:15:07.847,2024-04-01T12:49:09.583,,,,,,,,,,,,,2024-04-01
CVE-2024-0026,2024,04,2024-04-01,179,2024,04,4/1/24,,A-308414141,"https://android.googlesource.com/platform/frameworks/base/+/a8fb9fe93efdebc4145e00934f42c91742f328de"" rel=""noreferrer",DoS,High,"12, 12L, 13, 14",,,"In multiple functions of SnoozeHelper.java, there is a possible persistent denial of service due to resource exhaustion. This could lead to local denial of service with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-05-07T21:15:08.460,2024-05-08T13:15:00.690,,,,,,,,,,,,,2024-04-01
CVE-2024-0027,2024,04,2024-04-01,180,2024,04,4/1/24,,A-307948424,"https://android.googlesource.com/platform/frameworks/base/+/a8fb9fe93efdebc4145e00934f42c91742f328de"" rel=""noreferrer",DoS,High,"12, 12L, 13, 14",,,"In multiple functions of SnoozeHelper.java, there is a possible way to cause a boot loop due to resource exhaustion. This could lead to local denial of service with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-05-07T21:15:08.500,2024-05-08T13:15:00.690,,,,,,,,,,,,,2024-04-01
