CVE,SPL,SMR,cwe,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity,cwe_info
CVE-2024-0038,24-Feb,,,"In injectInputEventToInputFilter of AccessibilityManagerService.java, there is a possible arbitrary input event injection due to a missing permission check. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T02:15:51.157,2024-02-16T13:37:51.433,,,,,,,,,,,
CVE-2023-49668,24-Feb,,,CVE ID Not Found,,,,,,,,,,,,,,
CVE-2023-49667,24-Feb,,,CVE ID Not Found,,,,,,,,,,,,,,
CVE-2024-0039,24-Mar,,,"In attp_build_value_cmd of att_protocol.cc, there is a possible out of bounds write due to a missing bounds check. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-03-11T17:15:45.350,2024-03-12T12:40:13.500,,,,,,,,,,,
CVE-2024-23717,24-Mar,,,"In access_secure_service_from_temp_bond of btm_sec.cc, there is a possible way to achieve keystroke injection due to improper input validation. This could lead to remote (proximal/adjacent) escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-03-11T17:15:46.253,2024-03-12T12:40:13.500,,,,,,,,,,,
CVE-2024-0050,24-Mar,,,"In getConfig of SoftVideoDecoderOMXComponent.cpp, there is a possible out of bounds write due to a missing validation check. This could lead to a local non-security issue with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-03-11T17:15:45.783,2024-03-12T12:40:13.500,,,,,,,,,,,
CVE-2024-0049,24-Mar,,,"In multiple locations, there is a possible out of bounds write due to a heap buffer overflow. This could lead to local escalation of privilege with no additional execution privileges needed. User  interaction is not needed for exploitation.",,2024-03-11T17:15:45.727,2024-03-12T12:40:13.500,,,,,,,,,,,
CVE-2024-0051,24-Mar,,,"In onQueueFilled of SoftMPEG4.cpp, there is a possible out of bounds write due to a heap buffer overflow. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-03-11T17:15:45.840,2024-03-12T12:40:13.500,,,,,,,,,,,
CVE-2024-0053,24-Mar,,,"In getCustomPrinterIcon of PrintManagerService.java, there is a possible way to view other user's images due to a confused deputy. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-03-11T17:15:45.950,2024-03-12T12:40:13.500,,,,,,,,,,,
CVE-2024-0046,24-Mar,,,"In installExistingPackageAsUser of InstallPackageHelper.java, there is a possible carrier restriction bypass due to a logic error in the code. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-03-11T17:15:45.563,2024-03-12T12:40:13.500,,,,,,,,,,,
CVE-2024-0045,24-Mar,,,"In smp_proc_sec_req of smp_act.cc, there is a possible out of bounds read due to improper input validation. This could lead to remote (proximal/adjacent) information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-03-11T17:15:45.507,2024-03-12T12:40:13.500,,,,,,,,,,,
CVE-2024-0052,24-Mar,,,"In multiple functions of healthconnect, there is a possible leakage of exercise route data due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-03-11T17:15:45.897,2024-03-12T12:40:13.500,,,,,,,,,,,
CVE-2024-0044,24-Mar,,,"In createSessionInternal of PackageInstallerService.java, there is a possible run-as any app due to improper input validation. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.

",,2024-03-11T17:15:45.450,2024-03-12T20:15:07.633,,,,,,,,,,,
CVE-2024-0047,24-Mar,,,"In writeUserLP of UserManagerService.java, device policies are serialized with an incorrect tag due to a logic error in the code. This could lead to local denial of service when policies are deserialized on reboot with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-03-11T17:15:45.620,2024-03-12T12:40:13.500,,,,,,,,,,,
CVE-2024-0048,24-Mar,,,"In Session of AccountManagerService.java, there is a possible method to retain foreground service privileges due to incorrect handling of null responses. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-03-11T17:15:45.673,2024-03-12T12:40:13.500,,,,,,,,,,,
CVE-2024-20020,24-Mar,,,"In OPTEE, there is a possible out of bounds write due to an incorrect bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08522504; Issue ID: ALPS08522504.",,2024-03-04T03:15:07.107,2024-03-04T13:58:23.447,,,,,,,,,,,
CVE-2024-20022,24-Mar,,,"In lk, there is a possible escalation of privilege due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08528255; Issue ID: ALPS08528255.",,2024-03-04T03:15:07.150,2024-03-04T13:58:23.447,,,,,,,,,,,
CVE-2024-20023,24-Mar,,,"In flashc, there is a possible out of bounds write due to lack of valudation. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541638; Issue ID: ALPS08541638.",,2024-03-04T03:15:07.193,2024-03-04T13:58:23.447,,,,,,,,,,,
CVE-2024-20005,24-Mar,,,"In da, there is a possible permission bypass due to a missing permission check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08355599; Issue ID: ALPS08355599.",,2024-03-04T03:15:06.917,2024-03-04T13:58:23.447,,,,,,,,,,,
CVE-2024-20026,24-Mar,,,"In da, there is a possible information disclosure due to improper input validation. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541632; Issue ID: ALPS08541632.",,2024-03-04T03:15:07.320,2024-03-04T13:58:23.447,,,,,,,,,,,
CVE-2024-20028,24-Mar,,,"In da, there is a possible out of bounds write due to lack of valudation. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541632; Issue ID: ALPS08541687.",,2024-03-04T03:15:07.403,2024-03-04T13:58:23.447,,,,,,,,,,,
CVE-2024-20024,24-Mar,,,"In flashc, there is a possible out of bounds write due to lack of valudation. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541635; Issue ID: ALPS08541635.",,2024-03-04T03:15:07.237,2024-03-04T13:58:23.447,,,,,,,,,,,
CVE-2024-20025,24-Mar,,,"In da, there is a possible out of bounds write due to an integer overflow. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541686; Issue ID: ALPS08541686.",,2024-03-04T03:15:07.280,2024-03-04T13:58:23.447,,,,,,,,,,,
CVE-2024-20027,24-Mar,,,"In da, there is a possible out of bounds write due to improper input validation. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541632; Issue ID: ALPS08541633.",,2024-03-04T03:15:07.363,2024-03-04T13:58:23.447,,,,,,,,,,,
CVE-2024-0022,24-Apr,,,"In multiple functions of CompanionDeviceManagerService.java, there is a possible launch NotificationAccessConfirmationActivity of another user profile due to improper input validation. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-05-07T21:15:08.330,2024-05-08T13:15:00.690,,,,,,,,,,,
CVE-2024-23704,24-Apr,,,"In onCreate of WifiDialogActivity.java, there is a possible way to bypass the DISALLOW_ADD_WIFI_CONFIG restriction due to a missing permission check. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-05-07T21:15:08.630,2024-05-08T13:15:00.690,,,,,,,,,,,
CVE-2024-23712,24-Apr,,,"In multiple functions of AppOpsService.java, there is a possible way to saturate the content of /data/system/appops_accesses.xml due to resource exhaustion. This could lead to local denial of service with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-05-07T21:15:08.977,2024-05-08T13:15:00.690,,,,,,,,,,,
CVE-2024-23713,24-Apr,,,"In migrateNotificationFilter of NotificationManagerService.java, there is a possible failure to persist notifications settings due to improper input validation. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-05-07T21:15:09.017,2024-05-08T13:15:00.690,,,,,,,,,,,
CVE-2024-0027,24-Apr,,,"In multiple functions of SnoozeHelper.java, there is a possible way to cause a boot loop due to resource exhaustion. This could lead to local denial of service with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-05-07T21:15:08.500,2024-05-08T13:15:00.690,,,,,,,,,,,
CVE-2024-0026,24-Apr,,,"In multiple functions of SnoozeHelper.java, there is a possible persistent denial of service due to resource exhaustion. This could lead to local denial of service with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-05-07T21:15:08.460,2024-05-08T13:15:00.690,,,,,,,,,,,
CVE-2024-23710,24-Apr,,,"In assertPackageWithSharedUserIdIsPrivileged of InstallPackageHelper.java, there is a possible execution of arbitrary app code as a privileged app due to a logic error in the code. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-05-07T21:15:08.930,2024-05-08T13:15:00.690,,,,,,,,,,,
CVE-2024-0042,24-Apr,,,"In TBD of TBD, there is a possible confusion of OEM and DRM certificates due to improperly used crypto. This could lead to local bypass of DRM content protection with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-05-07T21:15:08.540,2024-05-08T13:15:00.690,,,,,,,,,,,
CVE-2024-20039,24-Apr,,,"In modem protocol, there is a possible out of bounds write due to a missing bounds check. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: MOLY01240012; Issue ID: MSV-1215.",,2024-04-01T03:15:07.780,2024-04-01T12:49:09.583,,,,,,,,,,,
CVE-2024-20040,24-Apr,,,"In wlan firmware, there is a possible out of bounds write due to improper input validation. This could lead to remote escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08360153 (for MT6XXX chipsets) / WCNCR00363530 (for MT79XX chipsets); Issue ID: MSV-979.",,2024-04-01T03:15:07.847,2024-04-01T12:49:09.583,,,,,,,,,,,
CVE-2022-20463,23-Apr,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Further investigation showed that it was not a security issue. Notes: none.,,2022-11-08T22:15:11.830,2023-11-07T03:42:26.920,,,,,,,,,,,
CVE-2021-39617,23-May,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Further investigation showed that it was not a security issue. Notes: none.,,2022-12-13T16:15:14.507,2023-11-07T03:37:41.957,,,,,,,,,,,
CVE-2022-20444,23-May,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Further investigation showed that it was not a security issue. Notes: none.,,2022-12-13T16:15:15.357,2023-11-07T03:42:26.580,,,,,,,,,,,
CVE-2023-21270,23-Aug,,,CVE ID Not Found,,,,,,,,,,,,,,
CVE-2023-40113,23-Nov,,,"In multiple locations, there is a possible way for apps to access cross-user message data due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-15T23:15:08.597,2024-02-16T13:37:55.033,,,,,,,,,,,
CVE-2023-40112,23-Nov,,,"In ippSetValueTag of ipp.c, there is a possible out of bounds read due to a missing bounds check. This could lead to local information disclosure of past print jobs or other print-related information, with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-15T23:15:08.543,2024-02-16T13:37:55.033,,,,,,,,,,,
CVE-2023-40114,23-Nov,,,"In multiple functions of MtpFfsHandle.cpp , there is a possible out of bounds write due to a use after free. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation.",,2024-02-15T23:15:08.647,2024-02-16T13:37:55.033,,,,,,,,,,,
CVE-2023-40110,23-Nov,,,"In multiple functions of MtpPacket.cpp, there is a possible out of bounds write due to a heap buffer overflow. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation.",,2024-02-15T23:15:08.420,2024-02-16T13:37:55.033,,,,,,,,,,,
CVE-2023-40111,23-Nov,,,"In setMediaButtonReceiver of MediaSessionRecord.java, there is a possible way to send a pending intent on behalf of system_server due to a confused deputy. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation.",,2024-02-15T23:15:08.487,2024-02-16T13:37:55.033,,,,,,,,,,,
CVE-2023-40124,23-Nov,,,"In multiple locations, there is a possible cross-user read due to a confused deputy. This could lead to local information disclosure of photos or other images with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-15T23:15:08.743,2024-02-16T13:37:55.033,,,,,,,,,,,
CVE-2023-40100,23-Nov,,,"In discovery_thread of Dns64Configuration.cpp, there is a possible memory corruption due to a use after free. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-15T23:15:07.743,2024-02-16T13:38:00.047,,,,,,,,,,,
CVE-2023-40106,23-Nov,,,"In sanitizeSbn of NotificationManagerService.java, there is a possible way to launch an activity from the background due to BAL Bypass. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-15T23:15:08.137,2024-02-16T13:37:55.033,,,,,,,,,,,
CVE-2023-40104,23-Nov,,,"In ca-certificates, there is a possible way to read encrypted TLS data due to untrusted cryptographic certificates. This could lead to remote information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-15T23:15:08.017,2024-02-16T13:37:55.033,,,,,,,,,,,
CVE-2023-40115,23-Nov,,,"In readLogs of StatsService.cpp, there is a possible memory corruption due to a use after free. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-15T23:15:08.693,2024-02-16T13:37:55.033,,,,,,,,,,,
CVE-2023-40107,23-Nov,,,"In ARTPWriter of ARTPWriter.cpp, there is a possible use after free due to uninitialized data. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-15T23:15:08.197,2024-02-16T13:37:55.033,,,,,,,,,,,
CVE-2023-40105,23-Nov,,,"In backupAgentCreated of ActivityManagerService.java, there is a possible way to leak sensitive data due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-15T23:15:08.083,2024-02-16T13:37:55.033,,,,,,,,,,,
CVE-2023-40109,23-Nov,,,"In createFromParcel of UsbConfiguration.java, there is a possible background activity launch (BAL) due to a permissions bypass. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation.",,2024-02-15T23:15:08.260,2024-02-16T13:37:55.033,,,,,,,,,,,
CVE-2021-39795,22-Apr,,,"Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Notes: Pulled from Android ASB#2022-04 publication (https://source.android.com/security/bulletin/2022-04-01) due to a functional regression. We will re-release this CVE at a future date, in a future publication that is currently TB",,2022-04-12T17:15:08.123,2023-11-07T03:37:43.327,,,,,,,,,,,
CVE-2022-25704,22-Sep,,,CVE ID Not Found,,,,,,,,,,,,,,
CVE-2021-39673,22-Oct,,,CVE ID Not Found,,,,,,,,,,,,,,
CVE-2022-2209,22-Nov,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. Reason: This CVE has been rejected as it was incorrectly assigned. All references and descriptions in this candidate have been removed to prevent accidental usage,,2022-07-22T11:15:07.923,2023-11-07T03:46:17.390,,,,,,,,,,,
CVE-2021-39617,22-Dec,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Further investigation showed that it was not a security issue. Notes: none.,,2022-12-13T16:15:14.507,2023-11-07T03:37:41.957,,,,,,,,,,,
CVE-2021-39673,22-Dec,,,CVE ID Not Found,,,,,,,,,,,,,,
CVE-2022-20444,22-Dec,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Further investigation showed that it was not a security issue. Notes: none.,,2022-12-13T16:15:15.357,2023-11-07T03:42:26.580,,,,,,,,,,,
CVE-2021-39795,22-Dec,,,"Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Notes: Pulled from Android ASB#2022-04 publication (https://source.android.com/security/bulletin/2022-04-01) due to a functional regression. We will re-release this CVE at a future date, in a future publication that is currently TB",,2022-04-12T17:15:08.123,2023-11-07T03:37:43.327,,,,,,,,,,,
CVE-2021-27666,21-Jun,,,CVE ID Not Found,,,,,,,,,,,,,,
CVE-2021-1978,21-Aug,,,CVE ID Not Found,,,,,,,,,,,,,,
CVE-2021-27666,21-Oct,,,CVE ID Not Found,,,,,,,,,,,,,,
CVE-2019-9460,20-Feb,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. It was intended to be published earlier but will be made public later instead. Notes: none,,2019-09-27T19:15:29.500,2023-11-07T03:13:40.037,,,,,,,,,,,
CVE-2019-9460,20-Feb,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. It was intended to be published earlier but will be made public later instead. Notes: none,,2019-09-27T19:15:29.500,2023-11-07T03:13:40.037,,,,,,,,,,,
CVE-2019-9460,20-Mar,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. It was intended to be published earlier but will be made public later instead. Notes: none,,2019-09-27T19:15:29.500,2023-11-07T03:13:40.037,,,,,,,,,,,
CVE-2019-9460,20-Mar,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. It was intended to be published earlier but will be made public later instead. Notes: none,,2019-09-27T19:15:29.500,2023-11-07T03:13:40.037,,,,,,,,,,,
CVE-2019-9460,20-Jun,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. It was intended to be published earlier but will be made public later instead. Notes: none,,2019-09-27T19:15:29.500,2023-11-07T03:13:40.037,,,,,,,,,,,
CVE-2019-9460,20-Jun,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. It was intended to be published earlier but will be made public later instead. Notes: none,,2019-09-27T19:15:29.500,2023-11-07T03:13:40.037,,,,,,,,,,,
CVE-2020-0255,20-Aug,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: CVE-2020-10751. Reason: This candidate is a duplicate of CVE-2020-10751. Notes: All CVE users should reference CVE-2020-10751 instead of this candidate. All references and descriptions in this candidate have been removed to prevent accidental usage,,2020-08-14T20:15:12.700,2023-11-07T03:13:52.197,,,,,,,,,,,
CVE-2020-0402,20-Sep,,,CVE ID Not Found,,,,,,,,,,,,,,
CVE-2023-21651,24-Jan,,CWE-704,Memory Corruption in Core due to incorrect type conversion or cast in secure_io_read/write function in TEE.,,2023-08-08T10:15:13.727,2024-04-12T17:16:47.207,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Incorrect Type Conversion or Cast
CVE-2023-21651,24-Jan,,CWE-704,Memory Corruption in Core due to incorrect type conversion or cast in secure_io_read/write function in TEE.,,2023-08-08T10:15:13.727,2024-04-12T17:16:47.207,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Incorrect Type Conversion or Cast
CVE-2023-21651,24-Jan,,CWE-704,Memory Corruption in Core due to incorrect type conversion or cast in secure_io_read/write function in TEE.,,2023-08-08T10:15:13.727,2024-04-12T17:16:47.207,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Incorrect Type Conversion or Cast
CVE-2023-21651,24-Jan,,CWE-704,Memory Corruption in Core due to incorrect type conversion or cast in secure_io_read/write function in TEE.,,2023-08-08T10:15:13.727,2024-04-12T17:16:47.207,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Incorrect Type Conversion or Cast
CVE-2023-21651,24-Jan,,CWE-704,Memory Corruption in Core due to incorrect type conversion or cast in secure_io_read/write function in TEE.,,2023-08-08T10:15:13.727,2024-04-12T17:16:47.207,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Incorrect Type Conversion or Cast
