ID,CVE,year,month,spl_type,date,bug,link,Type,Severity,vul_true,component,devices,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,cwe,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity,cwe_info,Date
310,CVE-2014-10051,2018,04,4/5/18,,A-37546302,,,High,,Closed-source component,,"In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile and Snapdragon Wear MDM9206, MDM9607, MDM9635M, MDM9640, MDM9645, MDM9650, MDM9655, MSM8909W, SD 210/SD 212/SD 205, SD 400, SD 410/12, and SDX20, after loading a dynamically loaded code section, I-Cache is not invalidated, which could lead to executing code from stale cache lines.",,2018-04-18T14:29:00.760,2018-05-09T20:52:21.000,CWE-20,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Improper Input Validation,2018-04-01
311,CVE-2014-10048,2018,04,4/5/18,,A-62258088,,,High,,Closed-source component,,"In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile and Snapdragon Wear MDM9206, MDM9607, MDM9650, MSM8909W, SD 210/SD 212/SD 205, SD 400, SD 410/12, SD 425, SD 430, SD 450, SD 600, SD 615/16/SD 415, SD 617, SD 625, SD 650/52, SD 800, SD 808, SD 810, SD 820, SD 835, and SDX20, while setting the offsets, time-services allows the user to set bases greater than valid base value which will lead to array index out-of-bound.",,2018-04-18T14:29:00.620,2018-05-09T17:38:15.747,CWE-129,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Improper Validation of Array Index,2018-04-01
312,CVE-2014-10062,2018,04,4/5/18,,A-62258373,,,High,,Closed-source component,,"In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile and Snapdragon Wear MDM9206, MDM9607, MDM9640, MDM9650, MSM8909W, SD 210/SD 212/SD 205, SD 400, SD 410/12, SD 425, SD 430, SD 450, SD 600, SD 615/16/SD 415, SD 617, SD 625, SD 650/52, SD 800, SD 808, SD 810, SD 820, SD 835, and SDX20, LocationService is being exported, which is a way for a service to expose its methods to other services. This makes it possible for any other services to import LocationService and call into the exposed method for bringing up a data connection.",,2018-04-18T14:29:01.230,2018-05-09T20:56:41.673,CWE-200,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,Exposure of Sensitive Information to an Unauthorized Actor,2018-04-01
313,CVE-2014-10058,2018,04,4/5/18,,A-62260741,,,High,,Closed-source component,,"In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile SD 210/SD 212/SD 205, SD 400, SD 425, SD 427, SD 430, SD 435, SD 450, SD 617, SD 625, SD 650/52, SD 800, SD 845, and Snapdragon_High_Med_2016, unauthorized users can potentially modify system time.",,2018-04-18T14:29:01.120,2018-05-09T17:35:56.993,CWE-264,cvssMetricV30,NETWORK,LOW,NONE,NONE,NONE,HIGH,NONE,7.5,HIGH,"Permissions, Privileges, and Access Controls",2018-04-01
314,CVE-2014-10047,2018,04,4/5/18,,A-37538492,,,High,,Closed-source component,,"In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile SD 400 and SD 800, when writing the Full Disk Encryption key to crypto engine, information leak could occur.",,2018-04-18T14:29:00.543,2018-05-09T17:39:48.643,CWE-200,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,Exposure of Sensitive Information to an Unauthorized Actor,2018-04-01
315,CVE-2014-10045,2018,04,4/5/18,,A-62258536,,,High,,Closed-source component,,"In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile and Snapdragon Wear IPQ4019, MDM9206, MDM9607, MDM9615, MDM9625, MDM9635M, MDM9640, MDM9650, MDM9655, MSM8909W, SD 210/SD 212/SD 205, SD 400, SD 410/12, SD 615/16/SD 415, SD 820, and SDX20, buffer overflow vulnerability exist in Sahara boot when program header are parsing.",,2018-04-18T14:29:00.387,2018-05-09T17:40:49.440,CWE-119,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Improper Restriction of Operations within the Bounds of a Memory Buffer,2018-04-01
316,CVE-2014-10056,2018,04,4/5/18,,A-62261338,,,High,,Closed-source component,,"In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile SD 210/SD 212/SD 205, A buffer overflow can potentially occur in any OpenCL application that calls clBuildProgram() with a device of type CL_DEVICE_TYPE_CPU in its device_list argument.",,2018-04-18T14:29:01.010,2018-05-09T20:53:42.043,CWE-119,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Improper Restriction of Operations within the Bounds of a Memory Buffer,2018-04-01
317,CVE-2014-9976,2018,04,4/5/18,,A-37534895,,,High,,Closed-source component,,"In all Qualcomm products with Android releases from CAF using the Linux kernel, a buffer overflow vulnerability exists in 1x call processing.",,2017-08-18T18:29:00.577,2018-04-19T01:29:00.797,CWE-119,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Improper Restriction of Operations within the Bounds of a Memory Buffer,2018-04-01
318,CVE-2014-10043,2018,04,4/5/18,,A-62259947,,,High,,Closed-source component,,"In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile and Snapdragon Wear MSM8909W, SD 210/SD 212/SD 205, SD 400, SD 410/12, and SD 800, while reading PlayReady rights string information from command buffer (which is sent from non-secure side), if length of rights string is very large, a buffer over read occurs, exposing TZ App memory to non-secure side.",,2018-04-18T14:29:00.277,2018-05-09T20:51:57.653,CWE-119,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,Improper Restriction of Operations within the Bounds of a Memory Buffer,2018-04-01
319,CVE-2014-10044,2018,04,4/5/18,,A-62260777,,,High,,Closed-source component,,"In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile MDM9615, MDM9625, MDM9635M, SD 210/SD 212/SD 205, SD 400, SD 617, SD 800, and SD 820, in the time daemon, unauthorized users can potentially modify system time and cause an array index to be out-of-bound.",,2018-04-18T14:29:00.340,2018-05-09T17:33:50.160,CWE-129,cvssMetricV30,NETWORK,LOW,NONE,NONE,NONE,HIGH,NONE,7.5,HIGH,Improper Validation of Array Index,2018-04-01
320,CVE-2014-10046,2018,04,4/5/18,,A-62261408,,,High,,Closed-source component,,"In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile MDM9615, MDM9625, MDM9635M, SD 210/SD 212/SD 205, SD 400, SD 410/12, SD 615/16/SD 415, SD 800, SD 808, and SD 810, use after free vulnerability when the PDN throttle info block is freed without clearing the corresponding active timer.",,2018-04-18T14:29:00.450,2018-05-09T17:40:12.017,CWE-416,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Use After Free,2018-04-01
321,CVE-2014-9981,2018,04,4/5/18,,A-37534949,,,High,,Closed-source component,,"In all Qualcomm products with Android releases from CAF using the Linux kernel, an overflow check in the USB interface was insufficient during boot.",,2017-08-18T18:29:00.750,2018-04-19T01:29:00.877,CWE-119,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Improper Restriction of Operations within the Bounds of a Memory Buffer,2018-04-01
322,CVE-2014-9993,2018,04,4/5/18,,A-37540928,,,High,,Closed-source component,,"In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Automobile, Snapdragon Mobile, and Snapdragon Wear MDM9206, MDM9607, MDM9650, MSM8909W, SD 210/SD 212/SD 205, SD 400, SD 410/12, SD 425, SD 430, SD 615/16/SD 415, SD 617, SD 625, SD 650/52, SD 800, SD 808, SD 810, SD 820, SD 820A, SD 835, SD 845, SD 450, and SD 850, buffer overread vulnerability may occur while provisioning a content with a large message.",,2018-04-18T14:29:02.120,2018-05-09T17:16:48.953,CWE-119,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Improper Restriction of Operations within the Bounds of a Memory Buffer,2018-04-01
323,CVE-2014-9986,2018,04,4/5/18,,A-37534645,,,High,,Closed-source component,,"In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Automobile, Snapdragon Mobile, and Snapdragon Wear MSM8909W, SD 210/SD 212/SD 205, SD 400, SD 410/12, SD 425, SD 430, SD 450, SD 615/16/SD 415, SD 617, SD 625, SD 650/52, SD 800, SD 808, SD 810, SD 820, and SD 820A, in playready_licacq_process_response(), 'cbResponse' value is controlled by HLOS, and there is no validation on this length. If 'cbResponse' is too large, memory overread occurs.",,2018-04-18T14:29:01.573,2018-05-11T14:05:09.343,CWE-119,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,Improper Restriction of Operations within the Bounds of a Memory Buffer,2018-04-01
323,CVE-2014-9986,2018,04,4/5/18,,A-37534645,,,High,,Closed-source component,,"In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Automobile, Snapdragon Mobile, and Snapdragon Wear MSM8909W, SD 210/SD 212/SD 205, SD 400, SD 410/12, SD 425, SD 430, SD 450, SD 615/16/SD 415, SD 617, SD 625, SD 650/52, SD 800, SD 808, SD 810, SD 820, and SD 820A, in playready_licacq_process_response(), 'cbResponse' value is controlled by HLOS, and there is no validation on this length. If 'cbResponse' is too large, memory overread occurs.",,2018-04-18T14:29:01.573,2018-05-11T14:05:09.343,CWE-20,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,Improper Input Validation,2018-04-01
324,CVE-2014-9994,2018,04,4/5/18,,A-37538493,,,High,,Closed-source component,,"In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile SD 400 and SD 800, lack of validation of input could cause a integer overflow that could subsequently lead to a buffer overflow.",,2018-04-18T14:29:02.183,2018-05-09T17:16:33.997,CWE-119,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Improper Restriction of Operations within the Bounds of a Memory Buffer,2018-04-01
324,CVE-2014-9994,2018,04,4/5/18,,A-37538493,,,High,,Closed-source component,,"In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile SD 400 and SD 800, lack of validation of input could cause a integer overflow that could subsequently lead to a buffer overflow.",,2018-04-18T14:29:02.183,2018-05-09T17:16:33.997,CWE-190,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Integer Overflow or Wraparound,2018-04-01
325,CVE-2014-9995,2018,04,4/5/18,,A-37546303,,,High,,Closed-source component,,"In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile SD 400 and SD 800, in drmprov_cmd_verify_key(), the variable feature_name_length is not validated. There is a check for feature_name_len + filePathLen but there might be an integer wrap when checking feature_name_len + filePathLen. This leads to a buffer overflow.",,2018-04-18T14:29:02.293,2018-05-09T17:16:22.543,CWE-119,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Improper Restriction of Operations within the Bounds of a Memory Buffer,2018-04-01
326,CVE-2014-9997,2018,04,4/5/18,,A-37546854,,,High,,Closed-source component,,"In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile and Snapdragon Wear MDM9206, MDM9625, MDM9635M, MSM8909W, SD 210/SD 212/SD 205, SD 400, SD 410/12, SD 425, SD 430, SD 615/16/SD 415, SD 450, SD 625, SD 650/52, SD 808, and SD 810, lack of input validation in PRDiagMaintenanceHandler can leads to buffer over read.",,2018-04-18T14:29:02.433,2018-05-09T20:58:29.933,CWE-119,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Improper Restriction of Operations within the Bounds of a Memory Buffer,2018-04-01
327,CVE-2014-9988,2018,04,4/5/18,,A-62258089,,,High,,Closed-source component,,"In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Automobile, Snapdragon Mobile, and Snapdragon Wear SD 820A, IPQ4019, MDM9206, MDM9607, MDM9650, MSM8909W, SD 210/SD 212/SD 205, SD 410/12, SD 425, SD 430, SD 615/16/SD 415, SD 617, SD 625, SD 650/52, SD 808, SD 810, SD 820, SD 835, SD 845, SD 450, and SD 850, lack of input validation for message length causes buffer over read in drm_app_encapsulate_save_keys.",,2018-04-18T14:29:01.903,2018-05-09T20:57:54.570,CWE-119,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Improper Restriction of Operations within the Bounds of a Memory Buffer,2018-04-01
328,CVE-2014-9990,2018,04,4/5/18,,A-62261216,,,High,,Closed-source component,,"In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile and Snapdragon Wear MDM9206, MDM9607, MDM9615, MDM9625, MDM9635M, MSM8909W, SD 210/SD 212/SD 205, SD 410/12, SD 425, SD 430, SD 600, SD 615/16/SD 415, SD 625, SD 650/52, SD 808, SD 810, and SD 450, lack of input validation could lead to an out of bound array access.",,2018-04-18T14:29:02.010,2018-05-09T17:17:31.237,CWE-129,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Improper Validation of Array Index,2018-04-01
329,CVE-2014-9987,2018,04,4/5/18,,A-62261293,,,High,,Closed-source component,,"In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Automobile, Snapdragon Mobile, and Snapdragon Wear MDM9206, MDM9650, SD 210/SD 212/SD 205, SD 410/12, SD 425, SD 430, SD 450, SD 615/16/SD 415, SD 617, SD 625, SD 650/52, SD 808, SD 810, SD 820, SD 820A, SD 835, SD 845, and SD 850, a buffer over-read can occur in a DRM API.",,2018-04-18T14:29:01.760,2018-05-09T17:17:53.753,CWE-119,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Improper Restriction of Operations within the Bounds of a Memory Buffer,2018-04-01
