CVE,vul_true,SPL,SMR,cwe,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity
LVE-SMP-170022,"Android devices with OS  6.0, 6.0.1",17-Dec,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-170017,"Android devices with OS  6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",17-Nov,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-170019,"Android devices with OS  5.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",17-Nov,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-170020,"Android devices with OS  6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",17-Nov,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-170021,"Android devices with OS  5.1(only MS330, K330) , 6.0 (only H841)",17-Nov,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-170016,"Android devices with OS 5.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",17-Oct,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-170014,"Android devices with OS 6.0, 6.0.1, 7.0.0, 7.1.1",17-Aug,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-170015,"Android devices with OS 6.0.1, 7.0 for Sprint.",17-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2017-0605,,23-Jun,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: none.  Reason: This candidate was withdrawn by its CNA.  Further investigation showed that it was not a security issue.  Notes: none,None,2017-05-12T15:29:01.720,2023-11-07T02:37:45.647,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2016-10240,,23-Jun,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2016-10241,,23-Jun,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2016-10278,,23-Jun,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2016-10279,,23-Jun,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2017-5860,,23-Jun,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-170006,"Android OS 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",17-Jun,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-170007,"Android OS 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",17-Jun,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-170008,"Android OS 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1",17-Jun,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-170009,"Android OS 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1",17-Jun,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-170012,"Android OS 5.0, 5.0.1, 5.1, 5.1.1, 6.0, 6.0.1",17-Jun,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-170010,Android OS  6.0 and 7.0,17-May,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-170011,Android OS  6.0 and 7.0,17-May,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-170004,"Android OS 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1",17-May,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-170001,Android OS 5.0.2/5.1.1/6.0/6.0.1/7.0/7.1.1,17-Apr,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-170002,Android OS 5.0.2/5.1.1/6.0/6.0.1/7.0/7.1.1,17-Apr,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-170003,Android OS 5.0.2/5.1.1/6.0/6.0.1/7.0/7.1.1,17-Apr,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-170005,N(7.0) devices for TMUS & MPCS,17-Mar,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-160019,"L(5.0/5.1), M(6.0/6.0.1), N(7.0) devices with MTK chipset",17-Jan,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-160013,Devices with LG Touchscreen driver,17-Jan,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-160014,"L(5.0.2), M(6.0) device using LG felica driver",17-Jan,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-160011,Devices with LG Touchscreen driver,17-Jan,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-160015,Devices with LG Touchscreen driver,17-Jan,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-160017,Devices with LG Touchscreen driver,17-Jan,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-160018,"L(5.0/5.1), M(6.0/6.0.1), N(7.0) devices with LG fc8080 tdmb driver",17-Jan,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-160012,"L(5.0/5.1), M(6.0/6.0.1), N(7.0) devices using snapdragon 801, 808, 820",17-Jan,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-180011,"Android devices with OS  6.0, 6.0.1, 7.0, 7.1, 7.2, 8.0, 8.1",18-Dec,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-180010,"Android devices with OS  8.1, 9.0",18-Nov,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2016-10394,,23-Oct,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9468,,23-Oct,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-11816,,23-Oct,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2016-10408,,23-Oct,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-11952,,23-Oct,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-180008,"Android devices with OS 6.0, 6.0.1, 7.0, 7.1, 7.2, 8.0, 8.1, 9.0",18-Oct,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-180009,"Android devices with OS  6.0, 6.0.1, 7.0, 7.1, 7.2, 8.0, 8.1, 9.0",18-Oct,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9475,,23-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9478,,23-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9479,,23-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9411,,23-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9466,,23-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9467,,23-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9469,,23-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9470,,23-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9471,,23-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9472,,23-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9474,,23-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9456,,23-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9477,,23-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9480,,23-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9481,,23-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9482,,23-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9483,,23-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9484,,23-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9485,,23-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9486,,23-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9487,,23-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9440,,23-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-170026,"Android devices with OS  6.0, 6.0.1, 7.0, 7.1, 7.2, 8.0, 8.1",18-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-170027,"Android devices with OS  6.0, 6.0.1, 7.0, 7.1, 7.2, 8.0, 8.1",18-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9417,,23-Aug,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-180006,"Android devices with OS  6.0, 6.0.1, 7.0, 7.1, 7.2, 8.0, 8.1",18-Aug,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9433,,23-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9411,,23-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9365,,23-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9364,,23-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9373,,23-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9410,,23-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9424,,23-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9428,,23-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9412,,23-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9421,,23-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9432,,23-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9420,,23-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9419,,23-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9409,,23-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9366,,23-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9367,,23-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9368,,23-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9369,,23-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9370,,23-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9371,,23-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9372,,23-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-180001,"Android devices with OS 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",18-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-180003,Android devices with OS 8.0,18-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-180004,"Android devices with OS 6.0, 6.0.1, 7.0, 7.1, 7.2, 8.0, 8.1",18-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-180005,"Android devices with OS 6.0, 6.0.1, 7.0, 7.1, 7.2, 8.0, 8.1",18-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-180007,Android devices with OS 8.1,18-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9341,,23-Jun,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9338,,23-Jun,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9339,,23-Jun,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2017-13227,,23-Jun,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9340,,23-Jun,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9344,,23-Jun,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9345,,23-Jun,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9346,,23-Jun,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9348,,23-Jun,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-180002,"Android devices with OS   6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",18-Jun,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2017-13309,,23-May,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2017-13310,,23-May,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2017-13311,,23-May,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2017-13312,,23-May,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2017-13313,,23-May,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2017-13314,,23-May,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2017-13315,,23-May,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-170025,"Android devices with OS  4.4, 5.0, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",18-May,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-170023,"Android devices with OS  6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",18-Feb,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-170024,"Android devices with OS  6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",18-Feb,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2019-2222(O8.0,,23-Dec,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2019-2223(O8.0,,23-Dec,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2019-2224,,23-Dec,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: CVE-2019-15140. Reason: This candidate is a duplicate of CVE-2019-15140. Notes: All CVE users should reference CVE-2019-15140 instead of this candidate. All references and descriptions in this candidate have been removed to prevent accidental usage,None,2019-12-06T23:15:12.333,2023-11-07T03:09:24.123,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2019-2222(Q10,,23-Dec,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2019-2223(Q10,,23-Dec,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-MOT-190001,LG PC Suite for LG G3 and earlier (LG PC Suite v5.3.27 and earlier),19-Nov,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2017-17768,,23-Oct,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-190011,"Android devices with OS 8.0, 8.1, 9.0",19-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-190013,Android devices with OS 9.0,19-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-9350,,23-Aug,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-190006,"Android devices with OS  7.0, 7.1, 7.2, 8.0, 8.1, 9.0",19-Aug,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-190007,"Android devices with OS  7.0, 7.1, 7.2, 8.0, 8.1, 9.0",19-Aug,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-190008,"Android devices with OS  7.0, 7.1, 7.2, 8.0, 8.1, 9.0",19-Aug,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-190009,"Android devices with OS  7.0, 7.1, 7.2, 8.0, 8.1, 9.0",19-Aug,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-190010,"Android OS 9.0 devices with Qualcomm(SDM450, SDM845, SM6150, SM8150) chipsets.",19-Aug,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-190005,"Android devices with OS  7.0, 7.1, 7.2, 8.0, 8.1",19-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-190006,"Android devices with OS  7.0, 7.1, 7.2, 8.0, 8.1, 9.0",19-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-190004,"Android devices with OS  7.0, 7.1, 7.2, 8.0, 8.1, 9.0",19-Jun,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2017-17772,,23-May,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-190003,"Android devices with OS  7.0, 7.1, 7.2, 8.0, 8.1, 9.0",19-May,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-190004,"Android devices with OS  7.0, 7.1, 7.2, 8.0, 8.1, 9.0",19-May,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-11817,,23-Apr,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-13917,,23-Apr,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-190002,"Android devices with OS  7.0, 7.1, 7.2, 8.0, 8.1",19-Apr,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-190001,"Android devices with OS  7.0, 7.1, 7.2, 8.0, 8.1",19-Mar,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-190002,"Android devices with OS  7.0, 7.1, 7.2, 8.0, 8.1",19-Mar,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-180014,"CDMA devices in North America with OS  7.0, 7.1, 7.2, 8.0, 8.1",19-Feb,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-180012,"Android devices with OS  7.0, 7.1, 7.2, 8.0, 8.1",19-Jan,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-180013,"Android devices with OS  8.0, 8.1",19-Jan,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-200026,"Android devices with OS 8.0, 8.1, 9.0, 10",20-Dec,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-200027,Some Android models that support dual screen with OS 10,20-Dec,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2020-0451(O8.0,,23-Nov,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2020-0451(Q10,,23-Nov,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2020-0438(R11,,23-Nov,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2020-0438(Q10,,23-Nov,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-200024,"Android devices with OS 8.0, 8.1, 9.0, 10",20-Nov,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-200025,Android devices with OS 10,20-Nov,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-200022,"Android devices with OS 9.0, 10",20-Oct,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-200023,"Android devices with OS 8.0, 8.1, 9.0",20-Oct,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-200016,"Android devices with OS 9.0, 10",20-Oct,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2020-0245(O8.0,,23-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2020-0255,,23-Sep,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: CVE-2020-10751. Reason: This candidate is a duplicate of CVE-2020-10751. Notes: All CVE users should reference CVE-2020-10751 instead of this candidate. All references and descriptions in this candidate have been removed to prevent accidental usage,None,2020-08-14T20:15:12.700,2023-11-07T03:13:52.197,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2020-0245(Q10,,23-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-190002,"Android devices with OS  7.0, 7.1, 7.2, 8.0, 8.1",20-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-200020,Android devices with OS 10,20-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-200021,"Android devices with OS 8.0, 8.1, 9.0, 10",20-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-200019,"Android devices with OS 4.4, 5.0, 5.1, 6.0, 7.0, 7.1, 8.0, 8.1, 9.0, 10",20-Aug,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-170010,"Android devices with OS 4.4, 5.0, 5.1, 6.0, 7.0, 7.1, 8.0, 8.1, 9.0, 10",20-Aug,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2019-9460,,23-Jul,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. It was intended to be published earlier but will be made public later instead. Notes: none,None,2019-09-27T19:15:29.500,2023-11-07T03:13:40.037,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2019-9460,,23-Jul,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. It was intended to be published earlier but will be made public later instead. Notes: none,None,2019-09-27T19:15:29.500,2023-11-07T03:13:40.037,nan,nan,nan,nan,nan,nan,nan,nan,,nan
LVE-SMP-200011,Android devices with OS 10,20-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-200012,"Android devices with OS 8.0, 8.1, 9, 10",20-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-200013,"Android devices with OS 7.2, 8.0, 8.1, 9, 10",20-Jul,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
