ID,CVE,descrip,vul_true,SPL,SMR,date,last_mod,severity,confid,integrity,availability,req_privileges,attack_vector,attack_complexity,user_req,cwe,cwe_info
11,CVE-2015-8961,The __ext4_journal_stop function in fs/ext4/ext4_jbd2.c in the Linux kernel before 4.3.3 allows local users to gain privileges or cause a denial of service (use-after-free) by leveraging improper access to a certain error field.,,16-Dec,NULL,2016-11-16T05:59:00.140,2023-01-19T16:05:41.817,HIGH,HIGH,HIGH,HIGH,NONE,LOCAL,LOW,REQUIRED,CWE-416,"Referencing memory after it has been freed can cause a program to crash, use unexpected values, or execute code. "
12,CVE-2015-8962,Double free vulnerability in the sg_common_write function in drivers/scsi/sg.c in the Linux kernel before 4.4 allows local users to gain privileges or cause a denial of service (memory corruption and system crash) by detaching a device during an SG_IO ioctl call.,,16-Dec,NULL,2016-11-16T05:59:01.797,2023-01-19T16:07:59.687,HIGH,HIGH,HIGH,HIGH,LOW,LOCAL,LOW,REQUIRED,CWE-415,"The product calls free() twice on the same memory address, potentially leading to modification of unexpected memory locations. "
13,CVE-2016-7912,Use-after-free vulnerability in the ffs_user_copy_worker function in drivers/usb/gadget/function/f_fs.c in the Linux kernel before 4.5.3 allows local users to gain privileges by accessing an I/O data structure after a certain callback call.,,16-Dec,NULL,2016-11-16T05:59:07.140,2023-01-19T16:07:54.107,HIGH,HIGH,HIGH,HIGH,NONE,LOCAL,LOW,REQUIRED,CWE-416,"Referencing memory after it has been freed can cause a program to crash, use unexpected values, or execute code. "
14,CVE-2016-7913,The xc2028_set_config function in drivers/media/tuners/tuner-xc2028.c in the Linux kernel before 4.6 allows local users to gain privileges or cause a denial of service (use-after-free) via vectors involving omission of the firmware name from a certain data structure.,,16-Dec,NULL,2016-11-16T05:59:08.030,2022-12-09T18:12:39.963,HIGH,HIGH,HIGH,HIGH,NONE,LOCAL,LOW,REQUIRED,CWE-416,"Referencing memory after it has been freed can cause a program to crash, use unexpected values, or execute code. "
15,CVE-2016-6737,"An elevation of privilege vulnerability in the kernel ION subsystem in Android before 2016-11-05 could enable a local malicious application to execute arbitrary code within the context of the kernel. This issue is rated as Critical due to the possibility of a local permanent device compromise, which may require reflashing the operating system to repair the device. Android ID: A-30928456.",,16-Dec,NULL,2016-11-25T16:59:40.037,2016-11-28T20:34:56.217,HIGH,HIGH,HIGH,HIGH,NONE,LOCAL,LOW,REQUIRED,CWE-264,"Weaknesses in this category are related to the management of permissions, privileges, and other security features that are used to perform access control."
16,CVE-2013-7446,Use-after-free vulnerability in net/unix/af_unix.c in the Linux kernel before 4.3.3 allows local users to bypass intended AF_UNIX socket permissions or cause a denial of service (panic) via crafted epoll_ctl calls.,,16-Dec,NULL,2015-12-28T11:59:00.153,2023-11-07T02:18:03.870,MEDIUM,NONE,LOW,HIGH,LOW,LOCAL,HIGH,NONE,NVD-CWE-Other,NVD-CWE-Other
17,CVE-2016-5419,"curl and libcurl before 7.50.1 do not prevent TLS session resumption when the client certificate has changed, which allows remote attackers to bypass intended restrictions by resuming a session.",,16-Dec,NULL,2016-08-10T14:59:03.533,2023-11-07T02:33:39.693,HIGH,HIGH,NONE,NONE,NONE,NETWORK,LOW,NONE,CWE-310,"Weaknesses in this category are related to the design and implementation of data confidentiality and integrity. Frequently these deal with the use of encoding techniques, encryption libraries, and hashing algorithms. The weaknesses in this category could lead to a degradation of the quality data if they are not addressed."
18,CVE-2016-5420,"curl and libcurl before 7.50.1 do not check the client certificate when choosing the TLS connection to reuse, which might allow remote attackers to hijack the authentication of the connection by leveraging a previously created connection with a different client certificate.",,16-Dec,NULL,2016-08-10T14:59:05.080,2023-11-07T02:33:39.770,HIGH,NONE,HIGH,NONE,NONE,NETWORK,LOW,NONE,CWE-285,The product does not perform or incorrectly performs an authorization check when an actor attempts to access a resource or perform an action. 
19,CVE-2016-5421,Use-after-free vulnerability in libcurl before 7.50.1 allows attackers to control which connection is used or possibly have unspecified other impact via unknown vectors.,,16-Dec,NULL,2016-08-10T14:59:06.330,2023-11-07T02:33:39.850,HIGH,HIGH,HIGH,HIGH,NONE,NETWORK,HIGH,NONE,CWE-416,"Referencing memory after it has been freed can cause a program to crash, use unexpected values, or execute code. "
20,CVE-2016-6762,"An elevation of privilege vulnerability in the libziparchive library could enable a local malicious application to execute arbitrary code within the context of a privileged process. This issue is rated as High because it could be used to gain local access to elevated capabilities, which are not normally accessible to a third-party application. Product: Android. Versions: 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0. Android ID: A-31251826.",,16-Dec,NULL,2017-01-12T15:59:00.387,2017-01-19T16:13:39.937,HIGH,HIGH,HIGH,HIGH,NONE,LOCAL,LOW,REQUIRED,CWE-264,"Weaknesses in this category are related to the management of permissions, privileges, and other security features that are used to perform access control."
21,CVE-2015-6621,"SystemUI in Android 5.x before 5.1.1 LMY48Z and 6.0 before 2015-12-01 allows attackers to gain privileges via a crafted application, as demonstrated by obtaining Signature or SignatureOrSystem access, aka internal bug 23909438.",,16-Dec,NULL,2015-12-08T23:59:06.007,2015-12-09T18:11:53.040,HIGH,COMPLETE,COMPLETE,COMPLETE,NONE,NETWORK,MEDIUM,1,CWE-264,"Weaknesses in this category are related to the management of permissions, privileges, and other security features that are used to perform access control."
22,CVE-2016-6704,"An elevation of privilege vulnerability in Mediaserver in Android 4.x before 4.4.4, 5.0.x before 5.0.2, 5.1.x before 5.1.1, 6.x before 2016-11-01, and 7.0 before 2016-11-01 could enable a local malicious application to execute arbitrary code within the context of a privileged process. This issue is rated as High because it could be used to gain local access to elevated capabilities, which are not normally accessible to a third-party application. Android ID: A-30229821.",,16-Dec,NULL,2016-11-25T16:59:10.280,2019-03-05T15:58:37.250,HIGH,HIGH,HIGH,HIGH,NONE,LOCAL,LOW,REQUIRED,CWE-264,"Weaknesses in this category are related to the management of permissions, privileges, and other security features that are used to perform access control."
23,CVE-2016-6763,"A denial of service vulnerability in Telephony could enable a local malicious application to use a specially crafted file to cause a device hang or reboot. This issue is rated as High due to the possibility of local permanent denial of service. Product: Android. Versions: 4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0. Android ID: A-31530456.",,16-Dec,NULL,2017-01-12T15:59:00.417,2017-01-19T15:39:18.037,MEDIUM,NONE,NONE,HIGH,NONE,LOCAL,LOW,REQUIRED,CWE-284,The product does not restrict or incorrectly restricts access to a resource from an unauthorized actor. 
24,CVE-2016-6764,"A denial of service vulnerability in Mediaserver could enable an attacker to use a specially crafted file to cause a device hang or reboot. This issue is rated as High due to the possibility of remote denial of service. Product: Android. Versions: 4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0. Android ID: A-31681434.",,16-Dec,NULL,2017-01-12T15:59:00.450,2017-01-19T16:13:33.920,MEDIUM,NONE,NONE,HIGH,NONE,LOCAL,LOW,REQUIRED,CWE-399,Resource Management Errors
25,CVE-2016-6765,"A denial of service vulnerability in libstagefright in Mediaserver could enable an attacker to use a specially crafted file to cause a device hang or reboot. This issue is rated as High due to the possibility of remote denial of service. Product: Android. Versions: 4.4.4, 5.0.2, 5.1.1, 7.0. Android ID: A-31449945.",,16-Dec,NULL,2017-01-12T15:59:00.480,2017-01-19T16:13:22.890,MEDIUM,NONE,NONE,HIGH,NONE,LOCAL,LOW,REQUIRED,CWE-19,Data Processing Errors
26,CVE-2016-6766,"A denial of service vulnerability in libmedia and libstagefright in Mediaserver could enable an attacker to use a specially crafted file to cause a device hang or reboot. This issue is rated as High due to the possibility of remote denial of service. Product: Android. Versions: 4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0. Android ID: A-31318219.",,16-Dec,NULL,2017-01-12T15:59:00.510,2017-01-19T16:12:53.437,MEDIUM,NONE,NONE,HIGH,NONE,LOCAL,LOW,REQUIRED,CWE-19,Data Processing Errors
27,CVE-2016-6767,A denial of service vulnerability in Mediaserver could enable an attacker to use a specially crafted file to cause a device hang or reboot. This issue is rated as High due to the possibility of remote denial of service. Product: Android. Versions: 4.4.4. Android ID: A-31833604.,,16-Dec,NULL,2017-01-12T15:59:00.543,2017-01-19T16:12:42.433,MEDIUM,NONE,NONE,HIGH,NONE,LOCAL,LOW,REQUIRED,CWE-399,Resource Management Errors
28,CVE-2016-6768,"A remote code execution vulnerability in the Framesequence library could enable an attacker using a specially crafted file to execute arbitrary code in the context of an unprivileged process. This issue is rated as High due to the possibility of remote code execution in an application that uses the Framesequence library. Product: Android. Versions: 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0. Android ID: A-31631842.",,16-Dec,NULL,2017-01-12T15:59:00.573,2017-01-19T16:12:17.887,HIGH,HIGH,HIGH,HIGH,NONE,LOCAL,LOW,REQUIRED,CWE-284,The product does not restrict or incorrectly restricts access to a resource from an unauthorized actor. 
29,CVE-2016-0718,"Expat allows context-dependent attackers to cause a denial of service (crash) or possibly execute arbitrary code via a malformed input document, which triggers a buffer overflow.",,16-Dec,NULL,2016-05-26T16:59:00.133,2023-02-12T23:15:50.093,CRITICAL,HIGH,HIGH,HIGH,NONE,NETWORK,LOW,NONE,CWE-119,"The product performs operations on a memory buffer, but it can read from or write to a memory location that is outside of the intended boundary of the buffer. "
30,CVE-2012-6702,"Expat, when used in a parser that has not called XML_SetHashSalt or passed it a seed of 0, makes it easier for context-dependent attackers to defeat cryptographic protection mechanisms via vectors involving use of the srand function.",,16-Dec,NULL,2016-06-16T18:59:00.327,2023-11-07T02:13:32.453,MEDIUM,NONE,HIGH,NONE,NONE,NETWORK,HIGH,NONE,CWE-310,"Weaknesses in this category are related to the design and implementation of data confidentiality and integrity. Frequently these deal with the use of encoding techniques, encryption libraries, and hashing algorithms. The weaknesses in this category could lead to a degradation of the quality data if they are not addressed."
31,CVE-2016-5300,"The XML parser in Expat does not use sufficient entropy for hash initialization, which allows context-dependent attackers to cause a denial of service (CPU consumption) via crafted identifiers in an XML document.  NOTE: this vulnerability exists because of an incomplete fix for CVE-2012-0876.",,16-Dec,NULL,2016-06-16T18:59:10.547,2023-11-07T02:33:37.163,HIGH,NONE,NONE,HIGH,NONE,NETWORK,LOW,NONE,CWE-399,Resource Management Errors
32,CVE-2015-1283,"Multiple integer overflows in the XML_GetBuffer function in Expat through 2.1.0, as used in Google Chrome before 44.0.2403.89 and other products, allow remote attackers to cause a denial of service (heap-based buffer overflow) or possibly have unspecified other impact via crafted XML data, a related issue to CVE-2015-2716.",,16-Dec,NULL,2015-07-23T00:59:12.680,2023-11-07T02:24:38.597,MEDIUM,PARTIAL,PARTIAL,PARTIAL,NONE,NETWORK,MEDIUM,1,CWE-190,"The product performs a calculation that can produce an integer overflow or wraparound, when the logic assumes that the resulting value will always be larger than the original value. This can introduce other weaknesses when the calculation is used for resource management or execution control. "
33,CVE-2016-6754,"A remote code execution vulnerability in Webview in Android 5.0.x before 5.0.2, 5.1.x before 5.1.1, and 6.x before 2016-11-05 could enable a remote attacker to execute arbitrary code when the user is navigating to a website. This issue is rated as High due to the possibility of remote code execution in an unprivileged process. Android ID: A-31217937.",,16-Dec,NULL,2016-11-25T16:59:59.010,2016-12-24T02:59:43.950,HIGH,HIGH,HIGH,HIGH,NONE,NETWORK,LOW,REQUIRED,CWE-74,"The product constructs all or part of a command, data structure, or record using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify how it is parsed or interpreted when it is sent to a downstream component. "
34,CVE-2014-9675,"bdf/bdflib.c in FreeType before 2.5.4 identifies property names by only verifying that an initial substring is present, which allows remote attackers to discover heap pointer values and bypass the ASLR protection mechanism via a crafted BDF font.",,16-Dec,NULL,2015-02-08T11:59:36.490,2018-10-30T16:27:35.843,MEDIUM,PARTIAL,NONE,NONE,NONE,NETWORK,LOW,0,CWE-264,"Weaknesses in this category are related to the management of permissions, privileges, and other security features that are used to perform access control."
35,CVE-2016-6136,"Race condition in the audit_log_single_execve_arg function in kernel/auditsc.c in the Linux kernel through 4.7 allows local users to bypass intended character-set restrictions or disrupt system-call auditing by changing a certain string, aka a ""double fetch"" vulnerability.",,16-Dec,NULL,2016-08-06T20:59:06.800,2018-01-05T02:31:04.667,MEDIUM,NONE,HIGH,NONE,LOW,LOCAL,HIGH,NONE,CWE-362,"The product contains a code sequence that can run concurrently with other code, and the code sequence requires temporary, exclusive access to a shared resource, but a timing window exists in which the shared resource can be modified by another code sequence that is operating concurrently. "
36,CVE-2016-6738,An elevation of privilege vulnerability in the Qualcomm crypto engine driver in Android before 2016-11-05 could enable a local malicious application to execute arbitrary code within the context of the kernel. This issue is rated as High because it first requires compromising a privileged process. Android ID: A-30034511. References: Qualcomm QC-CR#1050538.,,16-Dec,NULL,2016-11-25T16:59:41.053,2016-11-28T20:34:57.263,HIGH,HIGH,HIGH,HIGH,NONE,LOCAL,LOW,REQUIRED,CWE-264,"Weaknesses in this category are related to the management of permissions, privileges, and other security features that are used to perform access control."
37,CVE-2016-6739,An elevation of privilege vulnerability in the Qualcomm camera driver in Android before 2016-11-05 could enable a local malicious application to execute arbitrary code within the context of the kernel. This issue is rated as High because it first requires compromising a privileged process. Android ID: A-30074605. References: Qualcomm QC-CR#1049826.,,16-Dec,NULL,2016-11-25T16:59:42.147,2016-11-28T20:34:58.293,HIGH,HIGH,HIGH,HIGH,NONE,LOCAL,LOW,REQUIRED,CWE-264,"Weaknesses in this category are related to the management of permissions, privileges, and other security features that are used to perform access control."
38,CVE-2016-6740,An elevation of privilege vulnerability in the Qualcomm camera driver in Android before 2016-11-05 could enable a local malicious application to execute arbitrary code within the context of the kernel. This issue is rated as High because it first requires compromising a privileged process. Android ID: A-30143904. References: Qualcomm QC-CR#1056307.,,16-Dec,NULL,2016-11-25T16:59:43.587,2016-11-28T20:34:59.387,HIGH,HIGH,HIGH,HIGH,NONE,LOCAL,LOW,REQUIRED,CWE-264,"Weaknesses in this category are related to the management of permissions, privileges, and other security features that are used to perform access control."
39,CVE-2016-6741,An elevation of privilege vulnerability in the Qualcomm camera driver in Android before 2016-11-05 could enable a local malicious application to execute arbitrary code within the context of the kernel. This issue is rated as High because it first requires compromising a privileged process. Android ID: A-30559423. References: Qualcomm QC-CR#1060554.,,16-Dec,NULL,2016-11-25T16:59:44.757,2016-11-28T20:35:00.810,HIGH,HIGH,HIGH,HIGH,NONE,LOCAL,LOW,REQUIRED,CWE-264,"Weaknesses in this category are related to the management of permissions, privileges, and other security features that are used to perform access control."
40,CVE-2016-3904,An elevation of privilege vulnerability in the Qualcomm bus driver in Android before 2016-11-05 could enable a local malicious application to execute arbitrary code within the context of the kernel. This issue is rated as High because it first requires compromising a privileged process. Android ID: A-30311977. References: Qualcomm QC-CR#1050455.,,16-Dec,NULL,2016-11-25T16:59:00.183,2016-11-28T20:13:39.557,HIGH,HIGH,HIGH,HIGH,NONE,LOCAL,LOW,REQUIRED,CWE-264,"Weaknesses in this category are related to the management of permissions, privileges, and other security features that are used to perform access control."
41,CVE-2016-6742,An elevation of privilege vulnerability in the Synaptics touchscreen driver in Android before 2016-11-05 could enable a local malicious application to execute arbitrary code within the context of the kernel. This issue is rated as High because it first requires compromising a privileged process. Android ID: A-30799828.,,16-Dec,NULL,2016-11-25T16:59:45.773,2016-11-28T20:35:02.280,HIGH,HIGH,HIGH,HIGH,NONE,LOCAL,LOW,REQUIRED,CWE-264,"Weaknesses in this category are related to the management of permissions, privileges, and other security features that are used to perform access control."
42,CVE-2016-6743,An elevation of privilege vulnerability in the Synaptics touchscreen driver in Android before 2016-11-05 could enable a local malicious application to execute arbitrary code within the context of the kernel. This issue is rated as High because it first requires compromising a privileged process. Android ID: A-30937462.,,16-Dec,NULL,2016-11-25T16:59:46.853,2016-11-28T20:35:04.013,HIGH,HIGH,HIGH,HIGH,NONE,LOCAL,LOW,REQUIRED,CWE-264,"Weaknesses in this category are related to the management of permissions, privileges, and other security features that are used to perform access control."
43,CVE-2016-6744,An elevation of privilege vulnerability in the Synaptics touchscreen driver in Android before 2016-11-05 could enable a local malicious application to execute arbitrary code within the context of the kernel. This issue is rated as High because it first requires compromising a privileged process. Android ID: A-30970485.,,16-Dec,NULL,2016-11-25T16:59:48.023,2016-11-28T20:35:04.997,HIGH,HIGH,HIGH,HIGH,NONE,LOCAL,LOW,REQUIRED,CWE-264,"Weaknesses in this category are related to the management of permissions, privileges, and other security features that are used to perform access control."
44,CVE-2016-6745,An elevation of privilege vulnerability in the Synaptics touchscreen driver in Android before 2016-11-05 could enable a local malicious application to execute arbitrary code within the context of the kernel. This issue is rated as High because it first requires compromising a privileged process. Android ID: A-31252388.,,16-Dec,NULL,2016-11-25T16:59:49.290,2016-11-28T20:35:06.060,HIGH,HIGH,HIGH,HIGH,NONE,LOCAL,LOW,REQUIRED,CWE-264,"Weaknesses in this category are related to the management of permissions, privileges, and other security features that are used to perform access control."
45,CVE-2015-8963,Race condition in kernel/events/core.c in the Linux kernel before 4.4 allows local users to gain privileges or cause a denial of service (use-after-free) by leveraging incorrect handling of an swevent data structure during a CPU unplug operation.,,16-Dec,NULL,2016-11-16T05:59:02.890,2023-12-14T14:06:01.427,HIGH,HIGH,HIGH,HIGH,NONE,LOCAL,HIGH,REQUIRED,"CWE-362,CWE-416","The product contains a code sequence that can run concurrently with other code, and the code sequence requires temporary, exclusive access to a shared resource, but a timing window exists in which the shared resource can be modified by another code sequence that is operating concurrently. ,Referencing memory after it has been freed can cause a program to crash, use unexpected values, or execute code. "
46,CVE-2014-9874,"Buffer overflow in the Qualcomm components in Android before 2016-08-05 on Nexus 5, 5X, 6P, and 7 (2013) devices allows attackers to gain privileges via a crafted application, related to arch/arm/mach-msm/qdsp6v2/audio_utils.c and sound/soc/msm/qdsp6v2/q6asm.c, aka Android internal bug 28751152 and Qualcomm internal bug CR563086.",,16-Dec,NULL,2016-08-06T10:59:15.540,2016-11-28T19:15:16.590,HIGH,HIGH,HIGH,HIGH,NONE,LOCAL,LOW,REQUIRED,CWE-119,"The product performs operations on a memory buffer, but it can read from or write to a memory location that is outside of the intended boundary of the buffer. "
47,CVE-2016-3850,"Integer overflow in app/aboot/aboot.c in the Qualcomm bootloader in Android before 2016-08-05 on Nexus 5, 5X, 6P, and 7 (2013) devices allows attackers to gain privileges via a crafted header field in a boot image, aka Android internal bug 27917291 and Qualcomm internal bug CR945164.",,16-Dec,NULL,2016-08-05T20:59:41.927,2016-11-28T20:12:52.513,HIGH,HIGH,HIGH,HIGH,LOW,LOCAL,LOW,REQUIRED,CWE-264,"Weaknesses in this category are related to the management of permissions, privileges, and other security features that are used to perform access control."
48,CVE-2016-7914,"The assoc_array_insert_into_terminal_node function in lib/assoc_array.c in the Linux kernel before 4.5.3 does not check whether a slot is a leaf, which allows local users to obtain sensitive information from kernel memory or cause a denial of service (invalid pointer dereference and out-of-bounds read) via an application that uses associative-array data structures, as demonstrated by the keyutils test suite.",,16-Dec,NULL,2016-11-16T05:59:08.970,2018-01-05T02:31:15.917,MEDIUM,HIGH,NONE,NONE,NONE,LOCAL,LOW,REQUIRED,"CWE-125,CWE-476","The product reads data past the end, or before the beginning, of the intended buffer. ,A NULL pointer dereference occurs when the application dereferences a pointer that it expects to be valid, but is NULL, typically causing a crash or exit. "
49,CVE-2015-8964,The tty_set_termios_ldisc function in drivers/tty/tty_ldisc.c in the Linux kernel before 4.5 allows local users to obtain sensitive information from kernel memory by reading a tty data structure.,,16-Dec,NULL,2016-11-16T05:59:03.843,2016-11-28T19:50:55.427,MEDIUM,HIGH,NONE,NONE,NONE,LOCAL,LOW,REQUIRED,CWE-200,The product exposes sensitive information to an actor that is not explicitly authorized to have access to that information. 
50,CVE-2016-7915,"The hid_input_field function in drivers/hid/hid-core.c in the Linux kernel before 4.6 allows physically proximate attackers to obtain sensitive information from kernel memory or cause a denial of service (out-of-bounds read) by connecting a device, as demonstrated by a Logitech DJ receiver.",,16-Dec,NULL,2016-11-16T05:59:09.923,2018-01-05T02:31:15.997,MEDIUM,HIGH,NONE,NONE,NONE,LOCAL,LOW,REQUIRED,CWE-125,"The product reads data past the end, or before the beginning, of the intended buffer. "
51,CVE-2016-7916,Race condition in the environ_read function in fs/proc/base.c in the Linux kernel before 4.5.4 allows local users to obtain sensitive information from kernel memory by reading a /proc/*/environ file during a process-setup time interval in which environment-variable copying is incomplete.,,16-Dec,NULL,2016-11-16T05:59:11.017,2017-01-18T02:59:12.610,MEDIUM,HIGH,NONE,NONE,NONE,LOCAL,LOW,REQUIRED,CWE-362,"The product contains a code sequence that can run concurrently with other code, and the code sequence requires temporary, exclusive access to a shared resource, but a timing window exists in which the shared resource can be modified by another code sequence that is operating concurrently. "
52,CVE-2016-6769,"An elevation of privilege vulnerability in Smart Lock could enable a local malicious user to access Smart Lock settings without a PIN. This issue is rated as Moderate because it first requires physical access to an unlocked device where Smart Lock was the last settings pane accessed by the user. Product: Android. Versions: 5.0.2, 5.1.1, 6.0, 6.0.1. Android ID: A-29055171.",,16-Dec,NULL,2017-01-12T15:59:00.607,2017-01-19T16:12:13.667,MEDIUM,NONE,HIGH,NONE,NONE,PHYSICAL,LOW,NONE,CWE-284,The product does not restrict or incorrectly restricts access to a resource from an unauthorized actor. 
53,CVE-2016-6770,"An elevation of privilege vulnerability in the Framework API could enable a local malicious application to access system functions beyond its access level. This issue is rated as Moderate because it is a local bypass of restrictions on a constrained process. Product: Android. Versions: 4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0. Android ID: A-30202228.",,16-Dec,NULL,2017-01-12T15:59:00.637,2017-01-19T16:11:43.633,LOW,NONE,LOW,NONE,NONE,LOCAL,LOW,REQUIRED,CWE-284,The product does not restrict or incorrectly restricts access to a resource from an unauthorized actor. 
54,CVE-2016-6771,"An elevation of privilege vulnerability in Telephony could enable a local malicious application to access system functions beyond its access level. This issue is rated as Moderate because it is a local bypass of restrictions on a constrained process. Product: Android. Versions: 6.0, 6.0.1, 7.0. Android ID: A-31566390.",,16-Dec,NULL,2017-01-12T15:59:00.667,2017-01-18T02:59:09.470,MEDIUM,LOW,LOW,LOW,NONE,LOCAL,LOW,REQUIRED,CWE-284,The product does not restrict or incorrectly restricts access to a resource from an unauthorized actor. 
55,CVE-2016-6772,"An elevation of privilege vulnerability in Wi-Fi could enable a local malicious application to execute arbitrary code within the context of a privileged process. This issue is rated as Moderate because it first requires compromising a privileged process. Product: Android. Versions: 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0. Android ID: A-31856351.",,16-Dec,NULL,2017-01-12T15:59:00.700,2017-01-20T02:59:06.827,HIGH,HIGH,HIGH,HIGH,NONE,LOCAL,LOW,REQUIRED,CWE-264,"Weaknesses in this category are related to the management of permissions, privileges, and other security features that are used to perform access control."
