CVE,SPL,SMR,Year,Month,Date_lg,ID_asb,year_asb,month_asb,spl_type_asb,date_asb,bug_asb,link_asb,Type_asb,Severity_asb,vul_true,component_asb,devices_asb,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,cwe,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity,cwe_info,Date_asb
CVE-2018-9411,23-Jul,,2023,07,2023-07-01,817,2018,07,7/1/18,,A-79376389,https://android.googlesource.com/platform/system/libhidl/+/e1302cfda34be9dd0a4aeae6bfa9561b44536758,RCE,Critical,"8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9466,23-Sep,,2023,09,2023-09-01,890,2018,09,9/1/18,,A-62151041,https://android.googlesource.com/platform/external/libxml2/+/b730f8d3c15da4ac439f1184bf17a13021963ea9,RCE,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9467,23-Sep,,2023,09,2023-09-01,891,2018,09,9/1/18,,A-110955991,https://android.googlesource.com/platform/libcore/+/518e8d27de9f32eb86bc3090ee2759ea93b9fb93,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9469,23-Sep,,2023,09,2023-09-01,892,2018,09,9/1/18,,A-109824443,https://android.googlesource.com/platform/frameworks/base/+/623b2b604c4ffcd48f137379d6934537510665bf,EoP,High,"7.1.1, 7.1.2, 8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9470,23-Sep,,2023,09,2023-09-01,893,2018,09,9/1/18,,A-78290481,https://android.googlesource.com/platform/external/neven/+/86a561f79f97baa38e240f6296fe1192fa4a5c9c,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9471,23-Sep,,2023,09,2023-09-01,894,2018,09,9/1/18,,A-77599679,https://android.googlesource.com/platform/frameworks/base/+/eabaff1c7f02906e568997bdd7dc43006655387e,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9472,23-Sep,,2023,09,2023-09-01,895,2018,09,9/1/18,,A-79662501,https://android.googlesource.com/platform/external/libxml2/+/b730f8d3c15da4ac439f1184bf17a13021963ea9,RCE,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9474,23-Sep,,2023,09,2023-09-01,896,2018,09,9/1/18,,A-77600398,https://android.googlesource.com/platform/frameworks/base/+/586b9102f322731d604e6280143e16cb6f1c9f76,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9456,23-Sep,,2023,09,2023-09-01,901,2018,09,9/1/18,,A-78136869,https://android.googlesource.com/platform/system/bt/+/04be7ae5771ee1edc6cbe2af26998755d7be5a68,DoS,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9477,23-Sep,,2023,09,2023-09-01,902,2018,09,9/1/18,,A-92497653,https://android.googlesource.com/platform/packages/apps/Settings/+/3eec10e4a8daf8f07127341fbc45bef539c8d790,EoP,High,"8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9480,23-Sep,,2023,09,2023-09-01,903,2018,09,9/1/18,,A-109757168,https://android.googlesource.com/platform/system/bt/+/75c22982624fb530bc1d57aba6c1e46e7881d6ba,ID,High,"8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9481,23-Sep,,2023,09,2023-09-01,904,2018,09,9/1/18,,A-109757435,https://android.googlesource.com/platform/system/bt/+/75c22982624fb530bc1d57aba6c1e46e7881d6ba,ID,High,"8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9482,23-Sep,,2023,09,2023-09-01,905,2018,09,9/1/18,,A-109757986,https://android.googlesource.com/platform/system/bt/+/75c22982624fb530bc1d57aba6c1e46e7881d6ba,ID,High,"8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9483,23-Sep,,2023,09,2023-09-01,906,2018,09,9/1/18,,A-110216173,https://android.googlesource.com/platform/system/bt/+/d3689fb0ddcdede16c13250a7a30ca76b113c9c1,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9484,23-Sep,,2023,09,2023-09-01,907,2018,09,9/1/18,,A-79488381,https://android.googlesource.com/platform/system/bt/+/d5b44f6522c3294d6f5fd71bc6670f625f716460,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9485,23-Sep,,2023,09,2023-09-01,908,2018,09,9/1/18,,A-80261585,https://android.googlesource.com/platform/system/bt/+/bdbabb2ca4ebb4dc5971d3d42cb12f8048e23a23,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9486,23-Sep,,2023,09,2023-09-01,909,2018,09,9/1/18,,A-80493272,https://android.googlesource.com/platform/system/bt/+/bc6aef4f29387d07e0c638c9db810c6c1193f75b,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9487,23-Sep,,2023,09,2023-09-01,910,2018,09,9/1/18,,A-69873852,https://android.googlesource.com/platform/frameworks/base/+/cf6784bfbf713aaa54d8da77e9481b3f02784246,DoS,High,"8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9440,23-Sep,,2023,09,2023-09-01,897,2018,09,9/1/18,,A-77823362,"https://android.googlesource.com/platform/frameworks/av/+/8033f4a227e03f97a0f1d9975dc24bcb4ca61f74,https://android.googlesource.com/platform/frameworks/av/+/2870acaa4c58cf59758a74b6390615a421f14268",DoS,Moderate,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9417,23-Aug,,2023,08,2023-08-01,828,2018,07,7/5/18,,"A-74447444*,Upstream kernel",,EoP,High,,USB driver,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9433,23-Jul,,2023,07,2023-07-01,815,2018,07,7/1/18,,A-38196219,,RCE,Critical,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9365,23-Jul,,2023,07,2023-07-01,822,2018,07,7/1/18,,A-74121126,https://android.googlesource.com/platform/system/bt/+/ae94a4c333417a1829030c4d87a58ab7f1401308,RCE,Critical,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9364,23-Jul,,2023,07,2023-07-01,599,2018,06,6/5/18,,A-69163111,,EoP,Critical,,Bootloader,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9373,23-Jul,,2023,07,2023-07-01,601,2018,06,6/5/18,,"A-71867247,M-ALPS03740330",,EoP,Critical,,Mediatek WLAN TDLS,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9410,23-Jul,,2023,07,2023-07-01,816,2018,07,7/1/18,,A-77822336,https://android.googlesource.com/platform/frameworks/minikin/+/62e88b9f3ac35e1e69d79c7a43c6f9ddcd5980a3,ID,High,"8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9424,23-Jul,,2023,07,2023-07-01,818,2018,07,7/1/18,,A-76221123,https://android.googlesource.com/platform/frameworks/av/+/d3860e51b83296ae1d2921d8109210283573862a,EoP,High,"8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9428,23-Jul,,2023,07,2023-07-01,819,2018,07,7/1/18,,A-74122779,https://android.googlesource.com/platform/frameworks/av/+/46bd7c682db5bbc048b177c52448a7999e5740ce,EoP,High,8.1,,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9412,23-Jul,,2023,07,2023-07-01,820,2018,07,7/1/18,,A-78029004,https://android.googlesource.com/platform/frameworks/av/+/fa12c0fcdc6607b746177ccad4f7099098b4849a,DoS,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9421,23-Jul,,2023,07,2023-07-01,821,2018,07,7/1/18,,A-77237570,https://android.googlesource.com/platform/frameworks/native/+/ff2171f2460e3a6d3443ab957732b8b7d4831d40,ID,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9432,23-Jul,,2023,07,2023-07-01,823,2018,07,7/1/18,,A-73173182,https://android.googlesource.com/platform/frameworks/base/+/a6fe2cd18c77c68219fe7159c051bc4e0003fc40,EoP,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9420,23-Jul,,2023,07,2023-07-01,824,2018,07,7/1/18,,A-77238656,https://android.googlesource.com/platform/system/media/+/12df4b05fd918d836636e21f783df7ad9d5e17a3,ID,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9419,23-Jul,,2023,07,2023-07-01,825,2018,07,7/1/18,,A-74121659,https://android.googlesource.com/platform/system/bt/+/f1c2c86080bcd7b3142ff821441696fc99c2bc9a,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-07-01
CVE-2018-9409,23-Jul,,2023,07,2023-07-01,600,2018,06,6/5/18,,"A-63144992,QC-CR#2114346",,EoP,High,8.1,,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9366,23-Jul,,2023,07,2023-07-01,602,2018,06,6/5/18,,"A-72314499,M-ALPS03762526",,EoP,High,,IMSA,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9367,23-Jul,,2023,07,2023-07-01,603,2018,06,6/5/18,,"A-72314219,M-ALPS03762692",,EoP,High,,Cameratool CCAP,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9368,23-Jul,,2023,07,2023-07-01,604,2018,06,6/5/18,,"A-70727446,M-ALPS03730693",,EoP,High,,mtksocaudio,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9369,23-Jul,,2023,07,2023-07-01,605,2018,06,6/5/18,,"A-70514573,M-ALPS03666161",,EoP,High,,bootloader,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9370,23-Jul,,2023,07,2023-07-01,606,2018,06,6/5/18,,"A-70515281,M-ALPS03693488",,EoP,High,,bootloader,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9371,23-Jul,,2023,07,2023-07-01,607,2018,06,6/5/18,,"A-70515752,M-ALPS03683903",,EoP,High,,Bootloader,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9372,23-Jul,,2023,07,2023-07-01,608,2018,06,6/5/18,,"A-70730215,M-ALPS03676237",,EoP,High,,bootloader,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9341,23-Jun,,2023,06,2023-06-01,578,2018,06,6/1/18,,A-74016277,https://android.googlesource.com/platform/external/libmpeg2/+/69ac35d37c0fcf43ac3dac6c99dbec5ecb258c41,RCE,Critical,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9338,23-Jun,,2023,06,2023-06-01,574,2018,06,6/1/18,,A-71361168,https://android.googlesource.com/platform/frameworks/base/+/5a11d9bb5b55543c9b97d38da1a658c42b99a906,EoP,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9339,23-Jun,,2023,06,2023-06-01,575,2018,06,6/1/18,,A-71508348,https://android.googlesource.com/platform/frameworks/base/+/82306b4ed120eab59849a21ae85074ab10a67b23,EoP,High,"8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
CVE-2017-13227,23-Jun,,2023,06,2023-06-01,576,2018,06,6/1/18,,A-69981710,https://android.googlesource.com/platform/frameworks/base/+/173d37569997fdf7eaf7b05912c760352e724893,ID,High,"8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9340,23-Jun,,2023,06,2023-06-01,577,2018,06,6/1/18,,A-71360999,https://android.googlesource.com/platform/frameworks/base/+/5a11d9bb5b55543c9b97d38da1a658c42b99a906,ID,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9344,23-Jun,,2023,06,2023-06-01,581,2018,06,6/1/18,,A-73172817,https://android.googlesource.com/platform/hardware/interfaces/+/6a6c9a891b8e91a9bc84784909f800ba670c873b,EoP,High,8.1,,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9345,23-Jun,,2023,06,2023-06-01,582,2018,06,6/1/18,,A-77238250,https://android.googlesource.com/platform/frameworks/av/+/d6bd6091686dd7ea3b410fb8dce3794429066453,ID,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9346,23-Jun,,2023,06,2023-06-01,583,2018,06,6/1/18,,A-77238762,https://android.googlesource.com/platform/frameworks/av/+/d6bd6091686dd7ea3b410fb8dce3794429066453,ID,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9348,23-Jun,,2023,06,2023-06-01,585,2018,06,6/1/18,,A-68953854,https://android.googlesource.com/platform/external/sonivox/+/b237378c682f84e020f2c612c215967a7e5cd30a,DoS,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
CVE-2017-13309,23-May,,2023,05,2023-05-01,793,2018,05,5/1/18,,A-73251618,https://android.googlesource.com/platform/external/conscrypt/+/c26e60713035b52e123bdcc2fe5d69eb94a374f7,ID,High,8.1,,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-05-01
CVE-2017-13310,23-May,,2023,05,2023-05-01,794,2018,05,5/1/18,,A-71992105,https://android.googlesource.com/platform/frameworks/base/+/57bc6ca6dda12ef7925c69a75cbcdf3df05067fc,EoP,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-05-01
CVE-2017-13311,23-May,,2023,05,2023-05-01,795,2018,05,5/1/18,,A-73252178,https://android.googlesource.com/platform/frameworks/base/+/2950276f61220e00749f8e24e0c773928fefaed8,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-05-01
CVE-2017-13312,23-May,,2023,05,2023-05-01,796,2018,05,5/1/18,,A-73085795,,EoP,High,8,,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-05-01
CVE-2017-13313,23-May,,2023,05,2023-05-01,797,2018,05,5/1/18,,A-74114680,https://android.googlesource.com/platform/frameworks/av/+/4b3b618144050d80dbaa0228797b021d5df5e919,DoS,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-05-01
CVE-2017-13314,23-May,,2023,05,2023-05-01,798,2018,05,5/1/18,,A-63000005,https://android.googlesource.com/platform/frameworks/base/+/ef1335ebdf6862c6a30686603c7ee549dbb7b359,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-05-01
CVE-2017-13315,23-May,,2023,05,2023-05-01,799,2018,05,5/1/18,,A-70721937,https://android.googlesource.com/platform/frameworks/base/+/35bb911d4493ea94d4896cc42690cab0d4dbb78f,EoP,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-05-01
CVE-2017-17772,23-May,,2023,05,2023-05-01,1059,2019,04,4/5/19,,"A-72957385,,QC-CR#2153003","https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=ac6f2c30aceb7383d215d756192a81024513beaa,https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=66b2f6a6f21a7c827f4e1dbd0369065a470dd168",,High,,WLAN HOST,,CVE ID Not Found,,,,,,,,,,,,,,,,2019-04-01
CVE-2018-11817,23-Apr,,2023,04,2023-04-01,1353,2019,03,3/5/19,,"A-114041192,,QC-CR#2241830",https://source.codeaurora.org/quic/la/kernel/msm-4.9/commit/?id=d996b26efee64c7e499daf4f8b4ac217823327a5,,Critical,,DSP_Services,,CVE ID Not Found,,,,,,,,,,,,,,,,2019-03-01
CVE-2018-11817,23-Apr,,2023,04,2023-04-01,1354,2019,03,3/5/19,,"A-114041747,,QC-CR#2166542",https://source.codeaurora.org/quic/la/device/qcom/common/commit/?id=a183f890dc4c9276933f4db490c32efcdae87561,,Critical,,DSP_Services,,CVE ID Not Found,,,,,,,,,,,,,,,,2019-03-01
CVE-2018-13917,23-Apr,,2023,04,2023-04-01,1356,2019,03,3/5/19,,"A-120487091,,QC-CR#2251019",https://source.codeaurora.org/quic/la/kernel/msm-4.9/commit/?id=29e224b5eb8981010bf18d5b18185ab37a0aeb0e,,High,,WIN NSS Host,,CVE ID Not Found,,,,,,,,,,,,,,,,2019-03-01
CVE-2019-9460,23-Jul,,2023,07,2023-07-01,4714,2020,06,6/5/20,,A-62535446,https://android.googlesource.com/platform/hardware/interfaces/+/c88c624e2e7f5f683d6381a8d5c96e58b0a85cb7,EoP,High,10,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. It was intended to be published earlier but will be made public later instead. Notes: none,,2019-09-27T19:15:29.500,2023-11-07T03:13:40.037,,,,,,,,,,,,,2020-06-01
CVE-2019-9460,23-Jul,,2023,07,2023-07-01,4721,2020,06,6/5/20,,"A-66876469,QC-CR#2207338",,,Moderate,,Display,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. It was intended to be published earlier but will be made public later instead. Notes: none,,2019-09-27T19:15:29.500,2023-11-07T03:13:40.037,,,,,,,,,,,,,2020-06-01
CVE-2019-9460,23-Jul,,2023,07,2023-07-01,4714,2020,06,6/5/20,,A-62535446,https://android.googlesource.com/platform/hardware/interfaces/+/c88c624e2e7f5f683d6381a8d5c96e58b0a85cb7,EoP,High,10,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. It was intended to be published earlier but will be made public later instead. Notes: none,,2019-09-27T19:15:29.500,2023-11-07T03:13:40.037,,,,,,,,,,,,,2020-06-01
CVE-2019-9460,23-Jul,,2023,07,2023-07-01,4721,2020,06,6/5/20,,"A-66876469,QC-CR#2207338",,,Moderate,,Display,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. It was intended to be published earlier but will be made public later instead. Notes: none,,2019-09-27T19:15:29.500,2023-11-07T03:13:40.037,,,,,,,,,,,,,2020-06-01
CVE-2021-1978,23-Sep,,2023,09,2023-09-01,4400,2021,08,8/5/21,,"A-187074565,,QC-CR#2859124","https://source.codeaurora.org/quic/la/platform/external/wpa_supplicant_8/commit?id=ddffe981e88146adf777ce64c1c2dac2e1dad05e"" rel=""noreferrer",,High,,WLAN,,CVE ID Not Found,,,,,,,,,,,,,,,,2021-08-01
CVE-2021-27666,23-Jul,,2023,07,2023-07-01,4419,2021,10,10/5/21,,A-180401789,,ID,High,,Modem,,CVE ID Not Found,,,,,,,,,,,,,,,,2021-10-01
CVE-2021-39795,23-Apr,,2023,04,2023-04-01,3769,2022,04,4/1/22,,,,,,,MediaProvider,,"Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Notes: Pulled from Android ASB#2022-04 publication (https://source.android.com/security/bulletin/2022-04-01) due to a functional regression. We will re-release this CVE at a future date, in a future publication that is currently TB",,2022-04-12T17:15:08.123,2023-11-07T03:37:43.327,,,,,,,,,,,,,2022-04-01
CVE-2021-39795,23-Apr,,2023,04,2023-04-01,3956,2022,12,12/1/22,,A-201667614,"https://android.googlesource.com/platform/packages/providers/MediaProvider/+/bb4ec053ea16931e827f30c7b697cb35185a32be"" rel=""noreferrer",EoP,High,"11, 12, 12L, 13",,,"Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Notes: Pulled from Android ASB#2022-04 publication (https://source.android.com/security/bulletin/2022-04-01) due to a functional regression. We will re-release this CVE at a future date, in a future publication that is currently TB",,2022-04-12T17:15:08.123,2023-11-07T03:37:43.327,,,,,,,,,,,,,2022-12-01
CVE-2021-39795,23-Apr,,2023,04,2023-04-01,3990,2022,12,12/1/22,,,,,,,MediaProvider,,"Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Notes: Pulled from Android ASB#2022-04 publication (https://source.android.com/security/bulletin/2022-04-01) due to a functional regression. We will re-release this CVE at a future date, in a future publication that is currently TB",,2022-04-12T17:15:08.123,2023-11-07T03:37:43.327,,,,,,,,,,,,,2022-12-01
CVE-2023-21270,23-Aug,,2023,08,2023-08-01,2453,2023,08,8/1/23,,A-283006437,"https://android.googlesource.com/platform/frameworks/base/+/e7ccba6da2c3febeb449c172c1d8091f7a35193d"" rel=""noreferrer,https://android.googlesource.com/platform/frameworks/base/+/e7ccba6da2c3febeb449c172c1d8091f7a35193d"" rel=""noreferrer",EoP,High,"12, 12L, 13",,,CVE ID Not Found,,,,,,,,,,,,,,,,2023-08-01
