device,monthly_start,monthly_end,quarterly_start,quarterly_end,biannual_start,biannual_end
Galaxy Tab A7,,,2020-09-14,2022-09-27,2022-10-04,2024-05-27
Galaxy Tab S5e,,,2019-05-20,2021-05-02,2021-05-04,2023-04-28
Galaxy Tab S6,,,2019-10-01,2021-10-04,2021-10-05,2023-10-03
Galaxy Tab S6 5G,,,2020-03-03,2022-02-08,2022-02-08,2024-01-31
Galaxy Tab S7+,,,2020-09-14,2023-04-04,2022-09-07,2024-05-27
W20 5G,,,2020-03-03,2022-02-08,2022-02-08,2024-01-31
W21 5G,,,2020-12-08,2023-01-03,2023-01-04,2024-05-27
Galaxy Watch4,,,2023-01-04,2024-05-27,,
Galaxy Watch4 Classic,,,2023-01-04,2024-05-27,,
Galaxy Watch5,,,2023-01-04,2024-05-27,,
Galaxy Watch5 Pro,,,2023-01-04,2024-05-27,,
Galaxy Z Fold5,2023-08-08,2024-05-27,,,,
Galaxy Z Flip5,2023-08-08,2024-05-27,,,,
W24,2023-10-04,2024-05-27,,,,
W24 Flip,2023-10-04,2024-05-27,,,,
Galaxy S23,2023-02-09,2024-05-27,,,,
Galaxy S23+,2023-02-09,2024-05-27,,,,
Galaxy S23 Ultra,2023-02-09,2024-05-27,,,,
Galaxy S24,2024-02-06,2024-05-27,,,,
Galaxy S24+,2024-02-06,2024-05-27,,,,
Galaxy S24 Ultra,2024-02-06,2024-05-27,,,,
Galaxy A55 5G,2024-04-03,2024-05-27,,,,
Galaxy A54 5G,2023-05-04,2024-05-27,,,,
Xcover7,2024-02-06,2024-04-04,,,,
Galaxy A35 5G,,,2024-04-03,2024-05-27,,
Galaxy A14,,,2023-05-04,2024-05-27,,
Galaxy A14 5G,,,2023-02-09,2024-05-27,,
Galaxy A24,,,2023-06-07,2024-05-27,,
Galaxy A34 5G,,,2023-04-04,2024-05-27,,
Galaxy A05,,,2023-11-07,2024-05-27,,
Galaxy A05s,,,2023-11-07,2024-05-27,,
Galaxy A15,,,2024-01-04,2024-05-27,,
Galaxy A15 5G,,,2024-01-04,2024-05-27,,
Galaxy A25 5G,,,2024-01-04,2024-05-27,,
Galaxy M13 5G,,,2023-08-08,2024-05-27,,
Galaxy M14 5G,,,2023-05-04,2024-05-27,,
Galaxy M34 5G,,,2023-08-08,2024-05-27,,
Galaxy M44 5G,,,2023-12-06,2024-05-27,,
Galaxy M54 5G,,,2023-04-04,2024-05-27,,
Galaxy M15 5G,,,2024-04-03,2024-05-27,,
Galaxy F04,,,2023-02-09,2024-05-27,,
Galaxy F14 5G,,,2023-04-04,2024-05-27,,
Galaxy F34 5G,,,2023-08-08,2024-05-27,,
Galaxy F54 5G,,,2023-08-08,2024-05-27,,
Galaxy F15 5G,,,2024-04-03,2024-05-27,,
Galaxy Tab S9 Ultra,,,2023-08-08,2024-05-27,,
Galaxy Tab S9 Plus,,,2023-08-08,2024-04-04,,
Galaxy Tab S9,,,2023-08-08,2024-05-27,,
Galaxy Tab S9 FE,,,2023-11-07,2024-05-27,,
Galaxy Tab S9 FE+,,,2023-11-07,2024-05-27,,
Galaxy Tab Active5,,,2024-02-06,2024-05-27,,
Galaxy Tab A9,,,2023-11-07,2024-05-27,,
Galaxy Tab A9+,,,2023-11-07,2024-05-27,,
Enterprise Models: Galaxy Xcover Pro,,,2023-09-06,2024-04-04,,
Galaxy Watch6,,,2023-08-08,2024-05-27,,
Galaxy Watch6 Classic,,,2023-08-08,2024-05-27,,
Galaxy S8,2017-10-03,2020-05-03,2019-04-05,2021-05-02,,
Galaxy S8+,2017-10-03,2020-05-03,2019-04-05,2021-05-02,,
Galaxy S8 Active,2017-10-03,2020-08-06,2019-04-05,2021-11-08,,
Galaxy S9,2018-04-03,2021-04-01,2019-04-05,2022-04-03,,
Galaxy S9+,2018-04-03,2021-04-01,2019-04-05,2022-04-03,,
Galaxy Note8,2017-10-03,2020-10-03,2019-10-08,2021-10-04,,
Galaxy Note9,2018-09-06,2021-09-05,2019-10-08,2022-09-06,,
Enterprise Models: Galaxy A8 (2018),2020-03-03,2021-01-26,2020-03-03,2022-02-08,,
Galaxy A50,2019-10-08,2022-04-03,2019-04-05,2023-04-04,,
Galaxy XCover FieldPro,2020-03-03,2022-11-29,2020-03-03,2020-11-08,,
Galaxy XCover Pro,2020-03-03,2023-03-07,2020-03-03,2020-11-08,,
Galaxy A2 Core,,,2019-04-05,2021-05-02,2021-05-04,2021-11-01
Galaxy Tab Active2,,,2018-03-08,2021-11-27,,
Galaxy View2,,,2019-05-20,2021-05-25,2021-06-08,2021-11-01
Enterprise Models: Galaxy XCover4s,,,2023-04-04,2023-08-04,,
Galaxy A52,2021-04-06,2023-04-04,,,,
Galaxy S8 Lite,,,2018-09-06,2020-07-06,2020-07-07,2022-07-04
Galaxy Note FE,,,2018-06-14,2019-08-07,2019-10-01,2021-09-05
Galaxy A6,,,2019-04-05,2020-05-27,2020-06-08,2022-06-03
Galaxy A6+,,,2019-04-05,2020-07-06,2020-07-07,2022-07-04
Galaxy A7 (2018),,,2019-02-02,2020-10-28,2020-11-04,2022-11-04
Galaxy A8+ (2018),,,2018-03-08,2019-11-26,2020-03-03,2022-02-08
Galaxy A8 Star,,,2018-09-06,2020-07-28,2020-08-06,2022-07-30
Galaxy A9 (2018),,,2019-02-02,2020-11-28,2020-12-08,2022-11-29
Galaxy J2 Core,,,2019-04-05,2020-08-06,2020-09-14,2022-02-08
Galaxy J3 (2017),,,2017-10-03,2019-11-26,2019-08-07,2021-08-02
Galaxy J3 Top,,,2018-09-06,2020-07-06,2020-07-07,2022-02-08
Galaxy J4,,,2018-09-06,2020-07-06,2020-07-07,2022-07-04
Galaxy J4+,,,2019-04-05,2020-10-28,2020-11-04,2022-02-08
Galaxy J4 Core,,,2019-04-05,2020-12-10,2021-03-11,2021-11-01
Galaxy J5 (2017),,,2017-10-03,2019-11-26,2019-08-07,2021-08-02
Galaxy J6,,,2018-09-06,2020-07-06,2020-07-07,2022-07-04
Galaxy J6+,,,2019-04-05,2020-10-28,2020-11-04,2022-11-04
Galaxy J7 (2017),,,2017-10-03,2019-11-26,2019-08-07,2021-08-02
Galaxy J7 Duo,,,2018-06-14,2020-05-27,2020-06-08,2022-06-03
Galaxy J7 Prime2,,,2019-04-05,2020-05-03,2020-05-25,2022-02-08
Galaxy J7 Top,,,2018-09-06,2020-07-06,2020-07-07,2022-02-08
Galaxy J7 Max,,,2017-10-03,2019-11-26,2019-08-07,2021-08-02
Galaxy J7 Neo,,,2017-10-03,2019-11-26,2019-08-07,2021-08-02
Galaxy J7+,,,2019-04-05,2019-11-26,2020-03-03,2021-11-01
Galaxy J8,,,2018-09-06,2020-07-28,2020-08-06,2022-07-30
Galaxy Tab A (2017),,,2018-09-06,2019-10-01,2019-10-08,2021-10-04
Galaxy Tab A 10.5 (2018),,,2019-05-20,2020-08-06,2020-09-14,2022-09-06
Galaxy Tab S4,,,2019-05-20,2020-08-06,2020-09-14,2022-09-06
Galaxy Tab E 8 Refresh,,,2019-04-05,2019-11-26,2020-03-03,2021-11-01
Galaxy J7 Pop,,,2017-10-03,2019-04-29,2019-05-20,2021-05-02
Galaxy Tab S3,,,,,2019-05-20,2021-04-01
Galaxy S23 FE,2024-04-05,2024-05-27,,,,
Galaxy Xcover7,2024-04-05,2024-05-27,,,,
Galaxy M14,,,2024-04-05,2024-05-27,,
Galaxy Tab S6 Lite (2024),,,2024-04-05,2024-05-27,,
Galaxy Tab S9+,,,2024-04-05,2024-05-27,,
Enterprise Models: Galaxy-A52 5G,,,2024-04-05,2024-05-04,,
Enterprise Models: Galaxy A52s 5G,2024-05-10,2024-05-27,,,,
Galaxy C55 5G,,,2024-05-10,2024-05-27,,
Galaxy M55 5G,,,2024-05-10,2024-05-27,,
Galaxy S series (S9,2018-04-03,2019-02-02,2018-04-03,2019-02-02,,
S9+,2018-04-03,2019-02-02,2018-04-03,2019-02-02,,
S8,2018-04-03,2019-02-02,2018-04-03,2019-02-02,,
S8+,2017-10-03,2019-02-02,2017-10-03,2019-02-02,,
S8 Active,2017-10-03,2019-02-02,2017-10-03,2019-02-02,,
S7,2017-10-03,2019-02-02,2017-10-03,2019-02-02,,
S7 edge,2017-10-03,2019-02-02,2017-10-03,2019-02-02,,
S7 Active),2018-09-06,2019-02-02,2018-09-06,2019-02-02,,
Galaxy Note series (Note 9,2018-09-06,2019-02-02,2018-09-06,2019-02-02,,
Note 8),2018-09-06,2019-02-02,2018-09-06,2019-02-02,,
Galaxy A series (A5 (2016),2017-10-03,2019-02-02,2017-10-03,2019-02-02,,
A5 (2017),2018-03-08,2019-02-02,2018-03-08,2019-02-02,,
A8 (2018)),2018-03-08,2019-02-02,2018-03-08,2019-02-02,,
Galaxy A5 (2017),2017-10-03,2019-11-26,2019-04-05,2021-01-26,,
Galaxy A8 (2018),2018-03-08,2020-12-10,2019-04-05,2022-02-08,,
Galaxy Xcover4s,2019-10-08,2022-07-30,2019-10-08,2019-12-20,,
Enterprise Models: Galaxy Xcover FieldPro,,,2023-08-08,2023-09-05,,
Galaxy S7 Active,2017-10-03,2019-06-27,2019-04-05,2020-07-06,,
Galaxy Note 8,2019-04-05,2019-10-01,2019-04-05,2019-10-01,,
Galaxy Note 9,2019-04-05,2019-10-01,2019-04-05,2019-10-01,,
Galaxy Tab A 8 Plus (2019),,,2019-05-20,2021-02-03,,
S7 Active,2017-10-03,2018-06-14,2017-10-03,2018-06-14,,
S6 edge+,2017-10-03,2018-06-14,2017-10-03,2018-06-14,,
S6 Active),2017-10-03,2018-06-14,2017-10-03,2018-06-14,,
Galaxy Note series (Note 8,2017-10-03,2018-06-14,2017-10-03,2018-06-14,,
Note 5),2017-11-22,2018-06-14,2017-11-22,2018-06-14,,
Enterprise Models: Galaxy A5 (2017),2019-12-20,2019-12-20,2019-12-20,2019-12-20,,
Galaxy Haechi,2019-12-20,2019-12-20,2019-12-20,2019-12-20,,
Galaxy S series (S8,2017-10-03,2018-03-08,2017-10-03,2018-03-08,,
S6,2017-10-03,2018-03-08,2017-10-03,2018-03-08,,
S6 edge,2017-10-03,2018-03-08,2017-10-03,2018-03-08,,
Note 5,2017-10-03,2017-10-03,2017-10-03,2017-10-03,,
Note 4,2017-10-03,2017-10-03,2017-10-03,2017-10-03,,
Note edge),2017-10-03,2017-10-03,2017-10-03,2017-10-03,,
A5 (2017)),2017-10-03,2017-11-22,2017-10-03,2017-11-22,,
Galaxy S7,2017-10-03,2019-02-02,2019-04-05,2020-03-30,2019-06-27,2019-06-27
Galaxy S7 Edge,,,2019-04-05,2020-03-30,2019-06-27,2019-06-27
Galaxy A3 (2017),,,2017-10-03,2019-02-02,2019-04-05,2020-12-10
Galaxy A7 (2017),,,2017-10-03,2019-02-02,2019-04-05,2020-12-10
Galaxy J3 Pop,,,2017-10-03,2019-02-02,2019-04-05,2020-12-10
Galaxy J5 Prime,,,,,2019-04-05,2020-10-28
Galaxy J7 (2016),,,2017-10-03,2018-04-03,2019-04-05,2020-05-03
Galaxy J7 Prime,,,,,2019-04-05,2020-10-03
Galaxy Tab A 10.1 (2016),,,2018-06-14,2019-02-02,2019-04-05,2020-07-06
Galaxy A5 (2016),2017-10-03,2019-02-02,2019-04-05,2019-10-01,,
Galaxy J2 (2018),,,2018-03-08,2019-11-26,,
Galaxy Xcover 4s,,,2019-08-07,2019-10-01,,
Galaxy A3 (2016),,,2017-10-03,2017-11-22,2019-04-05,2019-10-01
Galaxy J5 (2016),,,2017-10-03,2018-04-03,2019-04-05,2019-11-26
Galaxy Tab S2 L Refresh,,,2017-10-03,2019-02-02,2019-04-05,2019-10-01
Galaxy Tab S2 S Refresh,,,2018-04-03,2019-02-02,2019-04-05,2019-10-01
Galaxy S7 edge,2017-10-03,2019-02-02,,,,
Galaxy A6 (2018),,,2018-06-14,2019-02-02,,
Galaxy A6+ (2018),,,2018-06-14,2019-02-02,,
Galaxy J2 Core (2018),,,2018-09-06,2019-02-02,,
Galaxy J7+ (2017),,,2018-09-06,2019-02-02,,
Galaxy Tab S3 9.7,,,2017-10-03,2019-02-02,2019-04-05,2019-04-29
Galaxy Tab S4 10.5,,,2018-09-06,2019-04-29,,
Galaxy Tab E (8.0) Refresh,,,2018-06-14,2019-02-02,,
Galaxy Tab A 10.5,,,2018-09-06,2019-04-29,,
Galaxy S6,2017-10-03,2018-03-08,,,,
Galaxy S6 edge,2017-10-03,2018-03-08,,,,
Galaxy S6 edge+,2017-10-03,2018-06-14,,,,
Galaxy S6 Active,2017-10-03,2018-06-14,,,,
Galaxy Note5,2017-10-03,2018-06-14,,,,
Galaxy J1 Mini,,,2017-10-03,2018-04-03,,
Galaxy J1 Mini Prime,,,2017-10-03,2018-06-14,,
Galaxy J2 (2016),,,2017-10-03,2018-06-14,,
Galaxy J3 Pro,,,2017-10-03,2018-04-03,,
Note FE,,,2017-10-03,2018-04-03,,
Galaxy Note4,2017-10-03,2017-10-03,,,,
Galaxy Note edge,2017-10-03,2017-10-03,,,,
Galaxy J1 Ace,,,2017-10-03,2017-10-03,,
Galaxy J1 (2016),,,2017-10-03,2017-11-22,,
Galaxy J3 (2016),,,2017-10-03,2017-11-22,,
Galaxy Tab A Plus 8 (2019),,,2019-04-05,2019-04-29,,
Galaxy Tab S5e 10.5,,,2019-04-05,2019-04-29,,
Galaxy View 2,,,2019-04-05,2019-04-29,,
Galaxy Xcover 4,,,,,2019-10-08,2019-10-08
Galaxy Tab 10.1 (2016),,,2018-04-03,2018-04-03,,
