CVE,SMR,no_sam,vul_true,SAMSUNG,cwe,cwe_info,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity,Month,Year,Date_samsung
CVE-2018-9423,SMR-JUL 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,07,2018,2018-07-01
CVE-2018-9389,SMR-JUL 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,07,2018,2018-07-01
CVE-2018-9401,SMR-JUL 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,07,2018,2018-07-01
CVE-2017-13308,SMR-JUL 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,07,2018,2018-07-01
CVE-2018-9398,SMR-JUL 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,07,2018,2018-07-01
CVE-2018-9383,SMR-JUL 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,07,2018,2018-07-01
CVE-2018-9377,SMR-JUL 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,07,2018,2018-07-01
CVE-2018-9426,SMR-JUL 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,07,2018,2018-07-01
CVE-2018-9429,SMR-JUL 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,07,2018,2018-07-01
CVE-2018-9413,SMR-JUL 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,07,2018,2018-07-01
CVE-2018-9418,SMR-JUL 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,07,2018,2018-07-01
CVE-2018-9430,SMR-JUL 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,07,2018,2018-07-01
CVE-2018-9414,SMR-JUL 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,07,2018,2018-07-01
CVE-2018-9431,SMR-JUL 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,07,2018,2018-07-01
CVE-2018-9402,SMR-AUG 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,08,2018,2018-08-01
CVE-2018-9397,SMR-AUG 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,08,2018,2018-08-01
CVE-2018-9395,SMR-AUG 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,08,2018,2018-08-01
CVE-2018-9394,SMR-AUG 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,08,2018,2018-08-01
CVE-2018-9393,SMR-AUG 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,08,2018,2018-08-01
CVE-2018-9390,SMR-AUG 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,08,2018,2018-08-01
CVE-2017-1000,SMR-AUG 2018,False,REJECTED,,REJECTED,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was in a CNA pool that was not assigned to any issues during 2017. Notes: none.,,2023-02-22T23:15:13.593,2023-11-07T02:41:59.490,,,,,,,,,,,08,2018,2018-08-01
CVE-2018-9416,SMR-AUG 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,08,2018,2018-08-01
CVE-2018-9376,SMR-AUG 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,08,2018,2018-08-01
CVE-2018-9435,SMR-AUG 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,08,2018,2018-08-01
CVE-2018-9449,SMR-AUG 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,08,2018,2018-08-01
CVE-2018-9441,SMR-AUG 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,08,2018,2018-08-01
CVE-2018-9447,SMR-AUG 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,08,2018,2018-08-01
CVE-2017-9711,SMR-SEP 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,09,2018,2018-09-01
CVE-2017-18307,SMR-SEP 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,09,2018,2018-09-01
CVE-2017-18306,SMR-SEP 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,09,2018,2018-09-01
CVE-2018-9439,SMR-SEP 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,09,2018,2018-09-01
CVE-2017-13322,SMR-SEP 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,09,2018,2018-09-01
CVE-2019-2224,SMR-DEC 2019,False,REJECTED,,REJECTED,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: CVE-2019-15140. Reason: This candidate is a duplicate of CVE-2019-15140. Notes: All CVE users should reference CVE-2019-15140 instead of this candidate. All references and descriptions in this candidate have been removed to prevent accidental usage,,2019-12-06T23:15:12.333,2023-11-07T03:09:24.123,,,,,,,,,,,12,2019,2019-12-01
CVE-2020-0255,SMR-SEP 2020,False,REJECTED,,REJECTED,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: CVE-2020-10751. Reason: This candidate is a duplicate of CVE-2020-10751. Notes: All CVE users should reference CVE-2020-10751 instead of this candidate. All references and descriptions in this candidate have been removed to prevent accidental usage,,2020-08-14T20:15:12.700,2023-11-07T03:13:52.197,,,,,,,,,,,09,2020,2020-09-01
CVE-2021-0384,SMR-MAY 2021,False,REJECTED,,REJECTED,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Further investigation showed that it was not a security issue. Notes: none,,2021-03-10T17:15:13.503,2023-11-07T03:27:23.537,,,,,,,,,,,05,2021,2021-05-01
CVE-2015-9547	,SMR-OCT 2015,False,"JBP(4.3), and KK(4.4.2)",SVE-2015-2885 ,,,CVE ID Not Found,,,,,,,,,,,,,,10,2015,2015-10-01
CVE-2016-3891,SMR-SEP 2016,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,09,2016,2016-09-01
CVE-2017-0605,SMR-MAY 2017,False,REJECTED,,REJECTED,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: none.  Reason: This candidate was withdrawn by its CNA.  Further investigation showed that it was not a security issue.  Notes: none,,2017-05-12T15:29:01.720,2023-11-07T02:37:45.647,,,,,,,,,,,05,2017,2017-05-01
CVE-2018-9350,SMR-JUN 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,06,2018,2018-06-01
CVE-2018-9384,SMR-OCT 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,10,2018,2018-10-01
CVE-2020-0402,SMR-OCT 2020,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,10,2020,2020-10-01
CVE-2022-20136,SMR-JUL 2022,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,07,2022,2022-07-01
CVE-2022-20424,SMR-NOV 2022,False,REJECTED,,REJECTED,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Further investigation showed that it was not a security issue. Notes: none.,,2022-10-19T21:15:09.330,2023-11-07T03:42:25.907,,,,,,,,,,,11,2022,2022-11-01
CVE-2022-39888,SMR-NOV 2022,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,11,2022,2022-11-01
CVE-2023-2143,SMR-FEB 2023,False,,,,,"The Enable SVG, WebP & ICO Upload WordPress plugin through 1.0.3 does not sanitize SVG file contents, leading to a Cross-Site Scripting vulnerability.",1.0.3,2023-07-17T14:15:09.787,2023-11-07T04:12:01.393,cvssMetricV31,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE,5.4,MEDIUM,02,2023,2023-02-01
CVE-2023-21474,SMR-APR 2023,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,04,2023,2023-04-01
CVE-2023-21473,SMR-APR 2023,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,04,2023,2023-04-01
CVE-2023-21470,SMR-APR 2023,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,04,2023,2023-04-01
CVE-2023-21476,SMR-APR 2023,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,04,2023,2023-04-01
CVE-2023-21468,SMR-APR 2023,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,04,2023,2023-04-01
CVE-2023-21467,SMR-APR 2023,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,04,2023,2023-04-01
CVE-2023-21479,SMR-APR 2023,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,04,2023,2023-04-01
CVE-2023-21480,SMR-APR 2023,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,04,2023,2023-04-01
CVE-2023-21469,SMR-APR 2023,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,04,2023,2023-04-01
CVE-2023-21472,SMR-APR 2023,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,04,2023,2023-04-01
CVE-2023-21471,SMR-APR 2023,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,04,2023,2023-04-01
CVE-2023-21466,SMR-APR 2023,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,04,2023,2023-04-01
CVE-2023-21477,SMR-APR 2023,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,04,2023,2023-04-01
CVE-2023-21478,SMR-APR 2023,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,04,2023,2023-04-01
CVE-2023-21475,SMR-APR 2023,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,04,2023,2023-04-01
CVE-2023-37366,SMR-AUG 2023,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,08,2023,2023-08-01
CVE-2024-20831,SMR-MAR 2024,False,,,,,Stack overflow in Little Kernel in bootloader prior to SMR Mar-2024 Release 1 allows local privileged attackers to execute arbitrary code.,,2024-03-05T05:15:09.403,2024-04-02T01:15:51.563,cvssMetricV31,LOCAL,HIGH,HIGH,NONE,HIGH,HIGH,HIGH,6.4,MEDIUM,03,2024,2024-03-01
CVE-2024-20834,SMR-MAR 2024,False,,,,,The sensitive information exposure vulnerability in WlanTest prior to SMR Mar-2024 Release 1 allows local attackers to access MAC address without proper permission.,,2024-03-05T05:15:10.207,2024-03-05T13:41:01.900,cvssMetricV31,LOCAL,LOW,LOW,NONE,LOW,NONE,NONE,3.3,LOW,03,2024,2024-03-01
CVE-2024-20833,SMR-MAR 2024,False,,,,,Use after free vulnerability in pub_crypto_recv_msg prior to SMR Mar-2024 Release 1 due to race condition allows local attackers with system privilege to cause memory corruption.,,2024-03-05T08:15:39.260,2024-03-05T13:41:01.900,cvssMetricV31,LOCAL,HIGH,HIGH,NONE,NONE,HIGH,NONE,4.1,MEDIUM,03,2024,2024-03-01
CVE-2024-20832,SMR-MAR 2024,False,,,,,Heap overflow in Little Kernel in bootloader prior to SMR Mar-2024 Release 1 allows local privileged attackers to execute arbitrary code.,,2024-03-05T05:15:09.793,2024-04-02T01:15:51.670,cvssMetricV31,LOCAL,HIGH,HIGH,NONE,HIGH,HIGH,HIGH,6.4,MEDIUM,03,2024,2024-03-01
CVE-2024-20835,SMR-MAR 2024,False,,,,,Improper access control vulnerability in CustomFrequencyManagerService prior to SMR Mar-2024 Release 1 allows local attackers to execute privileged behaviors.,,2024-03-05T05:15:10.473,2024-03-05T13:41:01.900,cvssMetricV31,LOCAL,LOW,NONE,NONE,NONE,NONE,LOW,4.0,MEDIUM,03,2024,2024-03-01
CVE-2024-20830,SMR-MAR 2024,False,,,,,Incorrect default permission in AppLock prior to SMR MAr-2024 Release 1 allows local attackers to configure AppLock settings.,,2024-03-05T05:15:09.093,2024-03-05T13:41:01.900,cvssMetricV31,LOCAL,LOW,LOW,NONE,LOW,LOW,LOW,5.3,MEDIUM,03,2024,2024-03-01
CVE-2024-20843,SMR-APR 2024,False,,,,,Out-of-bound write vulnerability in command parsing implementation of libIfaaCa prior to SMR Apr-2024 Release 1 allows local privileged attackers to execute arbitrary code.,,2024-04-02T03:15:08.527,2024-04-02T12:50:42.233,cvssMetricV31,LOCAL,LOW,HIGH,NONE,LOW,HIGH,LOW,5.6,MEDIUM,04,2024,2024-04-01
CVE-2024-20845,SMR-APR 2024,False,,,,,Out-of-bounds write vulnerability while releasing memory in libsavsac.so prior to SMR Apr-2024 Release 1 allows local attacker to execute arbitrary code.,,2024-04-02T03:15:08.913,2024-04-02T12:50:42.233,cvssMetricV31,LOCAL,LOW,NONE,NONE,HIGH,HIGH,HIGH,8.4,HIGH,04,2024,2024-04-01
CVE-2024-20846,SMR-APR 2024,False,,,,,Out-of-bounds write vulnerability while decoding hcr of libsavsac.so prior to SMR Apr-2024 Release 1 allows local attacker to execute arbitrary code.,,2024-04-02T03:15:09.133,2024-04-02T12:50:42.233,cvssMetricV31,LOCAL,LOW,NONE,NONE,LOW,LOW,LOW,5.9,MEDIUM,04,2024,2024-04-01
CVE-2024-20847,SMR-APR 2024,False,,,,,Improper Access Control vulnerability in StorageManagerService prior to SMR Apr-2024 Release 1 allows local attackers to read sdcard information.,,2024-04-02T03:15:09.333,2024-04-02T12:50:42.233,cvssMetricV31,LOCAL,LOW,NONE,NONE,LOW,NONE,NONE,4.0,MEDIUM,04,2024,2024-04-01
CVE-2024-20844,SMR-APR 2024,False,,,,,Out-of-bounds write vulnerability while parsing remaining codewords in libsavsac.so prior to SMR Apr-2024 Release 1 allows local attacker to execute arbitrary code.,,2024-04-02T03:15:08.727,2024-04-02T12:50:42.233,cvssMetricV31,LOCAL,LOW,NONE,NONE,HIGH,HIGH,HIGH,8.4,HIGH,04,2024,2024-04-01
CVE-2024-20842,SMR-APR 2024,False,,,,,Improper Input Validation vulnerability in handling apdu of libsec-ril prior to SMR Apr-2024 Release 1 allows local privileged attackers to write out-of-bounds memory.,,2024-04-02T03:15:08.320,2024-04-02T12:50:42.233,cvssMetricV31,LOCAL,LOW,HIGH,NONE,LOW,LOW,LOW,4.2,MEDIUM,04,2024,2024-04-01
CVE-2024-20849,SMR-APR 2024,False,,,,,Out-of-bound Write vulnerability in chunk parsing implementation of libsdffextractor prior to SMR Apr-2023 Release 1 allows local attackers to execute arbitrary code.,,2024-04-02T03:15:09.790,2024-04-02T12:50:42.233,cvssMetricV31,LOCAL,LOW,NONE,NONE,LOW,HIGH,LOW,7.3,HIGH,04,2024,2024-04-01
CVE-2024-20848,SMR-APR 2024,False,,,,,Improper Input Validation vulnerability in text parsing implementation of libsdffextractor prior to SMR Apr-2024 Release 1 allows local attackers to write out-of-bounds memory.,,2024-04-02T03:15:09.557,2024-04-04T06:15:09.067,cvssMetricV31,LOCAL,LOW,NONE,NONE,NONE,NONE,LOW,4.0,MEDIUM,04,2024,2024-04-01
CVE-2024-20857,SMR-MAY 2024,False,,,,,Improper access control vulnerability in startListening of CocktailBarService prior to SMR May-2024 Release 1 allows local attackers to access information of current application.,,2024-05-07T05:15:49.323,2024-05-07T13:39:32.710,cvssMetricV31,LOCAL,LOW,NONE,NONE,LOW,NONE,NONE,4.0,MEDIUM,05,2024,2024-05-01
CVE-2024-20861,SMR-MAY 2024,False,,,,,Use after free vulnerability in SveService prior to SMR May-2024 Release 1 allows local privileged attackers to cause memory corruption.,,2024-05-07T05:15:49.930,2024-05-07T13:39:32.710,cvssMetricV31,LOCAL,LOW,HIGH,NONE,NONE,HIGH,HIGH,6.0,MEDIUM,05,2024,2024-05-01
CVE-2024-20864,SMR-MAY 2024,False,,,,,Improper access control vulnerability in DarManagerService prior to SMR May-2024 Release 1 allows local attackers to monitor system resources.,,2024-05-07T05:15:50.503,2024-05-07T13:39:32.710,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,NONE,NONE,5.5,MEDIUM,05,2024,2024-05-01
CVE-2024-23702,SMR-MAY 2024,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,05,2024,2024-05-01
CVE-2024-23700,SMR-MAY 2024,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,05,2024,2024-05-01
CVE-2024-20863,SMR-MAY 2024,False,,,,,Out of bounds write vulnerability in SNAP in HAL prior to SMR May-2024 Release 1 allows local privileged attackers to execute arbitrary code.,,2024-05-07T05:15:50.313,2024-05-07T13:39:32.710,cvssMetricV31,LOCAL,LOW,HIGH,NONE,HIGH,HIGH,HIGH,6.7,MEDIUM,05,2024,2024-05-01
CVE-2024-20865,SMR-MAY 2024,False,,,,,Authentication bypass in bootloader prior to SMR May-2024 Release 1 allows physical attackers to flash arbitrary images.,,2024-05-07T05:15:50.653,2024-05-07T13:39:32.710,cvssMetricV31,PHYSICAL,LOW,NONE,REQUIRED,HIGH,HIGH,HIGH,6.6,MEDIUM,05,2024,2024-05-01
CVE-2024-23701,SMR-MAY 2024,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,05,2024,2024-05-01
CVE-2024-20855,SMR-MAY 2024,False,,,,,Improper access control vulnerability in multitasking framework prior to SMR May-2024 Release 1 allows physical attackers to access unlocked screen for a while.,,2024-05-07T05:15:48.997,2024-05-07T13:39:32.710,cvssMetricV31,PHYSICAL,LOW,NONE,NONE,LOW,NONE,NONE,2.4,LOW,05,2024,2024-05-01
CVE-2024-20860,SMR-MAY 2024,False,,,,,Improper export of android application components vulnerability in TelephonyUI prior to SMR May-2024 Release 1 allows local attackers to reboot the device without proper permission.,,2024-05-07T05:15:49.773,2024-05-07T13:39:32.710,cvssMetricV31,LOCAL,LOW,NONE,NONE,NONE,NONE,LOW,4.0,MEDIUM,05,2024,2024-05-01
CVE-2024-20859,SMR-MAY 2024,False,,,,,Improper access control vulnerability in FactoryCamera prior to SMR May-2024 Release 1 allows local attackers to take pictures without privilege.,,2024-05-07T05:15:49.627,2024-05-07T13:39:32.710,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,NONE,NONE,5.5,MEDIUM,05,2024,2024-05-01
CVE-2024-23703,SMR-MAY 2024,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,05,2024,2024-05-01
CVE-2024-20856,SMR-MAY 2024,False,,,,,Improper Authentication vulnerability in Secure Folder prior to SMR May-2024 Release 1 allows physical attackers to access Secure Folder without proper authentication in a specific scenario.,,2024-05-07T05:15:49.160,2024-05-07T13:39:32.710,cvssMetricV31,PHYSICAL,LOW,NONE,REQUIRED,HIGH,NONE,NONE,4.3,MEDIUM,05,2024,2024-05-01
CVE-2024-20858,SMR-MAY 2024,False,,,,,Improper access control vulnerability in setCocktailHostCallbacks of CocktailBarService prior to SMR May-2024 Release 1 allows local attackers to access information of current application.,,2024-05-07T05:15:49.477,2024-05-07T13:39:32.710,cvssMetricV31,LOCAL,LOW,NONE,NONE,LOW,NONE,NONE,4.0,MEDIUM,05,2024,2024-05-01
CVE-2024-20866,SMR-MAY 2024,False,,,,,Authentication bypass vulnerability in Setupwizard prior to SMR May-2024 Release 1 allows physical attackers to skip activation step.,,2024-05-07T05:15:50.807,2024-05-07T13:39:32.710,cvssMetricV31,PHYSICAL,LOW,LOW,REQUIRED,HIGH,HIGH,NONE,5.7,MEDIUM,05,2024,2024-05-01
CVE-2024-20862,SMR-MAY 2024,False,,,,,Out-of-bounds write in SveService prior to SMR May-2024 Release 1 allows local privileged attackers to execute arbitrary code.,,2024-05-07T05:15:50.103,2024-05-07T13:39:32.710,cvssMetricV31,LOCAL,LOW,HIGH,NONE,NONE,HIGH,HIGH,6.0,MEDIUM,05,2024,2024-05-01
CVE-2024-20868,SMR-MAY 2024,False,,,,,Improper input validation in Samsung Notes prior to version 4.4.15 allows local attackers to delete files with Samsung Notes privilege under certain conditions.,4.4.15,2024-05-07T05:15:51.117,2024-05-07T13:39:32.710,cvssMetricV31,LOCAL,LOW,LOW,NONE,NONE,LOW,LOW,4.4,MEDIUM,05,2024,2024-05-01
CVE-2024-20869,SMR-MAY 2024,False,,,,,Improper privilege management vulnerability in Samsung Internet prior to version 25.0.0.41 allows local attackers to bypass protection for cookies.,25.0.0.41,2024-05-07T05:15:51.270,2024-05-07T13:39:32.710,cvssMetricV31,LOCAL,LOW,NONE,REQUIRED,HIGH,NONE,NONE,5.5,MEDIUM,05,2024,2024-05-01
CVE-2024-20867,SMR-MAY 2024,False,,,,,Improper privilege management vulnerability in Samsung Email prior to version 6.1.91.14 allows local attackers to access sensitive information.,6.1.91.14,2024-05-07T05:15:50.960,2024-05-07T13:39:32.710,cvssMetricV31,LOCAL,LOW,NONE,REQUIRED,HIGH,NONE,NONE,5.5,MEDIUM,05,2024,2024-05-01
CVE-2024-20870,SMR-MAY 2024,False,,,,,Improper verification of intent by broadcast receiver vulnerability in Galaxy Store prior to version 4.5.71.8 allows local attackers to write arbitrary files with the privilege of Galaxy Store.,4.5.71.8,2024-05-07T05:15:51.420,2024-05-07T13:39:32.710,cvssMetricV31,LOCAL,LOW,NONE,NONE,NONE,LOW,LOW,5.1,MEDIUM,05,2024,2024-05-01
CVE-2024-20821,SMR-MAY 2024,False,,,,,"A vulnerability possible to reconfigure OTP allows local attackers to transit RMA(Return Merchandise Authorization) mode, which disables security features. This attack needs additional privilege to control TEE.",,2024-05-07T05:15:48.790,2024-05-07T13:39:32.710,cvssMetricV31,LOCAL,LOW,HIGH,NONE,NONE,HIGH,NONE,4.4,MEDIUM,05,2024,2024-05-01
CVE-2024-20872,SMR-MAY 2024,False,,,,,Improper handling of insufficient privileges vulnerability in TalkbackSE prior to version Android 14 allows local attackers to modify setting value of TalkbackSE.,,2024-05-07T05:15:51.733,2024-05-07T13:39:32.710,cvssMetricV31,LOCAL,LOW,NONE,NONE,NONE,NONE,HIGH,6.2,MEDIUM,05,2024,2024-05-01
CVE-2024-20871,SMR-MAY 2024,False,,,,,Improper authorization vulnerability in Samsung Keyboard prior to version One UI 5.1.1 allows physical attackers to partially bypass the factory reset protection.,5.1.1,2024-05-07T05:15:51.573,2024-05-07T13:39:32.710,cvssMetricV31,PHYSICAL,LOW,NONE,REQUIRED,NONE,HIGH,LOW,4.9,MEDIUM,05,2024,2024-05-01
CVE-2024-20854,SMR-APR 2024,False,,,,,"Improper handling of insufficient privileges vulnerability in Samsung Camera prior to versions 12.1.0.31 in Android 12, 13.1.02.07 in Android 13, and 14.0.01.06 in Android 14 allows local attackers to access image data.","12.1.0.31, 13.1.02.07, 14.0.01.06",2024-04-02T03:15:10.870,2024-04-02T12:50:42.233,cvssMetricV31,LOCAL,LOW,NONE,NONE,LOW,LOW,LOW,5.9,MEDIUM,04,2024,2024-04-01
CVE-2024-20850,SMR-APR 2024,False,,,,,Use of Implicit Intent for Sensitive Communication in Samsung Pay prior to version 5.4.99 allows local attackers to access information of Samsung Pay.,5.4.99,2024-04-02T03:15:10.017,2024-04-02T12:50:42.233,cvssMetricV31,LOCAL,LOW,NONE,NONE,HIGH,NONE,NONE,6.2,MEDIUM,04,2024,2024-04-01
CVE-2024-20851,SMR-APR 2024,False,,,,,Improper access control vulnerability in Samsung Data Store prior to version 5.3.00.4 allows local attackers to launch arbitrary activity with Samsung Data Store privilege.,5.3.00.4,2024-04-02T03:15:10.233,2024-04-02T12:50:42.233,cvssMetricV31,LOCAL,LOW,LOW,NONE,NONE,LOW,LOW,4.4,MEDIUM,04,2024,2024-04-01
CVE-2024-20852,SMR-APR 2024,False,,,,,Improper verification of intent by broadcast receiver vulnerability in SmartThings prior to version 1.8.13.22 allows local attackers to access testing configuration.,1.8.13.22,2024-04-02T03:15:10.460,2024-04-02T12:50:42.233,cvssMetricV31,LOCAL,LOW,NONE,NONE,LOW,LOW,LOW,5.9,MEDIUM,04,2024,2024-04-01
CVE-2024-20853,SMR-APR 2024,False,,,,,Improper verification of intent by broadcast receiver vulnerability in ThemeStore prior to 5.3.05.2 allows local attackers to write arbitrary files to sandbox of ThemeStore.,5.3.05.2,2024-04-02T03:15:10.670,2024-04-02T12:50:42.233,cvssMetricV31,LOCAL,LOW,NONE,NONE,NONE,LOW,LOW,5.1,MEDIUM,04,2024,2024-04-01
CVE-2024-20839,SMR-MAR 2024,False,,,,,"Improper access control in Samsung Voice Recorder prior to versions 21.5.16.01 in Android 12 and Android 13, 21.4.51.02 in Android 14 allows physical attackers to access recording files on the lock screen.","21.5.16.01, 21.4.51.02",2024-03-05T05:15:12.007,2024-03-05T13:41:01.900,cvssMetricV31,PHYSICAL,LOW,NONE,NONE,HIGH,NONE,NONE,4.6,MEDIUM,03,2024,2024-03-01
CVE-2024-20829,SMR-MAR 2024,False,,,,,Missing proper interaction for opening deeplink in Samsung Internet prior to version v24.0.0.0 allows remote attackers to open an application without proper interaction.,24.0.0.0,2024-03-05T05:15:08.703,2024-03-05T13:41:01.900,cvssMetricV31,NETWORK,LOW,NONE,REQUIRED,LOW,NONE,LOW,5.4,MEDIUM,03,2024,2024-03-01
