device,monthly_start,monthly_end,quarterly_start,quarterly_end,biannual_start,biannual_end,monthly_duration,quarterly_duration,biannual_duration
Galaxy M12,,,2021-02-03,2023-03-07,2023-03-07,,,762 days,
Galaxy M22,,,2021-10-05,2023-11-06,2023-11-07,,,762 days,
Galaxy M32,,,2021-07-07,2023-08-04,2023-08-08,,,758 days,
Galaxy M32 5G,,,2022-04-05,2023-10-03,2023-10-04,,,546 days,
Galaxy M42 5G,,,2021-08-06,2023-06-05,2023-06-07,,,668 days,
Galaxy M52 5G,,,2021-10-05,2023-11-06,2023-11-07,,,762 days,
Galaxy M62,,,2021-08-06,2023-04-04,2023-04-04,,,606 days,
Galaxy M13,,,2022-06-08,,,,,,
Galaxy M23 5G,,,2022-03-08,,,,,,
Galaxy M33 5G,,,2022-04-05,,,,,,
Galaxy M53 5G,,,2022-05-03,,,,,,
Galaxy M04,,,2023-01-04,,,,,,
Galaxy F12,,,2021-08-06,2023-03-07,2023-03-07,,,578 days,
Galaxy F22,,,2021-07-07,2023-08-04,2023-08-08,,,758 days,
Galaxy F42 5G,,,2021-09-07,2023-10-03,2023-10-04,,,756 days,
Galaxy F52 5G,,,2021-06-08,2023-06-29,2023-07-05,,,751 days,
Galaxy F62,,,2021-03-02,2023-04-04,2023-04-04,,,763 days,
Galaxy F13,,,2022-07-09,,,,,,
Galaxy Tab A7 Lite,,,2021-06-08,2023-06-05,2023-06-07,,,727 days,
Galaxy Tab A8,,,2022-01-12,2024-01-31,2024-02-06,,,749 days,
Galaxy Tab Active Pro,,,2019-10-08,2023-11-06,,,,1490 days,
Galaxy Tab Active3,,,2020-10-12,,,,,,
Galaxy Tab Active4 Pro,,,2022-09-07,,,,,,
Galaxy Tab S6 Lite,,,2020-05-25,,,,,,
Galaxy Tab S7,,,2020-09-14,,,,,,
Galaxy Tab S7 FE,,,2021-06-08,2023-06-29,2023-07-05,,,751 days,
Galaxy Tab S8,,,2022-03-08,,,,,,
Galaxy Tab S8+,,,2022-03-08,,,,,,
Galaxy Tab S8 Ultra,,,2022-03-08,,,,,,
Galaxy Fold,2019-10-08,2022-11-04,2019-10-08,2023-11-06,,,1123 days,1490 days,
Galaxy Fold 5G,2020-12-10,2022-11-04,2022-11-08,2023-11-06,,,694 days,363 days,
W22 5G,,,2022-04-05,2023-11-06,2023-11-07,,,580 days,
Enterprise Models: Galaxy A50,2021-02-03,2022-04-03,2022-04-05,2023-04-04,,,424 days,364 days,
Galaxy XCover4s,2020-03-03,2022-07-30,2020-03-03,2023-04-04,,,879 days,1127 days,
Galaxy Xcover FieldPro,2021-02-03,2022-11-29,2022-12-06,2023-08-04,,,664 days,241 days,
Galaxy A8s,,,2019-01-19,2021-01-26,2021-03-11,2023-03-02,,738 days,721 days
Galaxy A10,,,2019-04-05,2021-05-02,2021-05-04,2023-04-28,,758 days,724 days
Galaxy A10e,,,2019-08-07,2021-08-02,2021-08-06,2023-08-04,,726 days,728 days
Galaxy A10s,,,2019-10-01,2021-09-05,2021-09-07,2023-09-05,,705 days,728 days
Galaxy A20,,,2019-04-05,2021-05-02,2021-05-04,2023-04-28,,758 days,724 days
Galaxy A20e,,,2019-05-20,2021-05-25,2021-06-08,2023-06-05,,736 days,727 days
Galaxy A20s,,,2019-10-08,2021-11-01,2021-11-02,2023-11-06,,755 days,734 days
Galaxy A30,,,2019-04-05,2021-04-01,2021-04-06,2023-04-04,,727 days,728 days
Galaxy A30s,,,2019-10-01,2021-11-01,2021-11-02,2023-11-06,,762 days,734 days
Galaxy A50s,,,2019-10-01,2021-11-01,2021-11-02,2023-11-06,,762 days,734 days
Galaxy A60,,,2019-05-20,2021-05-25,2021-06-08,2023-06-05,,736 days,727 days
Galaxy A70,,,2019-04-05,2021-05-25,2021-06-08,2023-06-05,,781 days,727 days
Galaxy A70s,,,2019-10-08,2021-11-01,2021-11-02,2023-11-06,,755 days,734 days
Galaxy A80,,,2019-06-16,2021-08-02,2021-08-06,2023-08-04,,778 days,728 days
Galaxy A90 5G,,,2019-10-01,2021-10-04,2021-10-05,2023-10-03,,734 days,728 days
Galaxy A01,,,2020-03-03,2022-02-08,2022-02-08,2024-01-31,,707 days,722 days
Galaxy A01 Core,,,2020-08-06,2022-09-06,2022-09-07,2023-03-07,,761 days,181 days
Galaxy A11,,,2020-05-25,2022-05-02,2022-05-03,2024-05-04,,707 days,732 days
Galaxy A21,,,2020-07-07,2022-07-30,2022-08-06,,,753 days,
Galaxy A21s,,,2020-06-08,2022-07-04,2022-07-09,,,756 days,
Galaxy A31,,,2020-05-25,2022-05-02,2022-05-03,2024-05-04,,707 days,732 days
Galaxy A41,,,2020-05-25,2022-06-03,2022-06-08,,,739 days,
Galaxy A51,,,2020-03-03,2022-02-08,2022-02-08,2024-01-31,,707 days,722 days
Galaxy A51 5G,,,2020-06-08,2022-06-03,2022-06-08,,,725 days,
Galaxy A71,,,2020-03-03,2022-03-07,2022-03-08,2024-03-01,,734 days,724 days
Galaxy A71 5G,,,2020-05-25,2022-05-02,2022-05-03,2024-05-04,,707 days,732 days
Galaxy A02s,,,2021-01-21,2023-01-03,2023-01-04,,,712 days,
Galaxy A12,,,2020-12-08,2023-01-03,2023-01-04,,,756 days,
Galaxy A42 5G,,,2020-11-04,2023-01-03,2022-12-06,,,790 days,
Galaxy M10,,,2019-04-05,2021-03-01,2021-03-11,2023-03-07,,696 days,726 days
Galaxy M10s,,,2019-10-01,2021-10-04,2021-10-05,2023-10-03,,734 days,728 days
Galaxy M20,,,2019-04-05,2021-03-01,2021-03-11,2023-03-07,,696 days,726 days
Galaxy M30,,,2019-04-05,2021-04-01,2021-04-06,2023-03-07,,727 days,700 days
Galaxy M30s,,,2019-10-01,2021-10-04,2021-10-05,2023-10-03,,734 days,728 days
Galaxy M40,,,2019-08-07,2021-08-02,2021-08-06,2023-08-04,,726 days,728 days
Galaxy M01,,,2020-06-08,2022-06-03,2022-06-08,,,725 days,
Galaxy M11,,,2020-05-25,2022-05-02,2022-05-03,2024-05-04,,707 days,732 days
Galaxy M21,,,2020-04-08,2022-04-03,2022-04-05,2024-03-31,,725 days,726 days
Galaxy M31,,,2020-04-08,2022-04-03,2022-04-05,2024-03-31,,725 days,726 days
Galaxy M31s,,,2020-08-06,2022-09-06,2022-09-07,,,761 days,
Galaxy M51,,,2020-09-14,2022-09-27,2022-10-04,,,743 days,
Galaxy Tab A 8 (2019),,,2019-10-08,2021-08-02,2021-08-06,2023-08-04,,664 days,728 days
Galaxy Tab A 10.1 (2019),,,2019-04-05,2021-05-02,2021-05-04,2023-04-28,,758 days,724 days
Galaxy Tab A with S pen,,,2021-02-03,2021-05-02,2021-05-04,2023-04-28,,88 days,724 days
Galaxy Tab A 8.4 (2020),,,2020-04-08,2022-04-03,2022-04-05,2024-03-31,,725 days,726 days
Galaxy Tab A7,,,2020-09-14,2022-09-27,2022-10-04,,,743 days,
Galaxy Tab S5e,,,2019-05-20,2021-05-02,2021-05-04,2023-04-28,,713 days,724 days
Galaxy Tab S6,,,2019-10-01,2021-10-04,2021-10-05,2023-10-03,,734 days,728 days
Galaxy Tab S6 5G,,,2020-03-03,2022-02-08,2022-02-08,2024-01-31,,707 days,722 days
Galaxy Tab S7+,,,2020-09-14,2023-04-04,2022-09-07,,,932 days,
W20 5G,,,2020-03-03,2022-02-08,2022-02-08,2024-01-31,,707 days,722 days
W21 5G,,,2020-12-08,2023-01-03,2023-01-04,,,756 days,
Galaxy Watch4,,,2023-01-04,,,,,,
Galaxy Watch4 Classic,,,2023-01-04,,,,,,
Galaxy Watch5,,,2023-01-04,,,,,,
Galaxy Watch5 Pro,,,2023-01-04,,,,,,
Galaxy Z Fold5,2023-08-08,,,,,,,,
Galaxy Z Flip5,2023-08-08,,,,,,,,
W24,2023-10-04,,,,,,,,
W24 Flip,2023-10-04,,,,,,,,
Galaxy S23,2023-02-09,,,,,,,,
Galaxy S23+,2023-02-09,,,,,,,,
Galaxy S23 Ultra,2023-02-09,,,,,,,,
Galaxy S24,2024-02-06,,,,,,,,
Galaxy S24+,2024-02-06,,,,,,,,
Galaxy S24 Ultra,2024-02-06,,,,,,,,
Galaxy A55 5G,2024-04-03,,,,,,,,
Galaxy A54 5G,2023-05-04,,,,,,,,
Xcover7,2024-02-06,2024-04-04,,,,,58 days,,
Galaxy A35 5G,,,2024-04-03,,,,,,
Galaxy A14,,,2023-05-04,,,,,,
Galaxy A14 5G,,,2023-02-09,,,,,,
Galaxy A24,,,2023-06-07,,,,,,
Galaxy A34 5G,,,2023-04-04,,,,,,
Galaxy A05,,,2023-11-07,,,,,,
Galaxy A05s,,,2023-11-07,,,,,,
Galaxy A15,,,2024-01-04,,,,,,
Galaxy A15 5G,,,2024-01-04,,,,,,
Galaxy A25 5G,,,2024-01-04,,,,,,
Galaxy M13 5G,,,2023-08-08,,,,,,
Galaxy M14 5G,,,2023-05-04,,,,,,
Galaxy M34 5G,,,2023-08-08,,,,,,
Galaxy M44 5G,,,2023-12-06,,,,,,
Galaxy M54 5G,,,2023-04-04,,,,,,
Galaxy M15 5G,,,2024-04-03,,,,,,
Galaxy F04,,,2023-02-09,,,,,,
Galaxy F14 5G,,,2023-04-04,,,,,,
Galaxy F34 5G,,,2023-08-08,,,,,,
Galaxy F54 5G,,,2023-08-08,,,,,,
Galaxy F15 5G,,,2024-04-03,,,,,,
Galaxy Tab S9 Ultra,,,2023-08-08,,,,,,
Galaxy Tab S9 Plus,,,2023-08-08,2024-04-04,,,,240 days,
Galaxy Tab S9,,,2023-08-08,,,,,,
Galaxy Tab S9 FE,,,2023-11-07,,,,,,
Galaxy Tab S9 FE+,,,2023-11-07,,,,,,
Galaxy Tab Active5,,,2024-02-06,,,,,,
Galaxy Tab A9,,,2023-11-07,,,,,,
Galaxy Tab A9+,,,2023-11-07,,,,,,
Enterprise Models: Galaxy Xcover Pro,,,2023-09-06,2024-04-04,,,,211 days,
Galaxy Watch6,,,2023-08-08,,,,,,
Galaxy Watch6 Classic,,,2023-08-08,,,,,,
Galaxy S8,,2020-05-03,2019-04-05,2021-05-02,,,,758 days,
Galaxy S8+,,2020-05-03,2019-04-05,2021-05-02,,,,758 days,
Galaxy S8 Active,,2020-08-06,2019-04-05,2021-11-08,,,,948 days,
Galaxy S9,2018-04-03,2021-04-01,2019-04-05,2022-04-03,,,1094 days,1094 days,
Galaxy S9+,2018-04-03,2021-04-01,2019-04-05,2022-04-03,,,1094 days,1094 days,
Galaxy Note8,,2020-10-03,2019-10-08,2021-10-04,,,,727 days,
Galaxy Note9,2018-09-06,2021-09-05,2019-10-08,2022-09-06,,,1095 days,1064 days,
Enterprise Models: Galaxy A8 (2018),2020-03-03,2021-01-26,2020-03-03,2022-02-08,,,329 days,707 days,
Galaxy A50,2019-10-08,2022-04-03,2019-04-05,2023-04-04,,,908 days,1460 days,
Galaxy XCover FieldPro,2020-03-03,2022-11-29,2020-03-03,2020-11-08,,,1001 days,250 days,
Galaxy XCover Pro,2020-03-03,2023-03-07,2020-03-03,2020-11-08,,,1099 days,250 days,
Galaxy A2 Core,,,2019-04-05,2021-05-02,2021-05-04,2021-11-01,,758 days,181 days
Galaxy Tab Active2,,,2018-03-08,2021-11-27,,,,1360 days,
Galaxy View2,,,2019-05-20,2021-05-25,2021-06-08,2021-11-01,,736 days,146 days
Enterprise Models: Galaxy XCover4s,,,2023-04-04,2023-08-04,,,,122 days,
Galaxy A52,2021-04-06,2023-04-04,,,,,728 days,,
Galaxy S8 Lite,,,2018-09-06,2020-07-06,2020-07-07,2022-07-04,,669 days,727 days
Galaxy Note FE,,,2018-06-14,2019-08-07,2019-10-01,2021-09-05,,419 days,705 days
Galaxy A6,,,2019-04-05,2020-05-27,2020-06-08,2022-06-03,,418 days,725 days
Galaxy A6+,,,2019-04-05,2020-07-06,2020-07-07,2022-07-04,,458 days,727 days
Galaxy A7 (2018),,,2019-02-02,2020-10-28,2020-11-04,2022-11-04,,634 days,730 days
Galaxy A8+ (2018),,,2018-03-08,2019-11-26,2020-03-03,2022-02-08,,628 days,707 days
Galaxy A8 Star,,,2018-09-06,2020-07-28,2020-08-06,2022-07-30,,691 days,723 days
Galaxy A9 (2018),,,2019-02-02,2020-11-28,2020-12-08,2022-11-29,,665 days,721 days
Galaxy J2 Core,,,2019-04-05,2020-08-06,2020-09-14,2022-02-08,,489 days,512 days
Galaxy J3 (2017),,,,2019-11-26,2019-08-07,2021-08-02,,,726 days
Galaxy J3 Top,,,2018-09-06,2020-07-06,2020-07-07,2022-02-08,,669 days,581 days
Galaxy J4,,,2018-09-06,2020-07-06,2020-07-07,2022-07-04,,669 days,727 days
Galaxy J4+,,,2019-04-05,2020-10-28,2020-11-04,2022-02-08,,572 days,461 days
Galaxy J4 Core,,,2019-04-05,2020-12-10,2021-03-11,2021-11-01,,615 days,235 days
Galaxy J5 (2017),,,,2019-11-26,2019-08-07,2021-08-02,,,726 days
Galaxy J6,,,2018-09-06,2020-07-06,2020-07-07,2022-07-04,,669 days,727 days
Galaxy J6+,,,2019-04-05,2020-10-28,2020-11-04,2022-11-04,,572 days,730 days
Galaxy J7 (2017),,,,2019-11-26,2019-08-07,2021-08-02,,,726 days
Galaxy J7 Duo,,,2018-06-14,2020-05-27,2020-06-08,2022-06-03,,713 days,725 days
Galaxy J7 Prime2,,,2019-04-05,2020-05-03,2020-05-25,2022-02-08,,394 days,624 days
Galaxy J7 Top,,,2018-09-06,2020-07-06,2020-07-07,2022-02-08,,669 days,581 days
Galaxy J7 Max,,,,2019-11-26,2019-08-07,2021-08-02,,,726 days
Galaxy J7 Neo,,,,2019-11-26,2019-08-07,2021-08-02,,,726 days
Galaxy J7+,,,2019-04-05,2019-11-26,2020-03-03,2021-11-01,,235 days,608 days
Galaxy J8,,,2018-09-06,2020-07-28,2020-08-06,2022-07-30,,691 days,723 days
Galaxy Tab A (2017),,,2018-09-06,2019-10-01,2019-10-08,2021-10-04,,390 days,727 days
Galaxy Tab A 10.5 (2018),,,2019-05-20,2020-08-06,2020-09-14,2022-09-06,,444 days,722 days
Galaxy Tab S4,,,2019-05-20,2020-08-06,2020-09-14,2022-09-06,,444 days,722 days
Galaxy Tab E 8 Refresh,,,2019-04-05,2019-11-26,2020-03-03,2021-11-01,,235 days,608 days
Galaxy J7 Pop,,,,2019-04-29,2019-05-20,2021-05-02,,,713 days
Galaxy Tab S3,,,,,2019-05-20,2021-04-01,,,682 days
Galaxy S23 FE,2024-04-05,,,,,,,,
Galaxy Xcover7,2024-04-05,,,,,,,,
Galaxy M14,,,2024-04-05,,,,,,
Galaxy Tab S6 Lite (2024),,,2024-04-05,,,,,,
Galaxy Tab S9+,,,2024-04-05,,,,,,
Enterprise Models: Galaxy-A52 5G,,,2024-04-05,2024-05-04,,,,29 days,
Enterprise Models: Galaxy A52s 5G,2024-05-10,,,,,,,,
Galaxy C55 5G,,,2024-05-10,,,,,,
Galaxy M55 5G,,,2024-05-10,,,,,,
Galaxy S series (S9,2018-04-03,2019-02-02,2018-04-03,2019-02-02,,,305 days,305 days,
S9+,2018-04-03,2019-02-02,2018-04-03,2019-02-02,,,305 days,305 days,
S8,2018-04-03,2019-02-02,2018-04-03,2019-02-02,,,305 days,305 days,
S8+,,2019-02-02,,2019-02-02,,,,,
S8 Active,,2019-02-02,,2019-02-02,,,,,
S7,,2019-02-02,,2019-02-02,,,,,
S7 edge,,2019-02-02,,2019-02-02,,,,,
S7 Active),2018-09-06,2019-02-02,2018-09-06,2019-02-02,,,149 days,149 days,
Galaxy Note series (Note 9,2018-09-06,2019-02-02,2018-09-06,2019-02-02,,,149 days,149 days,
Note 8),2018-09-06,2019-02-02,2018-09-06,2019-02-02,,,149 days,149 days,
Galaxy A series (A5 (2016),,2019-02-02,,2019-02-02,,,,,
A5 (2017),2018-03-08,2019-02-02,2018-03-08,2019-02-02,,,331 days,331 days,
A8 (2018)),2018-03-08,2019-02-02,2018-03-08,2019-02-02,,,331 days,331 days,
Galaxy A5 (2017),,2019-11-26,2019-04-05,2021-01-26,,,,662 days,
Galaxy A8 (2018),2018-03-08,2020-12-10,2019-04-05,2022-02-08,,,1008 days,1040 days,
Galaxy Xcover4s,2019-10-08,2022-07-30,2019-10-08,2019-12-20,,,1026 days,73 days,
Enterprise Models: Galaxy Xcover FieldPro,,,2023-08-08,2023-09-05,,,,28 days,
Galaxy S7 Active,,2019-06-27,2019-04-05,2020-07-06,,,,458 days,
Galaxy Note 8,2019-04-05,2019-10-01,2019-04-05,2019-10-01,,,179 days,179 days,
Galaxy Note 9,2019-04-05,2019-10-01,2019-04-05,2019-10-01,,,179 days,179 days,
Galaxy Tab A 8 Plus (2019),,,2019-05-20,2021-02-03,,,,625 days,
S7 Active,,2018-06-14,,2018-06-14,,,,,
S6 edge+,,2018-06-14,,2018-06-14,,,,,
S6 Active),,2018-06-14,,2018-06-14,,,,,
Galaxy Note series (Note 8,,2018-06-14,,2018-06-14,,,,,
Note 5),2017-11-22,2018-06-14,2017-11-22,2018-06-14,,,204 days,204 days,
Enterprise Models: Galaxy A5 (2017),2019-12-20,2019-12-20,2019-12-20,2019-12-20,,,0 days,0 days,
Galaxy Haechi,2019-12-20,2019-12-20,2019-12-20,2019-12-20,,,0 days,0 days,
Galaxy S series (S8,,2018-03-08,,2018-03-08,,,,,
S6,,2018-03-08,,2018-03-08,,,,,
S6 edge,,2018-03-08,,2018-03-08,,,,,
Note 5,,,,,,,,,
Note 4,,,,,,,,,
Note edge),,,,,,,,,
A5 (2017)),,2017-11-22,,2017-11-22,,,,,
Galaxy S7,,2019-02-02,2019-04-05,2020-03-30,2019-06-27,2019-06-27,,360 days,0 days
Galaxy S7 Edge,,,2019-04-05,2020-03-30,2019-06-27,2019-06-27,,360 days,0 days
Galaxy A3 (2017),,,,2019-02-02,2019-04-05,2020-12-10,,,615 days
Galaxy A7 (2017),,,,2019-02-02,2019-04-05,2020-12-10,,,615 days
Galaxy J3 Pop,,,,2019-02-02,2019-04-05,2020-12-10,,,615 days
Galaxy J5 Prime,,,,,2019-04-05,2020-10-28,,,572 days
Galaxy J7 (2016),,,,2018-04-03,2019-04-05,2020-05-03,,,394 days
Galaxy J7 Prime,,,,,2019-04-05,2020-10-03,,,547 days
Galaxy Tab A 10.1 (2016),,,2018-06-14,2019-02-02,2019-04-05,2020-07-06,,233 days,458 days
Galaxy A5 (2016),,2019-02-02,2019-04-05,2019-10-01,,,,179 days,
Galaxy J2 (2018),,,2018-03-08,2019-11-26,,,,628 days,
Galaxy Xcover 4s,,,2019-08-07,2019-10-01,,,,55 days,
Galaxy A3 (2016),,,,2017-11-22,2019-04-05,2019-10-01,,,179 days
Galaxy J5 (2016),,,,2018-04-03,2019-04-05,2019-11-26,,,235 days
Galaxy Tab S2 L Refresh,,,,2019-02-02,2019-04-05,2019-10-01,,,179 days
Galaxy Tab S2 S Refresh,,,2018-04-03,2019-02-02,2019-04-05,2019-10-01,,305 days,179 days
Galaxy S7 edge,,2019-02-02,,,,,,,
Galaxy A6 (2018),,,2018-06-14,2019-02-02,,,,233 days,
Galaxy A6+ (2018),,,2018-06-14,2019-02-02,,,,233 days,
Galaxy J2 Core (2018),,,2018-09-06,2019-02-02,,,,149 days,
Galaxy J7+ (2017),,,2018-09-06,2019-02-02,,,,149 days,
Galaxy Tab S3 9.7,,,,2019-02-02,2019-04-05,2019-04-29,,,24 days
Galaxy Tab S4 10.5,,,2018-09-06,2019-04-29,,,,235 days,
Galaxy Tab E (8.0) Refresh,,,2018-06-14,2019-02-02,,,,233 days,
Galaxy Tab A 10.5,,,2018-09-06,2019-04-29,,,,235 days,
Galaxy S6,,2018-03-08,,,,,,,
Galaxy S6 edge,,2018-03-08,,,,,,,
Galaxy S6 edge+,,2018-06-14,,,,,,,
Galaxy S6 Active,,2018-06-14,,,,,,,
Galaxy Note5,,2018-06-14,,,,,,,
Galaxy J1 Mini,,,,2018-04-03,,,,,
Galaxy J1 Mini Prime,,,,2018-06-14,,,,,
Galaxy J2 (2016),,,,2018-06-14,,,,,
Galaxy J3 Pro,,,,2018-04-03,,,,,
Note FE,,,,2018-04-03,,,,,
Galaxy Note4,,,,,,,,,
Galaxy Note edge,,,,,,,,,
Galaxy J1 Ace,,,,,,,,,
Galaxy J1 (2016),,,,2017-11-22,,,,,
Galaxy J3 (2016),,,,2017-11-22,,,,,
Galaxy Tab A Plus 8 (2019),,,2019-04-05,2019-04-29,,,,24 days,
Galaxy Tab S5e 10.5,,,2019-04-05,2019-04-29,,,,24 days,
Galaxy View 2,,,2019-04-05,2019-04-29,,,,24 days,
Galaxy Xcover 4,,,,,2019-10-08,2019-10-08,,,0 days
Galaxy Tab 10.1 (2016),,,2018-04-03,2018-04-03,,,,0 days,
